TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1.0,0.0,0.39479106131400865,1.0,147.45858764648438,85.3994140625,36.384620666503906,8.53846263885498,0.0,,,,
2.0,1.0,3.141592653589793,2.0,150.0,10.5,12.0,5.0,0.0,,,,
2.0,2.0,0.4048917988279203,3.0,146.23277282714844,80.45689392089844,42.018062591552734,8.534918785095215,0.0,29.0,4.0,0.182,0.006
3.0,2.0,0.3970794157701728,3.0,145.77609252929688,81.34158325195312,42.926658630371094,8.65672779083252,0.0,29.0,4.0,0.661,-0.437
3.0,3.0,3.141592653589793,4.0,153.0,10.0,14.0,4.0,0.0,,,,
4.0,2.0,0.39060706879392604,3.0,146.7795867919922,74.82100677490234,46.23390579223633,8.322103500366211,0.0,29.0,4.0,0.63,-0.216
5.0,2.0,0.3947911278930359,3.0,146.0591583251953,73.85797882080078,49.38461685180664,8.307692527770996,0.0,29.0,4.0,1.077,-0.2
6.0,2.0,0.39305800923463957,3.0,146.16015625,71.40786743164062,54.771148681640625,8.831875801086426,0.0,29.0,4.0,0.555,0.099
7.0,2.0,0.3916999302367537,3.0,146.356689453125,72.13645935058594,57.545326232910156,9.10196590423584,0.0,29.0,4.0,1.415,-0.334
8.0,2.0,0.39060706879392604,3.0,145.8964385986328,69.25148010253906,64.61868286132812,8.920424461364746,0.0,29.0,4.0,0.446,-0.068
9.0,2.0,0.3772490189507385,3.0,145.36509704589844,69.57862091064453,66.849365234375,9.40206241607666,0.0,29.0,4.0,,
10.0,4.0,0.33205943630983786,3.0,158.27101135253906,76.7141342163086,40.16205596923828,8.67135238647461,2.0,,,0.569,-0.2
10.0,29.0,0.13552771859715762,3.0,129.75355529785156,62.80730438232422,36.48057174682617,8.241905212402344,2.0,30.0,5.0,0.395,0.26
11.0,4.0,0.29423455934744247,3.0,156.8490447998047,77.34819030761719,43.008094787597656,8.932228088378906,2.0,,,1.147,-0.91
11.0,29.0,0.12970253641055685,3.0,130.78253173828125,63.66728591918945,38.456851959228516,8.01902961730957,2.0,30.0,5.0,1.055,-0.077
12.0,4.0,0.23923159427424984,3.0,152.80039978027344,75.26839447021484,48.74188232421875,9.33607292175293,2.0,,,0.442,-0.257
12.0,29.0,0.1697782671920168,3.0,131.1574249267578,61.9984130859375,43.73346710205078,9.011402130126953,2.0,30.0,5.0,,
13.0,4.0,0.2606023801129429,3.0,151.07261657714844,75.85269165039062,50.952789306640625,8.824945449829102,2.0,,,,
13.0,5.0,0.09065988742783065,3.0,143.48770141601562,63.635250091552734,21.366436004638672,6.2469658851623535,29.0,31.0,11.0,0.913,0.602
