ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_3,Neighbors_FirstClosestDistance_3,Neighbors_FirstClosestObjectNumber_3,Neighbors_NumberOfNeighbors_3,Neighbors_PercentTouching_3,Neighbors_SecondClosestDistance_3,Neighbors_SecondClosestObjectNumber_3,Number_Object_Number,Parent_RunOmnipose,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,439,1288,124,94,78,66,100.68109339407745,79.91571753986332,2.458890168330674,501,0.9825330892579749,23.642169108157916,1,0.3408385093167702,0.40668754256677275,56.07909090363298,50.11985634456667,5.0,2.505030237813765,2.23606797749979,9.847190121281885,10.435643573111006,-64.42996506775309,116.46803743153546,0.8762475049900199,0.22097459801507058,0.0016220991242297251,0.07988858003284889,0.06572707870690313,0.0018192335868916344,0.0017537786214653094,0.03396132179149481,0.04585940168237994,0.033845084365062846,0.0018541471998830576,0.0006999426499648612,0.0020961727259388454,0.026059352011526787,0.022677058564767323,0.028188120629408276,0.020316482710034552,0.001583651345145056,0.000998665461250576,0.00046396495021144184,0.0021531306119745813,0.014384868260462084,0.01661129324219982,0.014653432856250101,0.017619601709019272,0.013009383863182462,0.001115227157201708,0.0013048747666774597,0.0002514429249277475,0.0005815431531168953,0.002064059131832554,100.68109339407745,79.91571753986332,0,0.0,68.57861607046053,2,0.0,0.0,0.0,0,1,1,0.0,0.0,nan,0.0,1,1,nan,0.0,0,0.0,0.0
1,2,294,340,72,136,38,126,54.704081632653065,130.79931972789115,1.6035855315609644,304,0.9575590672798062,19.347672370394786,1,0.8647058823529412,0.6236025333968801,36.17955776198514,33.13608305156178,5.0,2.6170170697015047,2.23606797749979,9.0,10.428291238743105,89.34384388113197,76.97056274847714,0.9671052631578947,0.3406092913551561,0.0052564371192478756,0.12075576405661867,0.0929731273998103,0.007723416748481805,0.0036817352735044597,0.05180500160947739,0.050794436407663415,0.0460044059632655,0.005953602708056325,0.001799728786906669,0.002441385307673469,0.02022159946543005,0.0246219007176734,0.022795527664929486,0.026542503742555908,0.004349546147491148,0.00238749703091287,0.001443904336538884,0.0013236955889875256,0.011562414886315615,0.0022468182087105808,0.012887344157372561,0.007566355996340723,0.016428376000790095,0.002273055978613164,0.00026268359592895684,0.0017725855946800885,0.001346364212970506,0.00034868160084449383,54.704081632653065,130.79931972789115,0,0.0,68.57861607046053,1,0.0,0.0,0.0,0,2,2,0.0,0.0,nan,0.0,2,1,nan,0.0,0,0.0,0.0
2,1,473,1550,126,90,76,59,100.50739957716702,74.81183932346723,2.68658140872491,558,0.9851636710191779,24.54062559633988,1,0.30516129032258066,0.3722202486596579,61.319289148709,54.589376255824725,5.0,2.4826818815198064,2.23606797749979,10.285912696499032,10.523458638802733,-63.6894961166302,126.36753236814712,0.8476702508960573,0.20122669025814865,0.0028619511961615147,0.07161935903914242,0.06103709780366336,0.0019560010566864205,0.004644035968158082,0.03174076573072133,0.041984839790354334,0.03195907100120789,0.002706399812041723,0.0010847293000249912,0.00509435598446693,0.023901539985590095,0.02232169754112822,0.026289008720352756,0.01944923473773401,0.0021711054003184533,0.0014089258933293767,0.002730144972039107,0.004870358309489638,0.014419782659389686,0.016172517686015603,0.015149771206895384,0.01678937665954086,0.012584331208758966,0.001838138298306321,0.0014160179591467398,3.2248036023755146e-05,0.003202012377257858,0.0043731974702267504,100.50739957716702,74.81183932346723,0,0.0,68.81032047189488,2,0.0,0.0,0.0,0,1,1,5.106832911877529,5.106832911877529,nan,5.106832911877529,1,2,1.0,1.0,1,-0.17369381691042918,-5.103878216396097
2,2,318,380,74,132,36,122,54.78616352201258,126.23584905660377,1.7819323938754017,338,0.9687027868455337,20.12188299403865,1,0.8368421052631579,0.5611885183955656,40.82295790663088,37.05401462729781,5.0,2.5772493589698446,2.23606797749979,9.0,10.133217887089625,88.45808282721306,84.38477631085024,0.9408284023668639,0.2918992748969267,0.005259738774586752,0.10750661691970795,0.08108622897774043,0.006392857777785163,0.002524398085506171,0.03866841006279122,0.05651998852558032,0.038358254320717135,0.0067849105829102425,0.002665151270897078,0.002120791777351954,0.02815842321307331,0.02161643590369547,0.030513983603558906,0.02083846420188944,0.005026533964208445,0.0036546801697182494,0.0020415993989184454,0.0020109524236423346,0.011342865691166453,0.013591420665633566,0.010291690921794425,0.015474922427183168,0.011991079733445641,0.0023182923852854234,0.00328146050490139,0.0011568744025833313,0.0018055346944479424,0.0018866359628217134,54.78616352201258,126.23584905660377,0,0.0,68.81032047189488,1,0.0,0.0,0.0,0,2,2,4.564208803753492,4.564208803753492,nan,4.564208803753492,2,2,1.0,1.0,2,0.08208188935951455,-4.5634706712873765
3,1,512,1664,126,91,74,59,99.80859375,75.318359375,2.675229810075781,599,0.9851752600796043,25.532305945691693,1,0.3076923076923077,0.3737996624565398,63.88295813109472,57.30619512757761,5.0,2.5620322269127884,2.23606797749979,11.059481847189936,10.959178149558827,-63.29290567211218,131.19595949289334,0.8547579298831386,0.19773208520552163,0.002573520640656653,0.07224344867507512,0.059098408870908684,0.004569611172948164,0.002575455516203519,0.032110921140868644,0.04134818687007417,0.03107289945309449,0.005036608965130853,0.0014063311791248237,0.0032310707008186648,0.023797186354451272,0.02212363599236733,0.02591192495360014,0.019200091926802283,0.004289025759468439,0.003338072471293988,0.000645028130695448,0.0033379496424499108,0.014131384021695618,0.01586804458231417,0.015063303852477788,0.016852372553436197,0.01272123787330382,0.0035189490179549435,0.0032150847973017958,0.0014506691454281245,0.0014201968724686486,0.0031857516913747393,99.80859375,75.318359375,0,0.0,69.08860148476377,2,0.0,0.0,0.0,0,1,1,4.679418524234687,0.8630713450737137,nan,5.969904256951242,1,3,0.7838347690058951,2.0,1,-0.6988058271670212,0.5065200515327746
3,2,342,429,74,133,35,122,53.8859649122807,126.93567251461988,1.7936721652627627,368,0.9677290230835658,20.867389014906145,1,0.7972027972027972,0.5575154810151752,41.92311321381963,38.2099463490856,5.0,2.6335755348373047,2.8284271247461903,9.660043393078748,10.564336544258387,88.19193451002253,87.79898987322333,0.9293478260869565,0.2965078391849009,0.002043939417326264,0.10905085250666595,0.0823420729517231,0.005143651459173027,0.00277600525124958,0.04647813810398738,0.0515770356929009,0.04095444870166993,0.005997052328352798,0.001611978528019885,0.0025748414425373453,0.026588779542915712,0.023881901657068026,0.027063241190869128,0.023777724375565586,0.0037123971419917097,0.0021412584749326575,0.0032510412619300246,0.0017049679826578064,0.012842144667750998,0.010149575526672568,0.013105980338578004,0.013043338208936241,0.014890553491776351,0.0016440786119852487,0.0023064199146568026,0.0008913411219538907,0.002598872518771759,0.0009322480861807962,53.8859649122807,126.93567251461988,0,0.0,69.08860148476377,1,0.0,0.0,0.0,0,2,2,3.9493144666855335,1.140223841775307,nan,5.704432645528799,2,3,0.6923237966147348,2.0,2,-0.9001986097318806,0.6998234580161125
4,1,557,2016,129,85,73,49,100.78994614003591,67.71992818671454,2.9494095411808,674,0.9873536888183659,26.63070457981699,1,0.27628968253968256,0.3390509137634541,70.62018429551594,63.13477647065839,5.0,2.5363081980723834,2.23606797749979,11.670000623378458,11.195625464593798,-62.45954710558953,143.6812408671319,0.8264094955489614,0.1779213312637947,0.007067343230233881,0.06325649775699525,0.054007358148648814,0.010431708527157807,0.0030094558887793204,0.026960122353146466,0.037190420885653386,0.02891743942228356,0.010503178645094202,0.006378936334597036,0.0015052870258481946,0.01897729497561874,0.019717279790180273,0.023660530846880027,0.018424189702440127,0.009139045510695488,0.008130207138227517,0.0034802220761721344,0.0008704975708510613,0.011968711917279124,0.012618842318239582,0.01404709382870951,0.01575245401889659,0.012765551016354064,0.007828197386402109,0.007252193747590699,0.005540527402829353,0.0016854136365435498,0.0005641851256489048,100.78994614003591,67.71992818671454,0,0.0,70.22262823213292,2,0.0,0.0,0.0,0,1,1,12.196275122621655,7.661540904840121,nan,13.631445161791362,1,4,0.8947162225181775,3.0,1,0.9813523900359087,-7.59843118828546
4,2,378,484,77,126,33,115,54.060846560846564,120.13756613756614,2.047828839134071,410,0.9745864919375807,21.938198374294355,1,0.78099173553719,0.48832206134124573,47.02399964644459,43.104524124504614,5.0,2.5953957300961696,2.23606797749979,9.672388203287415,10.533918544133664,88.01829086638176,98.6274169979695,0.9219512195121952,0.2590336641065078,0.006843515635085099,0.09679554015350232,0.07324994978783494,0.009096390858555929,0.002749415200696345,0.044441960326298525,0.04673054950622877,0.03793206335042032,0.00939457966981177,0.0027682376436158245,0.0032198007249512116,0.025844985731775995,0.024562419953096697,0.026406719406024296,0.023124551853480148,0.006935964367187773,0.004694364270696147,0.0011952728705276448,0.0032357421791296918,0.015199282992901617,0.011457931038668196,0.01537140918652714,0.014741252213088878,0.01519605472625576,0.0043027714160179505,0.004247535521348317,0.0016278205617868686,0.001650437444845902,0.002964361140851255,54.060846560846564,120.13756613756614,0,0.0,70.22262823213292,1,0.0,0.0,0.0,0,2,2,10.68113949812519,6.8003554248836044,nan,12.504788070412403,2,4,0.8541639760691228,3.0,2,0.17488164856586508,-6.798106377053742
5,1,584,2242,130,85,71,47,100.67808219178082,66.60445205479452,3.0967434843544104,722,0.9884238441345053,27.26851470332286,1,0.2604817127564674,0.3229198689049551,74.1652679019664,66.37017402418047,5.0,2.530864833373794,2.23606797749979,12.001391671879377,11.252194584474545,-61.825269962212005,150.75230867899737,0.8088642659279779,0.16880179208293644,0.0032053146411514335,0.06086344901112988,0.051426588610828196,0.006528043099779248,0.0009439407442583726,0.02761091426059477,0.03573434538436788,0.027745007495405986,0.006989576115497108,0.0030963078370846854,0.0018625774918762247,0.019674304790708138,0.020343557820589227,0.02294567855326576,0.017788197070588315,0.006268212487129722,0.004929908701529256,0.0009429385585775405,0.002219485757257159,0.013358645939453804,0.01354769093770134,0.014906227490911216,0.015397047241029735,0.012383823282692257,0.005600590695268993,0.004647843884488572,0.0030226562240558232,0.0006055152419180987,0.0022669420190481386,100.67808219178082,66.60445205479452,0,0.0,70.71604947698336,2,0.0,0.0,0.0,0,1,1,13.311265825657726,1.1210711591163451,nan,14.752516320907707,1,5,0.902304768630732,4.0,1,-0.11186394825509183,-1.115476131920019
5,2,377,495,77,125,32,114,53.649867374005304,119.41644562334217,2.1023309158198047,411,0.97862412873963,21.909160375631842,1,0.7616161616161616,0.47566250987183417,49.11498514375372,44.181444068749045,5.0,2.5468870176597687,2.23606797749979,9.620303732338133,10.100842051990462,88.34134305771973,99.79898987322333,0.9172749391727494,0.24590743256411693,0.007575521399011765,0.08706793362844377,0.07266242346632226,0.010771956932888363,0.0031061254278915186,0.0420292197443297,0.04379011629797288,0.03864551441976632,0.010048990110291136,0.006052600259672371,0.00238015873516319,0.023205796444402578,0.025516002749816663,0.02492873786472186,0.02413241111269827,0.007969626886429841,0.00635879441078123,0.003309801654069291,0.002352337473424316,0.015557438051216892,0.011943792826688324,0.016082017016463314,0.014314078789235657,0.016106952899155817,0.005345327601743742,0.00544413341341934,0.0030758230660920204,0.001957991692176515,0.0022926587483942155,53.649867374005304,119.41644562334217,0,0.0,70.71604947698336,1,0.0,0.0,0.0,0,2,2,11.431587404343627,0.830011257785908,nan,13.334799328198311,2,5,0.8572747982918593,4.0,2,-0.41097918684126,-0.7211205142239692
