TimeStep,CellLifeId,Orientation,label,Center_X,Center_Y,InstantaneousGrowthRate,InstantaneousVelocity,divideFlag,Major_axis,Minor_axis,parent
1,1,-0.1356415821150277,5.0,123.5359477124183,110.90196078431372,0.016,-1.516,False,32.199710751143144,6.211752093868072,0
1,2,-0.4009772903412079,6.0,212.8690476190476,128.82738095238096,0.029,-1.358,False,30.404671365119096,7.214077947343924,0
2,1,-0.1326715431882875,5.0,123.17703349282296,107.8803827751196,,,False,33.67704758540571,8.08428999931243,0
2,2,-0.3872646647369764,6.0,212.27649769585253,125.852534562212,,,False,32.99932047371467,8.533963585831186,0
3,3,-0.13547102310756537,3.0,123.29493087557604,98.2073732718894,0.008,-1.733,False,35.913442689837886,7.945502058066676,0
3,4,-0.3917375329467501,4.0,212.7929515418502,116.23348017621146,0.016,-1.42,False,34.30261914631734,8.536599345249309,0
4,3,-0.1361593327684811,3.0,122.45089285714286,95.07589285714286,0.025,-2.767,False,36.66800956126655,8.04260392386005,0
4,4,-0.37900652046414635,4.0,212.07203389830508,113.08474576271186,0.028,-2.602,False,35.76204164434935,8.56463788318963,0
5,3,-0.1489943318383475,3.0,121.27309236947792,89.75903614457832,0.009,-0.131,False,38.87690230920075,8.428670817138702,0
5,4,-0.392031669829353,4.0,210.3625954198473,107.93129770992368,-0.001,0.082,False,38.28186230526392,8.916022872862195,0
6,3,-0.15471185091885642,3.0,120.990990990991,89.8108108108108,0.036,-1.596,False,39.68752793846684,7.476209889789795,0
6,4,-0.40083918050394873,4.0,210.4434782608696,108.04347826086956,0.04,-1.474,False,38.23498759349074,7.80328899815632,0
7,3,-0.15130826063833885,3.0,121.00420168067228,85.71428571428571,0.022,-0.326,False,42.894731834940295,7.586771731469019,0
7,4,-0.400641724052053,4.0,209.86220472440945,104.29133858267716,0.023,0.221,False,41.85124804214074,7.988683246146166,0
8,3,-0.15248604078334924,3.0,121.07467532467533,84.76623376623377,0.039,-0.611,False,44.882610940936985,9.230982767247829,0
8,4,-0.4051112268587687,4.0,210.73941368078172,103.26384364820846,0.037,-0.478,False,43.880375546327535,9.170106015445336,0
9,3,-0.1548559264702923,3.0,120.653125,83.76875,0.023,-0.642,False,48.39477097108862,9.138673941326378,0
9,4,-0.41774011276250195,4.0,210.41017964071852,102.30538922155688,0.017,-0.371,False,47.21705540436797,9.202655790879502,0
10,3,-0.1409640230032008,3.0,120.53614457831326,82.24096385542168,0.039,-2.015,False,50.458382463750645,9.232696401090225,0
10,4,-0.4216094408825242,4.0,210.44868035190612,100.94428152492668,0.033,-1.205,False,48.74674884349788,9.165946283465528,0
11,3,-0.13951145903516834,3.0,120.13468013468014,77.37710437710437,0.026,-1.492,False,53.93083452116141,8.338617468475249,0
11,4,-0.4316657258244254,4.0,210.6964856230032,96.15015974440897,0.019,-0.97,False,51.74060040326298,8.030423878649701,0
12,3,-0.12501311654575645,3.0,118.21052631578948,76.23026315789474,0.067,-1.117,False,56.2339316308058,8.588736897000828,0
12,4,-0.43349885350725553,4.0,209.57407407407408,95.10493827160494,0.066,-1.0,False,53.49408209591196,8.055099544129794,0
13,3,-0.11361435091393217,3.0,117.8048048048048,73.74474474474475,0.03,0.48,False,62.26480126149228,9.32952404528038,0
13,4,-0.45379683179702746,4.0,208.8314917127072,93.09944751381217,0.019,0.163,False,59.45588281133884,8.217272239439726,0
14,3,-0.11059455371504734,3.0,117.49714285714286,75.57428571428571,0.142,-1.125,False,64.9317005050062,9.726112975377609,0
14,4,-0.4571529307096899,4.0,208.0972972972973,95.31621621621622,0.142,-0.286,False,61.15327183069607,8.274777277703015,0
15,3,-0.07456778119773522,3.0,116.16893203883497,74.51844660194175,,,True,77.6744485195966,12.658184889157,0
15,4,-0.47750285765972583,4.0,207.61346153846156,95.34038461538462,0.119,-0.354,False,73.89979307512125,9.806946760130572,0
