TimeStep,CellLifeId,Center_X,Center_Y,Orientation,Major_axis,Minor_axis,lable,parent,height,width
1,1,257.981658935547,174.247329711914,86.9895629882813,30.7700176239014,11.0904483795166,1,0,15.3850088119507,5.5452241897583
1,2,272.0546875,495.738800048828,84.4851379394531,32.5637016296387,10.7533445358276,2,0,16.2818508148193,5.37667226791382
1,3,268.767333984375,470.321838378906,-74.5477142333984,28.4573650360107,11.1352272033691,3,0,14.2286825180054,5.56761360168457
1,4,447.354919433594,798.880004882813,-78.3201751708984,18.685131072998,10.9529161453247,4,0,5.47645807266235,9.34256553649902
1,5,430.204956054688,797.882690429688,72.296875,21.6656875610352,9.91944217681885,5,0,4.95972108840942,10.8328437805176
1,6,433.128540039063,682.573669433594,-88.2842254638672,23.3907775878906,10.737060546875,6,0,11.6953887939453,5.3685302734375
1,7,475.391357421875,770.419006347656,74.3548278808594,20.742992401123,11.0793476104736,7,0,10.3714962005615,5.53967380523682
1,8,474.960998535156,788.563781738281,-76.0338745117188,22.341251373291,10.7250757217407,8,0,11.1706256866455,5.36253786087036
1,9,516.586730957031,697.866271972656,87.6252288818359,37.0815963745117,10.3499784469604,9,0,18.5407981872559,5.17498922348022
2,1,260.709777832031,173.939788818359,86.840576171875,30.040657043457,10.9844017028809,1,0,15.0203285217285,5.49220085144043
2,2,274.711578369141,495.724700927734,83.9492950439453,33.2002449035645,10.767671585083,2,0,16.6001224517822,5.3838357925415
2,3,271.396453857422,469.781280517578,-73.3966064453125,28.8224830627441,11.1492290496826,3,0,14.4112415313721,5.57461452484131
2,4,450.565521240234,798.5244140625,-78.2378692626953,19.2503890991211,11.0707349777222,4,0,5.53536748886108,9.62519454956055
2,5,432.266418457031,797.312194824219,72.169677734375,21.2778968811035,10.0443553924561,5,0,5.02217769622803,10.6389484405518
2,6,435.833740234375,682.310913085938,-88.1199951171875,24.1129932403564,10.7892408370972,6,0,12.0564966201782,5.39462041854858
2,7,478.210693359375,769.344421386719,72.5550079345703,20.6070137023926,11.2255821228027,7,0,10.3035068511963,5.61279106140137
2,8,477.676971435547,788.721069335938,-75.6900177001953,22.3495121002197,10.7548875808716,8,0,11.1747560501099,5.37744379043579
2,9,519.1923828125,697.323303222656,87.4960784912109,38.6479034423828,10.4696798324585,9,0,19.3239517211914,5.23483991622925
3,1,260.404327392578,173.572387695313,86.9322509765625,30.131477355957,11.0534677505493,1,0,15.0657386779785,5.52673387527466
3,2,274.465209960938,495.492553710938,82.9821624755859,34.7377014160156,10.8195533752441,2,0,17.3688507080078,5.40977668762207
3,3,271.048736572266,469.005035400391,-72.5381011962891,30.0598926544189,11.1997232437134,3,0,15.0299463272095,5.59986162185669
3,4,450.896240234375,798.049133300781,-78.4597473144531,19.395320892334,11.0373811721802,4,0,5.51869058609009,9.69766044616699
3,5,432.078002929688,796.921508789063,71.9272155761719,22.142972946167,10.0602512359619,5,0,5.03012561798096,11.0714864730835
3,6,435.672576904297,682.179931640625,-88.1825561523438,23.5703144073486,10.8515653610229,6,0,11.7851572036743,5.42578268051147
3,7,478.048431396484,768.822814941406,72.5673370361328,21.4961814880371,11.1836576461792,7,0,10.7480907440186,5.5918288230896
3,8,477.503509521484,788.652954101563,-76.0672149658203,23.5527744293213,10.8340187072754,8,0,11.7763872146606,5.4170093536377
3,9,518.923095703125,696.9677734375,87.3581085205078,39.9908981323242,10.465648651123,9,0,19.9954490661621,5.23282432556152
4,1,261.700256347656,173.797912597656,86.5497131347656,29.8469772338867,10.8668718338013,1,0,14.9234886169434,5.43343591690063
4,2,275.670227050781,496.110534667969,82.4302062988281,34.5467948913574,10.8784313201904,2,0,17.2733974456787,5.43921566009521
4,3,272.247375488281,468.933319091797,-71.0319061279297,31.1494426727295,11.1801729202271,3,0,15.5747213363647,5.59008646011353
4,4,452.439636230469,798.17626953125,-78.1484069824219,19.4397430419922,11.0230283737183,4,0,5.51151418685913,9.71987152099609
4,5,433.147766113281,797.002807617188,71.8952331542969,22.0487098693848,10.0230751037598,5,0,5.01153755187988,11.0243549346924
4,6,437.005706787109,682.307739257813,-88.236572265625,25.3821926116943,10.8794927597046,6,0,12.6910963058472,5.43974637985229
4,7,479.366149902344,768.585205078125,72.0819244384766,22.3979740142822,11.2108697891235,7,0,11.1989870071411,5.60543489456177
4,8,478.805877685547,789.194519042969,-75.8240966796875,24.0055122375488,10.8961153030396,8,0,12.0027561187744,5.44805765151978
5,1,261.053558349609,173.38330078125,86.8837432861328,29.6521778106689,10.8736896514893,1,0,14.8260889053345,5.43684482574463
5,2,274.969116210938,496.017150878906,81.2888793945313,36.4804191589355,10.9586868286133,2,0,18.2402095794678,5.47934341430664
5,3,271.560607910156,468.243255615234,-69.1704864501953,32.8574905395508,11.1401090621948,3,0,16.4287452697754,5.57005453109741
5,4,452.19873046875,797.591369628906,-77.6675415039063,20.9372100830078,10.9675064086914,4,0,5.4837532043457,10.4686050415039
5,5,432.507598876953,796.432922363281,73.7161407470703,23.5918312072754,10.0471601486206,5,0,5.0235800743103,11.7959156036377
5,6,436.410003662109,681.88525390625,-88.0030670166016,26.5525321960449,10.8962602615356,6,0,13.2762660980225,5.44813013076782
5,7,478.715698242188,767.901733398438,72.1463165283203,23.3938369750977,11.1991844177246,7,0,11.6969184875488,5.5995922088623
5,8,478.156951904297,788.914916992188,-75.3222351074219,25.4031944274902,10.8389225006104,8,0,12.7015972137451,5.41946125030518
6,1,263.563995361328,173.079635620117,86.8474426269531,29.493350982666,10.8094873428345,1,0,14.746675491333,5.40474367141724
6,2,277.490478515625,496.060424804688,80.2867126464844,38.4878387451172,10.90478515625,2,0,19.2439193725586,5.452392578125
6,3,273.826446533203,467.495208740234,-67.0898895263672,33.9142150878906,11.1802053451538,3,0,16.9571075439453,5.5901026725769
6,4,455.118896484375,797.323547363281,-77.9634857177734,21.8492469787598,10.9494733810425,4,0,5.47473669052124,10.9246234893799
6,5,434.972259521484,796.186828613281,74.1809234619141,24.7746067047119,10.0463037490845,5,0,5.02315187454224,12.387303352356
6,6,438.943023681641,681.777770996094,-88.2881774902344,27.6177997589111,10.8852367401123,6,0,13.8088998794556,5.44261837005615
6,7,481.256683349609,767.089721679688,71.709228515625,24.0873966217041,11.1728734970093,7,0,12.0436983108521,5.58643674850464
6,8,480.64794921875,789.012573242188,-75.1278686523438,26.3455810546875,10.8335676193237,8,0,13.1727905273438,5.41678380966187
7,1,262.299987792969,172.787750244141,87.0115966796875,29.2176170349121,10.7593011856079,1,0,14.6088085174561,5.37965059280396
7,2,276.18994140625,496.093444824219,79.6537322998047,40.0650978088379,10.9345712661743,2,0,20.0325489044189,5.46728563308716
7,3,272.524261474609,466.957275390625,-65.3895416259766,35.5483818054199,11.1356992721558,3,0,17.77419090271,5.56784963607788
7,4,454.420043945313,796.953308105469,-79.0073852539063,22.2935523986816,10.9574756622314,4,0,5.47873783111572,11.1467761993408
7,5,433.576416015625,795.7802734375,75.0154418945313,25.1846656799316,10.0450124740601,5,0,5.02250623703003,12.5923328399658
7,6,437.742706298828,681.4716796875,-88.3512268066406,28.1768703460693,10.9926385879517,6,0,14.0884351730347,5.49631929397583
7,7,480.021911621094,766.45703125,71.2185211181641,25.1767826080322,11.1896657943726,7,0,12.5883913040161,5.59483289718628
7,8,479.43115234375,789.132507324219,-74.7615966796875,26.6675605773926,10.7657632827759,8,0,13.3337802886963,5.38288164138794
8,1,263.983367919922,172.312759399414,87.3126220703125,29.0790500640869,10.7392597198486,1,0,14.5395250320435,5.36962985992432
8,2,277.899597167969,496.471405029297,78.8164825439453,42.4291763305664,11.0060214996338,2,0,21.2145881652832,5.50301074981689
8,3,273.824279785156,465.899597167969,-62.2620544433594,36.8645401000977,11.1176233291626,3,0,18.4322700500488,5.5588116645813
8,4,456.983581542969,796.347473144531,-88.2734832763672,22.954381942749,10.9016151428223,4,0,5.45080757141113,11.4771909713745
8,5,435.091796875,795.256774902344,76.2506256103516,25.4791030883789,10.074912071228,5,0,5.03745603561401,12.7395515441895
8,6,439.529937744141,681.151794433594,-88.5805053710938,29.292839050293,11.0903367996216,6,0,14.6464195251465,5.54516839981079
8,7,481.638031005859,765.718322753906,71.645751953125,26.7414817810059,11.1493864059448,7,0,13.3707408905029,5.57469320297241
8,8,481.090515136719,789.144897460938,-75.4383697509766,28.6611080169678,10.7757062911987,8,0,14.3305540084839,5.38785314559937
9,1,265.198883056641,171.917114257813,87.7294769287109,29.1558513641357,10.6183738708496,1,0,14.5779256820679,5.3091869354248
9,2,279.365936279297,496.684387207031,78.2872772216797,43.1977310180664,11.2770414352417,2,0,21.5988655090332,5.63852071762085
9,3,274.760131835938,465.339172363281,-59.7594604492188,39.0626602172852,11.0487051010132,3,0,19.5313301086426,5.52435255050659
9,4,458.613647460938,796.074645996094,89.2036895751953,24.2679557800293,10.954363822937,4,0,5.47718191146851,12.1339778900146
9,5,436.190246582031,794.993041992188,76.8428039550781,26.9734916687012,10.1103181838989,5,0,5.05515909194946,13.4867458343506
9,6,440.849243164063,680.884460449219,-88.4112854003906,30.931921005249,11.1713247299194,6,0,15.4659605026245,5.58566236495972
9,7,482.936553955078,764.794677734375,71.6562194824219,27.3621139526367,11.2099552154541,7,0,13.6810569763184,5.60497760772705
9,8,482.320251464844,789.516906738281,-75.4267120361328,30.0160942077637,10.803017616272,8,0,15.0080471038818,5.40150880813599
10,1,265.471984863281,174.012451171875,85.9786224365234,26.093147277832,9.40521907806396,1,0,13.046573638916,4.70260953903198
10,2,279.569885253906,499.292419433594,76.1929016113281,42.1367568969727,10.9520311355591,2,0,21.0683784484863,5.47601556777954
10,3,274.801574707031,467.038452148438,-58.0520782470703,39.6741218566895,10.1618022918701,3,0,19.8370609283447,5.08090114593506
10,4,459.319976806641,797.828308105469,89.19287109375,25.6290721893311,10.8263072967529,4,0,5.41315364837646,12.8145360946655
10,5,436.118530273438,796.80419921875,77.6357421875,27.4879016876221,10.0171747207642,5,0,5.00858736038208,13.743950843811
10,6,441.261779785156,682.943786621094,-88.1217498779297,31.8909282684326,11.0050973892212,6,0,15.9454641342163,5.5025486946106
10,7,483.183410644531,766.317260742188,71.1444091796875,29.2729511260986,11.031982421875,7,0,14.6364755630493,5.5159912109375
11,1,267.832061767578,169.447357177734,87.9861450195313,28.9075565338135,10.6608619689941,1,0,14.4537782669067,5.33043098449707
11,2,281.296173095703,495.965087890625,71.2671356201172,42.0083808898926,12.9555339813232,2,0,21.0041904449463,6.47776699066162
11,3,276.423797607422,461.961791992188,-56.4472198486328,42.5349655151367,11.0878381729126,3,0,21.2674827575684,5.5439190864563
11,4,462.156768798828,793.443237304688,88.0713806152344,26.5915451049805,10.8705806732178,4,0,5.43529033660889,13.2957725524902
11,5,438.17626953125,792.41455078125,78.2134704589844,28.4072666168213,10.1978063583374,5,0,5.0989031791687,14.2036333084106
11,6,443.622528076172,678.270812988281,-87.9974212646484,34.9210357666016,11.1416015625,6,0,17.4605178833008,5.57080078125
11,7,485.405822753906,761.843505859375,72.3588104248047,31.3912181854248,11.1210517883301,7,0,15.6956090927124,5.56052589416504
12,1,266.93505859375,166.956878662109,88.1438140869141,28.9366645812988,10.4507675170898,1,0,14.4683322906494,5.22538375854492
12,11,277.224548339844,502.875335693359,-48.8511047363281,24.3046989440918,10.1307430267334,2,2,5.0653715133667,12.1523494720459
12,10,283.968566894531,484.706695556641,-75.9530792236328,21.1706085205078,11.233832359314,2,2,10.5853042602539,5.61691617965698
12,3,275.202545166016,459.113616943359,-56.0030822753906,45.0637092590332,11.0350389480591,3,0,22.5318546295166,5.51751947402954
12,4,461.921752929688,791.138122558594,87.3861083984375,27.2939128875732,10.9401693344116,4,0,5.47008466720581,13.6469564437866
12,5,437.263427734375,790.09521484375,79.0791778564453,29.939582824707,10.2039260864258,5,0,5.10196304321289,14.9697914123535
12,6,442.948577880859,676.373291015625,-87.6131591796875,35.8009834289551,11.1897983551025,6,0,17.9004917144775,5.59489917755127
12,7,484.440673828125,759.177978515625,73.5007781982422,34.1343803405762,11.113055229187,7,0,17.0671901702881,5.55652761459351
13,1,266.626953125,166.583709716797,88.3699035644531,28.8996925354004,10.573558807373,1,0,14.4498462677002,5.28677940368652
13,11,274.797424316406,501.587188720703,-62.4428405761719,22.6753578186035,10.3383207321167,2,2,5.16916036605835,11.3376789093018
13,10,283.3740234375,484.452178955078,-61.1059417724609,22.3084201812744,10.8188800811768,2,2,11.1542100906372,5.40944004058838
13,3,274.313415527344,458.108825683594,-54.93798828125,46.8534469604492,10.9765825271606,3,0,23.4267234802246,5.48829126358032
13,4,462.141937255859,790.624389648438,87.0922241210938,27.6310157775879,10.9088001251221,4,0,5.45440006256104,13.8155078887939
13,5,436.62646484375,789.641479492188,80.3427124023438,31.6876621246338,10.1473293304443,5,0,5.07366466522217,15.8438310623169
13,13,442.334991455078,668.95751953125,-85.3848114013672,15.9722871780396,11.7361192703247,6,6,7.98614358901978,5.86805963516235
13,12,443.035766601563,683.974609375,-86.8651733398438,19.3616638183594,10.4925174713135,6,6,9.68083190917969,5.24625873565674
13,7,484.118713378906,757.948303222656,74.2226715087891,35.3649063110352,11.1454334259033,7,0,17.6824531555176,5.57271671295166
14,1,264.647491455078,167.074493408203,88.8098297119141,28.6423664093018,10.546196937561,1,0,14.3211832046509,5.27309846878052
14,11,274.815704345703,500.080749511719,-79.8572082519531,25.110034942627,10.3434257507324,2,2,5.17171287536621,12.5550174713135
14,10,280.612518310547,484.849975585938,-47.8820648193359,24.8949241638184,10.4804964065552,2,2,12.4474620819092,5.24024820327759
14,15,266.820068359375,450.836639404297,-55.8122253417969,21.9385967254639,11.0367126464844,3,3,10.9692983627319,5.51835632324219
14,14,277.701354980469,467.2578125,-49.8754577636719,22.1550674438477,10.6812000274658,3,3,11.0775337219238,5.34060001373291
14,4,460.656127929688,791.067932128906,86.9913482666016,29.7125587463379,10.8103361129761,4,0,5.40516805648804,14.8562793731689
14,5,434.133880615234,790.098815917969,80.6021728515625,32.2868576049805,10.2075214385986,5,0,5.10376071929932,16.1434288024902
14,13,440.337188720703,668.491394042969,-84.0594787597656,14.6045341491699,12.1077175140381,6,6,7.30226707458496,6.05385875701904
14,12,441.253967285156,685.545227050781,-86.8690032958984,18.7856960296631,10.6427230834961,6,6,9.39284801483154,5.32136154174805
14,7,482.179992675781,757.792053222656,74.6918487548828,37.9635047912598,11.1440811157227,7,0,18.9817523956299,5.57204055786133
15,1,264.155151367188,167.070495605469,88.9425201416016,29.4018268585205,10.5658893585205,1,0,14.7009134292603,5.28294467926025
15,11,274.627136230469,499.900482177734,-82.0223388671875,26.5323715209961,10.445746421814,2,2,5.22287321090698,13.266185760498
15,10,279.6123046875,484.862548828125,47.0483093261719,25.5085048675537,10.4790754318237,2,2,5.23953771591187,12.7542524337769
15,15,265.578186035156,450.468109130859,-54.2955932617188,21.5438003540039,11.1211051940918,3,3,10.771900177002,5.5605525970459
15,14,278.235626220703,468.564208984375,-48.8153076171875,22.3482646942139,10.5575323104858,3,3,11.1741323471069,5.27876615524292
15,4,460.549560546875,790.932495117188,87.2932891845703,30.4272575378418,10.7187232971191,4,0,5.35936164855957,15.2136287689209
15,5,433.641967773438,790.088562011719,81.036376953125,34.8430137634277,10.1127109527588,5,0,5.05635547637939,17.4215068817139
15,13,439.870513916016,668.335754394531,-81.4979400634766,15.8643398284912,11.9008655548096,6,6,7.93216991424561,5.95043277740479
15,12,441.077026367188,686.101013183594,-85.9600372314453,19.114933013916,10.6129179000854,6,6,9.55746650695801,5.30645895004272
15,17,484.04296875,749.281677246094,82.1018829345703,19.3470783233643,10.75279712677,7,7,9.67353916168213,5.37639856338501
15,16,479.499816894531,765.068481445313,65.1283874511719,17.85915184021,10.7391319274902,7,7,8.92957592010498,5.36956596374512
16,1,263.888732910156,166.641357421875,88.8397521972656,29.2998943328857,10.558687210083,1,0,14.6499471664429,5.2793436050415
16,11,274.275512695313,499.405364990234,-82.8135375976563,27.3456192016602,10.4422235488892,2,2,5.22111177444458,13.6728096008301
16,10,279.126556396484,484.334289550781,49.3026885986328,26.2927474975586,10.5779695510864,2,2,5.28898477554321,13.1463737487793
16,15,265.013519287109,450.532501220703,-54.4711456298828,24.4383850097656,11.0895795822144,3,3,12.2191925048828,5.54478979110718
16,14,278.646850585938,469.155639648438,-48.2048187255859,23.522575378418,10.3879327774048,3,3,11.761287689209,5.19396638870239
16,4,460.53076171875,790.451843261719,86.9486236572266,32.2628974914551,10.6446304321289,4,0,5.32231521606445,16.1314487457275
16,5,432.733581542969,789.583923339844,81.3366394042969,35.8729820251465,10.1780681610107,5,0,5.08903408050537,17.9364910125732
16,13,439.487152099609,667.875793457031,-76.3119506835938,17.2188930511475,11.8673505783081,6,6,8.60944652557373,5.93367528915405
16,12,441.284912109375,686.661254882813,-86.4556274414063,20.3773460388184,10.5887784957886,6,6,10.1886730194092,5.29438924789429
16,17,484.426574707031,747.151916503906,82.4038848876953,19.5754814147949,10.8563423156738,7,7,9.78774070739746,5.42817115783691
16,16,479.031372070313,764.842651367188,63.5780181884766,17.1840515136719,11.0364809036255,7,7,8.59202575683594,5.51824045181274
17,1,262.696746826172,166.727172851563,88.0832824707031,28.6461029052734,10.3912801742554,1,0,14.3230514526367,5.19564008712769
17,11,273.253479003906,499.188323974609,-83.890869140625,28.6089668273926,10.3488330841064,2,2,5.17441654205322,14.3044834136963
17,10,277.843780517578,484.291381835938,53.2055511474609,26.9693031311035,10.6232309341431,2,2,5.31161546707153,13.4846515655518
17,15,264.005798339844,450.491882324219,-52.2484588623047,25.5288467407227,10.9262113571167,3,3,12.7644233703613,5.46310567855835
17,14,277.017883300781,469.458038330078,47.113037109375,24.0808525085449,10.1091747283936,3,3,5.05458736419678,12.0404262542725
17,4,460.064239501953,790.548767089844,86.1200256347656,33.1695709228516,10.5968446731567,4,0,5.29842233657837,16.5847854614258
17,5,431.126342773438,789.567932128906,81.5999603271484,38.1931343078613,10.1967878341675,5,0,5.09839391708374,19.0965671539307
17,13,438.201416015625,667.72216796875,-75.3150787353516,17.6572895050049,12.0193319320679,6,6,8.82864475250244,6.00966596603394
17,12,440.454528808594,688.265014648438,-86.8738403320313,20.3343830108643,10.676549911499,6,6,10.1671915054321,5.33827495574951
17,17,483.637084960938,745.766479492188,84.7422332763672,19.9613761901855,10.9747552871704,7,7,9.98068809509277,5.48737764358521
17,16,477.898162841797,764.473754882813,59.9219207763672,18.5053157806396,11.0986976623535,7,7,9.25265789031982,5.54934883117676
18,1,260.875518798828,167.015777587891,88.3971557617188,28.5571479797363,10.4545555114746,1,0,14.2785739898682,5.2272777557373
18,11,271.419647216797,499.492370605469,-84.651123046875,29.4714794158936,10.4652318954468,2,2,5.23261594772339,14.7357397079468
18,10,275.897644042969,484.495849609375,55.0468902587891,27.3775234222412,10.8120136260986,2,2,5.40600681304932,13.6887617111206
18,15,262.809875488281,450.834136962891,-45.3182983398438,26.2204132080078,10.9039001464844,3,3,13.1102066040039,5.45195007324219
18,14,275.083557128906,469.919494628906,49.6409454345703,23.8836860656738,10.1542873382568,3,3,5.07714366912842,11.9418430328369
18,4,458.636413574219,791.071960449219,83.2932281494141,35.3833045959473,10.409857749939,4,0,5.20492887496948,17.6916522979736
18,5,428.780487060547,789.898254394531,80.6635131835938,39.507137298584,10.2068672180176,5,0,5.10343360900879,19.753568649292
18,13,436.334289550781,668.281677246094,-78.7106781005859,19.2237720489502,11.9617977142334,6,6,9.6118860244751,5.9808988571167
18,12,438.964324951172,689.77978515625,-81.3077850341797,21.3691577911377,10.7857837677002,6,6,10.6845788955688,5.3928918838501
18,17,481.825897216797,745.622192382813,-88.7301940917969,20.6277751922607,11.1379089355469,7,7,10.3138875961304,5.56895446777344
18,16,475.894836425781,765.046142578125,55.0897369384766,19.5019645690918,11.03355884552,7,7,9.7509822845459,5.51677942276001
19,1,260.582733154297,167.476348876953,88.4441680908203,28.5617599487305,10.3857564926147,1,0,14.2808799743652,5.19287824630737
19,11,271.023742675781,499.831787109375,-85.4605102539063,30.5790748596191,10.4009027481079,2,2,5.20045137405396,15.2895374298096
19,10,275.638854980469,485.167236328125,57.8470001220703,29.838062286377,10.1217861175537,2,2,5.06089305877686,14.9190311431885
19,15,262.868774414063,451.144989013672,49.386962890625,26.879997253418,10.8660707473755,3,3,5.43303537368774,13.439998626709
19,14,274.811309814453,470.518127441406,51.3786468505859,24.4587345123291,10.0634956359863,3,3,5.03174781799316,12.2293672561646
19,19,466.522918701172,792.313781738281,80.3184356689453,18.2759475708008,9.33480262756348,4,4,4.66740131378174,9.13797378540039
19,18,451.583099365234,790.1552734375,70.5182189941406,16.7057209014893,10.7433948516846,4,4,5.37169742584229,8.35286045074463
19,5,428.071838378906,789.750244140625,76.8101348876953,41.620979309082,10.3013401031494,5,0,5.15067005157471,20.810489654541
19,13,436.072692871094,668.51416015625,-80.2249908447266,20.061243057251,12.1002473831177,6,6,10.0306215286255,6.05012369155884
19,12,438.60498046875,690.162963867188,-73.3893432617188,22.2027168273926,10.7228317260742,6,6,11.1013584136963,5.36141586303711
19,17,481.554992675781,745.752746582031,-87.1638793945313,21.957332611084,11.1328525543213,7,7,10.978666305542,5.56642627716064
19,16,475.455383300781,765.493835449219,53.7966613769531,20.5451965332031,11.0754470825195,7,7,10.2725982666016,5.53772354125977
20,1,260.268707275391,167.765762329102,88.3917236328125,28.3104133605957,10.514835357666,1,0,14.1552066802979,5.25741767883301
20,11,270.721069335938,500.090301513672,-85.9383239746094,31.9575843811035,10.3921203613281,2,2,5.19606018066406,15.9787921905518
20,10,275.119384765625,485.201477050781,59.5637817382813,30.6868419647217,10.5433626174927,2,2,5.27168130874634,15.3434209823608
20,15,262.742126464844,451.464721679688,51.4005737304688,28.659215927124,10.8212232589722,3,3,5.41061162948608,14.329607963562
20,14,274.457733154297,471.36474609375,51.5518646240234,27.3541221618652,10.0731449127197,3,3,5.03657245635986,13.6770610809326
20,19,467.80810546875,793.068786621094,80.4773254394531,17.6240844726563,9.35697937011719,4,4,4.67848968505859,8.81204223632813
20,18,450.647155761719,790.166015625,63.5760498046875,15.7553930282593,10.7687292098999,4,4,5.38436460494995,7.87769651412964
20,21,418.552520751953,787.150207519531,81.7222290039063,21.3467464447021,9.89670562744141,5,5,4.9483528137207,10.6733732223511
20,20,435.526916503906,791.97314453125,67.542236328125,19.0455780029297,10.2392072677612,5,5,5.11960363388062,9.52278900146484
20,13,435.773101806641,668.795227050781,-79.0785217285156,21.0502605438232,12.1015033721924,6,6,10.5251302719116,6.05075168609619
20,12,438.199127197266,690.452209472656,-68.2763519287109,22.9943332672119,10.6198463439941,6,6,11.497166633606,5.30992317199707
20,17,481.181701660156,745.690673828125,-84.3805541992188,22.3842067718506,11.2320222854614,7,7,11.1921033859253,5.61601114273071
20,16,474.874328613281,766.068359375,51.6495513916016,20.8773326873779,11.1487617492676,7,7,10.438666343689,5.57438087463379
21,1,260.884704589844,167.99040222168,88.6365509033203,28.8833255767822,10.4851741790771,1,0,14.4416627883911,5.24258708953857
21,11,271.496978759766,500.163452148438,-87.0560913085938,33.1934700012207,10.5375099182129,2,2,5.26875495910645,16.5967350006104
21,10,275.218505859375,485.427734375,60.9783782958984,34.8244018554688,9.93077850341797,2,2,4.96538925170898,17.4122009277344
21,15,263.749481201172,451.648376464844,53.5589599609375,30.1522216796875,10.8541231155396,3,3,5.42706155776978,15.0761108398438
21,14,274.322814941406,471.019409179688,51.5950469970703,29.4442310333252,9.97070598602295,3,3,4.98535299301147,14.7221155166626
21,19,469.933685302734,793.697448730469,87.4508972167969,17.4747695922852,9.34695625305176,4,4,4.67347812652588,8.73738479614258
21,18,451.453063964844,790.466674804688,60.584716796875,17.9180450439453,10.4878692626953,4,4,5.24393463134766,8.95902252197266
21,21,417.794372558594,786.09326171875,80.6963653564453,21.767707824707,9.94187927246094,5,5,4.97093963623047,10.8838539123535
21,20,436.078552246094,792.203002929688,63.6470031738281,18.9342308044434,10.1480312347412,5,5,5.07401561737061,9.46711540222168
21,13,436.389953613281,668.893859863281,-77.8463897705078,21.2790813446045,12.1928215026855,6,6,10.6395406723022,6.09641075134277
21,12,438.698669433594,690.608276367188,-65.7526550292969,23.1786842346191,10.627028465271,6,6,11.5893421173096,5.3135142326355
21,17,481.7939453125,745.953918457031,-81.7357482910156,23.6243209838867,11.1555910110474,7,7,11.8121604919434,5.57779550552368
21,16,475.082489013672,766.542724609375,50.3761138916016,22.5927448272705,10.904468536377,7,7,11.2963724136353,5.45223426818848
22,1,261.729400634766,168.589630126953,88.2513122558594,28.3542671203613,10.5083227157593,1,0,14.1771335601807,5.25416135787964
22,11,272.305603027344,500.626983642578,-88.4869537353516,35.5028991699219,10.4551134109497,2,2,5.22755670547485,17.7514495849609
22,23,267.916748046875,481.903686523438,60.8237915039063,12.4612216949463,9.88974285125732,2,10,4.94487142562866,6.23061084747314
22,22,281.719787597656,488.833435058594,56.0661163330078,19.2932243347168,9.24110889434814,2,10,4.62055444717407,9.6466121673584
22,15,264.85986328125,452.278564453125,54.8602600097656,31.3643264770508,10.8392238616943,3,3,5.41961193084717,15.6821632385254
