StepNumber,NumberOfCells
1,85
2,85
3,83
4,85
5,87
6,86
7,87
8,85
9,86
10,89
11,91
12,89
13,88
14,89
15,90
16,89
17,92
18,91
19,93
20,91
21,92
22,93
23,95
24,96
25,98
26,99
27,101
28,100
29,100
30,98
31,99
32,100
33,101
34,103
35,104
36,103
37,103
38,102
39,102
40,105
41,105
42,105
43,107
44,105
45,111
46,118
47,116
48,119
49,121
50,123
51,125
52,127
53,125
54,126
55,127
56,127
57,130
58,131
59,132
60,133
61,138
62,137
63,136
64,136
65,138
66,141
67,138
68,140
69,142
70,140
71,141
72,140
73,142
74,145
75,149
76,149
77,150
78,148
79,150
80,153
81,155
82,159
83,163
84,164
85,167
86,168
87,169
88,177
89,183
90,184
91,185
92,192
93,190
94,196
95,207
96,208
97,221
98,219
99,228
100,230
101,233
102,235
103,241
104,243
105,244
106,245
107,250
108,251
109,251
110,248
111,254
112,255
113,252
114,256
115,257
116,260
117,266
118,266
119,272
120,275
121,274
122,285
123,283
124,287
125,301
126,306
127,306
128,316
129,322
130,331
131,333
132,347
133,354
134,364
135,367
136,381
137,395
138,403
139,412
140,417
141,426
142,437
143,443
144,450
145,457
146,459
147,459
148,469
149,470
150,475
151,477
152,478
153,477
154,491
155,491
156,504
157,512
158,516
159,525
160,531
161,542
162,550
163,554
164,567
165,584
166,610
167,625
168,650
169,675
170,688
171,706
172,723
173,742
174,760
175,768
176,782
