time step,CellProfiler,FAST,SuperSegger,DeLTA,Oufti
1.0,0.962,0.6161,0.6352,0.5436,0.5723
2.0,0.9658,0.6208,0.6313,0.5712,0.5718
3.0,0.9479,0.6,0.6317,0.5298,0.5595
4.0,0.9507,0.5946,0.6134,0.54,0.5659
5.0,0.968,0.5793,0.6069,0.5318,0.564
6.0,0.9805,0.5771,0.5856,0.5232,0.5672
7.0,0.9547,0.5704,0.5891,0.4743,0.5569
8.0,0.9607,0.5698,0.5911,0.5237,0.5574
9.0,0.9705,0.557,0.571,0.5205,0.5506
10.0,0.5687,0.5647,0.5722,0.5347,0.5624
11.0,0.9571,0.5672,0.5705,0.5469,0.5578
12.0,0.9559,0.5647,0.5697,0.5457,0.5592
13.0,0.9575,0.8144,0.8613,0.8298,0.52
14.0,0.9677,0.7959,0.8961,0.8221,0.638
15.0,0.9562,0.7818,0.8505,0.8364,0.0
16.0,0.9294,0.7586,0.858,0.807,0.0
17.0,0.9496,0.767,0.7899,0.8002,0.0
18.0,0.9359,0.7453,0.8413,0.8016,0.0
19.0,0.7832,0.7213,0.7468,0.7765,0.0
20.0,0.7035,0.7098,0.7793,0.7628,0.0
21.0,0.9543,0.6579,0.6686,0.7157,0.0
22.0,0.8212,0.6471,0.6922,0.7446,0.0
23.0,0.5753,0.652,0.5741,0.736,0.0
24.0,0.8297,0.6554,0.5838,0.736,0.0
25.0,0.576,0.5755,0.5559,0.7686,0.0
26.0,0.8109,0.5712,0.5721,0.7942,0.0
27.0,0.9488,0.6948,0.5991,0.7592,0.0
28.0,0.8483,0.6986,0.5981,0.7718,0.0
29.0,0.8981,0.7004,0.5562,0.6969,0.0
30.0,0.9745,0.6948,0.5351,0.6829,0.0
31.0,0.956,0.7133,0.6209,0.7243,0.0
32.0,0.8494,0.7026,0.6247,0.7363,0.0
33.0,0.7654,0.6864,0.6263,0.8094,0.0
34.0,0.9755,0.5783,0.5819,0.8256,0.0
35.0,0.7228,0.6554,0.6175,0.7124,0.0
36.0,0.892,0.7156,0.6204,0.6783,0.0
37.0,0.8536,0.7161,0.6018,0.6397,0.0
38.0,0.9409,0.6876,0.599,0.668,0.0
39.0,0.8756,0.6967,0.5111,0.6996,0.0
40.0,0.7951,0.6581,0.6203,0.6275,0.0
