TimeStep,NumberOfCells
1,6
2,6
3,7
4,6
5,7
6,6
7,7
8,7
9,8
10,10
11,7
12,11
13,8
14,10
15,10
16,10
17,12
18,11
19,12
20,11
21,13
22,14
23,14
24,15
25,14
26,15
27,17
28,14
29,17
30,19
31,20
32,20
33,23
34,23
35,23
36,23
37,24
38,23
39,25
40,25
41,21
42,24
43,30
44,26
45,30
46,30
47,33
48,38
49,38
50,36
51,28
52,31
53,33
54,44
55,35
56,38
57,32
58,41
59,24
60,28
61,46
62,36
63,36
64,35
65,36
66,27
67,30
68,28
69,43
70,44
71,41
72,49
73,43
74,46
75,23
76,32
77,25
78,37
79,34
80,34
81,28
82,24
83,30
84,25
85,30
86,28
87,28
88,38
89,40
90,37
91,34
92,45
93,38
94,44
95,43
96,44
97,41
98,47
99,48
100,48
101,46
102,44
103,55
104,51
105,46
106,50
107,39
108,37
109,37
110,30
111,22
112,25
113,23
114,23
115,26
116,32
117,32
118,32
119,35
120,32
121,28
122,28
123,34
124,32
125,29
126,23
127,27
128,29
129,34
130,25
131,22
132,23
133,25
134,25
135,29
136,31
137,25
138,25
139,25
140,22
141,24
142,24
143,21
144,17
145,15
146,18
147,15
148,16
149,19
150,21
151,18
152,17
153,12
154,7
155,10
156,12
157,11
158,9
159,10
160,12
161,10
162,16
163,13
164,13
165,15
166,6
167,6
168,8
169,6
170,8
171,4
172,4
173,4
174,5
175,3
176,2
177,1
178,1
179,2
180,2
181,6
182,3
183,4
184,5
185,4
186,4
187,10
188,6
189,2
190,5
191,6
192,8
193,4
194,4
195,2
196,2
198,2
199,1
200,8
201,5
202,8
203,1
