stepNum,id,divideFlag,cellAge,growthRate,LifeHistory,startVol,targetVol,lineage,pos,time,radius,length,orientation,cellType
1,1,False,1,0.032,11,5.080843675,8.633847936,,"[16.64285714, 83.07142857]",1.5,,5.080843675,-69.33724976,3
1,2,False,1,0.006,2,29.81286475,30.32267488,,"[24.14666667, 92.50666667]",1.5,,29.81286475,-50.78097301,1
1,3,False,1,0.026,11,6.476244946,9.919115103,,"[17.2, 108.3]",1.5,,6.476244946,-70.67009587,2
1,4,False,1,0.01,6,43.20215327,47.41743447,,"[20.72268908, 46.72268908]",1.5,,43.20215327,-7.487233239,1
1,5,False,1,0.004,2,20.00612653,20.22709315,,"[25.85245902, 73.50819672]",1.5,,20.00612653,-89.22639731,2
1,6,False,1,-0.009,11,10.18386855,8.725329243,,"[21.32142857, 87.25]",1.5,,10.18386855,-48.43530671,2
1,7,False,1,-0.013,8,5.114139637,4.38178046,,"[20.64285714, 24.28571429]",1.5,,5.114139637,24.60449246,0
1,8,False,1,0.003,11,5.042040092,5.326818938,,"[22.375, 103.4375]",1.5,,5.042040092,23.74477646,2
1,9,False,1,0.006,11,6.741475125,7.457861174,,"[24.77272727, 66.59090909]",1.5,,6.741475125,82.79142419,2
1,10,False,1,0.001,11,6.985699679,7.064206812,,"[26.6, 59.4]",1.5,,6.985699679,-45.0,2
1,11,False,1,0.011,11,6.596939677,7.921745557,,"[28.72222222, 26.33333333]",1.5,,6.596939677,78.56517094,2
1,12,False,1,0.02,11,15.93600645,22.30855081,,"[28.60869565, 38.63043478]",1.5,,15.93600645,-16.75749083,1
1,13,False,1,0.017,11,9.890084084,13.0965639,,"[29.89285714, 97.53571429]",1.5,,9.890084084,-77.9363218,3
1,14,False,1,0.049,2,35.07395594,40.60015546,,"[37.95588235, 61.77941176]",1.5,,35.07395594,44.35509908,1
1,15,False,1,-0.007,11,7.064206812,6.288331408,,"[29.38095238, 105.5238095]",1.5,,7.064206812,-41.14104519,2
1,16,False,1,-0.083,5,8.153853478,4.38178046,,"[32.0, 20.71428571]",1.5,,8.153853478,-77.73113576,2
1,17,False,1,0.008,5,13.76133497,14.64751317,,"[35.4516129, 49.51612903]",1.5,,13.76133497,35.44795694,2
1,18,False,1,0.0,11,8.600181325,8.648069257,,"[35.14285714, 66.61904762]",1.5,,8.600181325,47.58262052,2
1,19,False,1,0.019,2,19.2634133,20.38855503,,"[35.74, 107.6]",1.5,,19.2634133,-27.56532681,2
1,20,False,1,0.01,11,5.258554521,6.152778894,,"[36.06666667, 41.26666667]",1.5,,5.258554521,62.45124781,2
1,21,False,1,0.001,11,13.73490821,13.91059652,,"[39.52631579, 87.92105263]",1.5,,13.73490821,-54.54897562,1
1,22,False,1,-0.066,11,17.176837,5.768121028,,"[38.33333333, 116.3541667]",1.5,,17.176837,-29.43770621,2
1,23,False,1,0.007,11,19.51376585,21.84364894,,"[38.79166667, 24.97916667]",1.5,,19.51376585,-25.74408719,1
1,24,False,1,-0.0,11,9.21378532,9.165129294,,"[39.51724138, 77.34482759]",1.5,,9.21378532,-9.341490476,1
1,25,False,1,0.006,11,12.35367926,13.62207697,,"[43.21212121, 95.12121212]",1.5,,12.35367926,-78.61090561,1
1,26,False,1,0.017,11,5.181899763,6.844455372,,"[41.11764706, 36.41176471]",1.5,,5.181899763,-74.82837556,2
1,27,False,1,0.021,11,12.9319568,18.33184031,,"[45.45714286, 25.08571429]",1.5,,12.9319568,-32.5036128,1
1,28,False,1,0.0,11,11.25047085,11.2880224,,"[43.74193548, 47.83870968]",1.5,,11.25047085,6.747540381,2
1,29,False,1,0.012,11,6.32455532,7.77230363,,"[44.33333333, 59.66666667]",1.5,,6.32455532,45.0,3
1,30,False,1,0.006,11,7.274516944,8.04661039,,"[47.42105263, 80.05263158]",1.5,,7.274516944,50.57233967,2
