StepNumber,NumberOfCells
1,2
2,3
3,3
4,3
5,2
6,6
7,7
8,7
9,10
10,13
11,14
12,13
13,13
14,16
15,15
16,15
17,16
18,20
19,20
20,21
21,27
22,27
23,31
24,35
25,36
26,40
27,38
28,38
29,39
30,41
31,50
32,55
33,68
34,71
35,74
36,76
37,82
38,83
39,83
40,85
41,92
42,96
43,104
44,121
45,133
46,148
47,154
48,166
49,166
50,172
51,170
52,169
53,175
54,190
55,199
56,210
57,227
58,238
59,263
60,272
61,273
62,283
63,279
64,283
65,297
66,321
67,333
68,336
69,354
70,372
71,379
72,405
73,440
74,444
75,431
76,455
77,479
78,518
79,533
80,548
81,556
82,559
83,571
84,574
85,574
86,590
87,591
88,613
89,608
90,623
91,635
92,647
93,641
94,638
95,625
96,611
97,605
98,593
99,590
100,593
101,618
102,616
103,635
104,662
105,645
106,666
107,667
108,663
109,650
110,622
111,610
112,603
113,595
114,598
115,601
116,622
117,649
118,656
119,666
120,658
121,669
122,668
123,645
124,617
125,607
126,547
127,579
128,604
129,604
130,606
131,620
132,662
133,672
134,675
135,665
136,671
137,645
138,623
139,618
140,607
141,585
142,606
143,659
144,666
145,653
146,685
147,710
148,676
149,706
150,682
151,706
152,645
153,678
154,663
155,645
156,645
