TimeStep,CellId,Orientation,label,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2,InstantaneousGrowthRate,InstantaneousVelocity
1.0,0.0,2.2896263819008333,1.0,119.71238708496094,38.68583679199219,24.17652702331543,7.243551254272461,0.0,,,,
1.0,1.0,1.8736811662580528,2.0,107.54449462890625,63.3576545715332,23.742691040039062,6.7410149574279785,0.0,,,0.014,-0.876
2.0,1.0,2.2655345611526223,2.0,117.25408935546875,38.79508590698242,24.967193603515625,7.298102855682373,0.0,,,,
2.0,2.0,1.8925468995516332,3.0,104.35000610351562,64.45000457763672,24.6657657623291,7.273237705230713,0.0,,,0.019,-1.2
3.0,2.0,2.2896263819008333,3.0,113.893798828125,40.407073974609375,26.34018325805664,7.149478435516357,0.0,,,,
3.0,3.0,1.837048370133847,4.0,100.7115478515625,67.55769348144531,26.487150192260742,7.279580593109131,0.0,,,0.014,-1.409
4.0,3.0,2.2896263819008333,4.0,112.0663833618164,40.49557113647461,27.751266479492188,7.149478435516357,0.0,,,,
4.0,4.0,1.892546832972606,5.0,98.35001373291016,67.94999694824219,26.879358291625977,6.957010269165039,0.0,,,0.04,0.129
5.0,4.0,2.279422679921276,5.0,110.2470703125,46.71177291870117,30.478729248046875,7.375636100769043,0.0,,,0.0,0.721
5.0,5.0,1.8925468995516332,6.0,95.75000762939453,75.25,27.195587158203125,7.273237705230713,0.0,,,,
6.0,4.0,2.279422679921276,5.0,109.20589447021484,51.676475524902344,30.478729248046875,7.2671709060668945,0.0,,,,
6.0,6.0,1.8925468662621197,7.0,94.0999984741211,81.19999694824219,28.776723861694336,7.273238182067871,0.0,,,0.043,-2.37
7.0,6.0,2.2848870870039555,7.0,108.01394653320312,53.9454345703125,32.64576721191406,7.204236030578613,0.0,,,,
7.0,7.0,1.8313987069078395,8.0,92.50001525878906,85.5,30.8551025390625,7.278969764709473,0.0,,,,
8.0,8.0,2.2597206807558976,9.0,106.57009887695312,63.55773162841797,34.19196701049805,7.855525493621826,0.0,,,,
8.0,9.0,1.8925468995516332,10.0,89.99999237060547,96.50000762939453,31.30654525756836,7.273237228393555,0.0,,,,
9.0,10.0,2.239085776260664,11.0,105.586181640625,69.35751342773438,37.0134162902832,8.055376052856445,0.0,,,,
9.0,11.0,1.8736811662580528,12.0,88.52490234375,103.82028198242188,34.18231201171875,7.5761847496032715,0.0,,,,
10.0,12.0,2.221873033766182,13.0,105.569580078125,70.31492614746094,38.59737777709961,7.878561973571777,0.0,,,,
10.0,13.0,1.8925468662621197,14.0,87.75,105.75,35.10127639770508,7.589465618133545,0.0,,,,
11.0,14.0,2.2083450409559338,15.0,105.91098022460938,69.54517364501953,41.398075103759766,8.720083236694336,0.0,,,,
11.0,15.0,1.8925468995516332,16.0,86.5999984741211,107.19999694824219,37.947322845458984,7.589465141296387,0.0,,,,
12.0,16.0,2.1975391982539096,17.0,105.85726165771484,68.48283386230469,43.010719299316406,8.937292098999023,0.0,,,,
12.0,17.0,1.8925468662621197,18.0,86.0999984741211,107.69999694824219,37.94732666015625,7.589465618133545,0.0,,,,
13.0,18.0,2.2296023261979188,19.0,104.5816650390625,70.99869537353516,48.412696838378906,10.304915428161621,0.0,,,,
13.0,19.0,1.9513027246539383,20.0,84.48275756835938,110.7931137084961,41.96714782714844,7.799204349517822,0.0,,,,
14.0,20.0,2.2531128454591927,21.0,102.71295166015625,74.39176177978516,51.22351837158203,10.332015037536621,0.0,,,,
14.0,21.0,2.0214576781701092,22.0,84.25843048095703,112.39923858642578,45.15315246582031,8.653143882751465,0.0,,,,
15.0,22.0,2.259720747334925,23.0,100.68246459960938,80.38555908203125,55.57897186279297,10.262131690979004,0.0,,,,
15.0,23.0,2.0564183919591517,24.0,85.55581665039062,114.21001434326172,49.230751037597656,9.58083438873291,0.0,,,,
16.0,24.0,2.259720747334925,25.0,99.5422592163086,81.77009582519531,57.8947639465332,10.262131690979004,0.0,,,,
16.0,25.0,2.0844023227719726,26.0,85.47132873535156,114.57357788085938,51.09740447998047,9.781759262084961,0.0,,,,
17.0,26.0,2.252094519237374,27.0,96.77720642089844,89.22476959228516,64.95357513427734,9.971863746643066,0.0,,,,
17.0,27.0,2.1077070795495247,28.0,86.40896606445312,118.05294799804688,56.590572357177734,10.04554271697998,0.0,,,,
18.0,28.0,2.2597206807558976,29.0,95.5257797241211,89.93299102783203,67.88445281982422,9.626424789428711,0.0,,,,
18.0,29.0,2.1273956297513985,30.0,86.8212890625,117.64435577392578,58.30188751220703,9.056604385375977,0.0,,,,
19.0,30.0,2.2181884838190298,31.0,92.6154556274414,96.83119201660156,74.97997283935547,9.883193969726562,0.0,,,,
19.0,31.0,2.1348800778104167,32.0,87.94781494140625,120.01799774169922,66.03687286376953,9.727029800415039,0.0,,,,
20.0,32.0,2.2035451591442565,33.0,90.44075775146484,99.4898910522461,78.6513671875,10.321983337402344,0.0,,,,
20.0,33.0,2.1411796522109445,34.0,87.41474914550781,120.66229248046875,68.79658508300781,10.179734230041504,0.0,,,,
21.0,34.0,2.1511945360692146,35.0,87.66266632080078,104.63945770263672,88.49109649658203,11.433242797851562,0.0,,,,
21.0,35.0,2.141179585631917,36.0,88.53378295898438,120.41790771484375,75.46662139892578,10.8467378616333,0.0,,,,
