TimeStep,NumberOfCells
1,37
2,37
3,37
4,35
5,37
6,37
7,38
8,38
9,38
10,36
11,38
12,37
13,38
14,38
15,38
16,40
17,40
18,38
19,38
20,40
21,39
22,37
23,39
24,38
25,38
26,27
27,36
28,42
29,40
30,41
31,45
32,41
33,40
34,40
35,39
36,40
37,40
38,40
39,40
40,40
41,43
42,38
43,39
44,39
45,42
46,41
47,44
48,43
49,45
50,40
51,47
52,45
53,46
54,48
55,43
56,44
57,49
58,45
59,46
60,46
61,47
62,48
63,44
64,47
65,50
66,46
67,45
68,49
69,43
70,43
71,44
72,42
73,45
74,43
75,44
76,41
77,47
78,46
79,45
80,46
81,45
82,46
83,48
84,45
85,50
86,47
87,48
88,49
89,45
90,45
91,45
92,46
93,47
94,45
95,50
96,50
97,47
98,49
99,50
100,51
101,50
102,52
103,55
104,52
105,56
106,56
107,55
108,54
109,56
110,57
111,56
112,52
113,56
114,60
115,59
116,55
117,52
118,54
119,55
120,56
121,51
122,50
123,52
124,46
125,56
126,59
127,54
128,58
129,57
130,62
131,59
132,57
133,56
134,58
135,59
136,53
137,60
138,60
139,74
140,61
141,58
142,65
143,63
144,64
145,74
146,68
147,59
148,68
149,76
150,73
151,60
152,62
153,64
154,45
155,44
156,43
157,47
158,51
159,57
160,55
161,56
162,53
163,58
164,63
165,61
166,73
167,69
168,73
169,74
170,66
171,67
172,76
173,68
174,62
175,61
176,60
177,46
178,41
179,54
180,54
181,53
182,60
183,61
184,61
185,57
186,114
187,107
188,113
189,117
190,108
191,85
192,73
193,85
194,87
195,70
196,81
197,70
198,67
199,76
200,80
201,82
202,70
203,66
204,67
205,54
206,55
207,80
208,76
209,70
210,63
211,68
212,62
213,75
214,78
215,82
216,76
217,81
218,78
219,77
220,80
221,80
222,78
223,82
224,62
225,64
226,78
227,85
228,88
229,85
230,93
231,105
232,110
233,126
234,127
235,125
236,129
237,130
238,137
239,124
240,138
241,143
242,144
243,132
244,142
245,147
246,150
247,157
248,150
249,156
250,164
251,162
252,161
253,177
254,185
255,192
256,179
257,189
258,201
259,208
260,219
261,223
262,232
263,228
264,231
265,217
266,238
267,258
268,273
269,285
270,277
271,283
272,274
273,286
274,284
275,267
276,257
277,268
278,269
279,241
