CellNumber,AverageVelocity,AverageLength,AverageOrientation
1,-2.9895841315054,55.8333333333333,69.842937582671
2,-1.20217090351998,45.8,-79.58008074528
3,0.269757970615406,46.1666666666667,-23.6683580259327
4,0.460385365663012,55.4285714285714,-48.8971088893257
5,-0.798219634997584,67,87.1566281087763
6,0,74,86.2251993545335
7,-1.36415383977471,57.2,85.7393653526329
8,0.179196997763787,50.2,-6.43496259238143
9,-0.275054527040595,58,3.64046999667066
10,-0.0750173025133828,63.5,74.2644298820173
11,0,70,-72.6499642910509
12,-3.29953087123183,69,74.1108732704809
13,-1.50725493604593,52.5714285714286,76.4430758621798
14,1.47877542497689,50.8333333333333,78.0581068483627
15,-0.763363108484409,57.1666666666667,28.2812360613741
16,1.5017901975732,55,-63.20737210196
17,0.905416377286204,49.5384615384615,-9.05805767279628
18,-1.4849917038643,48.5,33.6535574688348
19,-2.22083937783118,56,-58.0721037880541
20,-2.97318839547626,46.875,-24.6708828942405
21,0.348454127066755,58.4,-52.875404499948
22,-0.812073741401505,52,-21.0170929885602
23,-1.10476507680803,53.5714285714286,32.4802791553682
24,0.861629035750942,50.8,75.561924145845
25,-0.446959387632038,50.4,-19.1448136954896
26,-0.969876212153041,47.75,-24.9893498631429
27,0.515789040787164,59.2,-48.1362538441998
28,2.45324437084342,54,66.5937935210737
29,-1.47173733062298,44.3333333333333,73.9952332398399
30,0.407471960571362,43.5,48.2161147322549
31,-1.27955198396943,46.25,49.0284906696336
32,-0.0998287526278925,48.2,-13.7348792174688
33,2.12748229933862,47.6666666666667,-58.061738109982
34,1.28517884859556,47.25,40.3905690905184
35,-0.865472474661445,47.375,-36.1020714640298
36,0.24438103515519,43.6,-82.9706584666075
37,-0.198060458216522,48.1428571428571,-43.4268226524853
38,-0.897436862783474,45,-81.6740854248936
39,-0.302593912479167,46,77.0863060979496
40,1.46286301710146,45.4285714285714,2.92668890323925
41,0,38,-77.5913872131171
42,-1.60394565043055,47.8,-80.9457092681386
43,-4.38493486519918,44.4285714285714,51.9129024118825
44,-2.53449585550355,45.1428571428571,30.0291302263572
45,0.725977399239582,37,-77.2662690518258
46,1.6474847743579,50.3333333333333,78.7928971690614
47,2.85501344445477,50.3333333333333,-53.0322958514767
48,1.35538241732387,38,79.576705122436
49,3.12603998266277,48,49.7572439971804
50,-1.72968514805365,38,52.3843782396785
51,-1.05462262268594,34.6,1.26167063976701
52,-2.20149907019919,48,67.0330212989408
53,-0.118381307853876,45,-32.3824913729543
54,0.203700296904299,54,-27.4106903902542
55,0,68,-82.8915541363809
56,2.62226388436789,44.8,-73.7735282265803
57,-0.320308281437769,40.8,72.2202155095707
58,-3.16617598242588,34,19.9731262671075
59,-1.78384395794969,35.75,20.7808677851842
60,0.305006343656667,40,76.4607929130593
61,-0.636877155761738,41,-72.5964694943141
62,0.652140364203035,49,78.3203521296713
63,0.765573153063211,38,81.5073043171343
64,2.15180055889496,34,77.1223226046992
65,0.658063252267757,51.25,36.4450023371205
66,-1.09099532964049,37,-67.1911221141201
67,-0.538256387964288,35.6666666666667,-68.3412899648713
68,1.02283109993285,32.3333333333333,68.4808095735762
69,2.78966778065357,36,-72.5619581791471
70,-0.38065917032903,37,-81.0444638264212
71,-0.191373268639514,32,68.5574985094627
72,0.646707965499274,34,84.5802392681965
73,1.33691775902516,33,74.2669780483511
74,2.38100295298826,33,-68.5905466648602
75,1.58728826959564,31.5,-85.146484415878
76,2.88539757364909,38.5,-48.916813969014
77,2.01932553824808,35.5,-52.5555198790235
78,0,33,56.7205340592208
79,0,32,57.3008036410749
80,0,34,-54.3883327770397
81,0,34,-52.2925353395719
82,0,37,83.3393913338618
83,0,34,73.1040079789354
