CellId,label,birth_length,AverageLength,LifeHistory,AverageOrientation
1,1,43.05247648,58.48629184,9,-2.735377322
2,1,39.98290605,45.97089697,4,-3.009477818
3,1,43.63439805,53.22933958,5,-2.848548521
4,1,24.45735648,35.14594682,8,-2.942520156
5,1,28.88594986,36.80022356,6,-2.807783875
6,1,30.6279731,38.89564677,5,-2.908830742
7,1,31.53532828,41.95000173,7,-2.714026745
8,1,24.17282776,29.78106554,5,-2.711208353
9,1,23.27279214,35.47083615,10,-2.928285267
10,1,24.98117241,33.91062343,8,-2.662307385
11,1,24.94594346,34.04799539,8,-2.768375289
12,1,28.22506991,37.68526404,8,-1.594568567
13,1,22.63679552,33.89373504,8,-2.531261436
14,1,23.750075,34.35727352,8,-2.640027892
15,1,31.54088167,40.48206747,8,-2.814374894
16,1,17.45981331,24.18225638,7,-1.552525938
17,1,18.59753627,24.93962624,7,-2.634659336
18,1,23.01966524,26.28282847,4,-2.660011132
19,1,21.88534852,27.64365209,4,-2.318821229
20,1,22.48944097,24.73929346,4,-2.825067652
21,1,25.08321834,27.48434012,4,-2.7406089
22,1,25.1690031,26.11552087,2,-2.897948604
23,1,24.68913756,25.16363412,2,-2.571530188
24,1,26.52604396,27.38723589,2,-0.263416463
25,1,24.59639782,24.49677288,2,-2.199474765
26,1,26.24238586,26.33872326,2,-2.519069982
27,1,25.43113928,27.03687024,2,-2.168522723
28,1,23.06070413,23.5423014,2,-1.557009875
29,1,30.31833503,31.14668599,2,-2.683619341
30,1,25.13886567,26.12095269,2,-2.505983234
31,1,30.12120744,31.11441781,2,-2.736121176
