StepNumber,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,5
57,5
58,5
59,5
60,6
61,6
62,6
63,6
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,11
73,11
74,12
75,14
76,14
77,14
78,15
79,16
80,16
81,16
82,17
83,17
84,18
85,23
86,25
87,26
88,31
89,31
90,31
91,31
92,32
93,32
94,33
95,35
96,35
97,35
98,39
99,44
100,48
101,54
102,58
103,59
104,59
105,59
106,59
107,59
108,59
109,61
110,65
111,72
112,77
113,82
114,87
115,92
116,95
117,102
118,103
119,106
120,108
121,110
122,114
123,116
124,123
125,131
126,140
127,153
128,161
129,166
130,171
131,175
132,181
133,182
134,191
135,204
136,211
137,216
138,230
139,245
140,263
141,269
142,271
143,271
144,286
145,296
146,317
147,338
148,347
149,359
150,368
151,380
152,391
153,406
154,419
155,429
156,440
157,451
158,470
159,493
160,513
161,532
162,559
163,585
164,609
165,636
166,656
167,674
168,684
169,684
170,685
171,708
172,725
173,746
174,777
175,787
176,802
177,824
178,856
179,890
180,937
181,941
182,892
183,898
184,938
185,1013
186,963
187,1011
188,1089
189,1053
190,1059
191,1081
192,1135
193,1124
194,1086
195,1224
196,1135
197,1174
198,1260
199,1331
200,1378
201,1379
202,1392
203,1470
204,1437
205,1004
206,1573
207,1490
208,1565
209,1488
210,1570
211,1494
212,1505
213,1560
214,1616
215,1592
216,1665
217,1566
218,1700
219,1833
220,1845
221,1767
222,1914
223,1839
224,1650
225,1799
226,1997
227,1841
228,1887
229,2050
230,1933
231,2070
232,2011
233,2003
234,1929
235,1874
236,2099
237,1869
238,1897
239,2061
240,2014
241,1837
242,2109
243,1919
244,2010
245,1957
246,1985
247,1847
248,1939
249,1938
250,1970
251,1917
252,1949
253,2119
254,1942
255,2126
256,1985
257,2041
258,2002
259,1983
260,2105
261,2066
262,2086
263,1992
264,2092
265,2025
266,2060
267,2055
268,2012
269,1960
270,2045
271,2013
272,1972
273,2061
274,2066
275,2063
276,1987
277,2053
278,2075
279,2032
280,2022
281,1960
282,1958
283,1954
284,2072
285,1990
286,1869
287,1909
288,1943
289,1974
290,1954
291,1894
292,1944
293,1903
294,1710
295,1931
296,1947
297,1894
298,1833
299,1859
300,1817
301,1904
302,1944
303,1746
304,1822
305,1553
306,1823
307,1733
308,1740
309,1835
310,1850
311,1812
312,1815
313,1888
314,1913
