CellId,label,birth_length,AverageLength,LifeHistory,AverageOrientation
1,1,32.21233574,32.05525318,2,-2.619368549
2,2,33.94964052,34.877174,2,-2.619216636
3,3,38.71026543,73.77488485,20,-2.548319861
4,3,40.7667681,53.50630878,16,-1.658411327
5,3,108.0024529,117.7725235,4,-2.425590356
6,3,108.3453515,120.162691,4,-2.378526075
7,3,35.14588955,39.88994207,4,-2.270523422
8,3,37.26587937,40.81265059,8,-1.729023048
9,3,118.1153788,122.0334857,2,-2.500148086
10,3,40.10227823,69.81509116,7,-2.503367228
11,3,22.18899372,26.77356133,5,-2.425637176
12,3,23.61510885,31.09364384,8,-2.125265776
13,3,90.45986581,63.91070353,6,-2.402681768
14,3,49.09056982,60.23612754,6,-2.283393203
15,4,62.29388524,70.87890945,3,-2.521170264
16,5,34.09007915,37.63988071,3,-2.404609839
17,3,35.98602319,,1,-1.600209024
18,3,106.2049208,,1,-2.656789484
