ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_FilteredNuclei,Parent_IdentifyPrimaryObjects,TrackObjects_Displacement_50,TrackObjects_DistanceTraveled_50,TrackObjects_FinalAge_50,TrackObjects_IntegratedDistance_50,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,TrackObjects_TrajectoryX_50,TrackObjects_TrajectoryY_50
1,1,289,363,213,65,180,54,195.2941176470588,59.02768166089965,1.582046081594796,309,0.951069703149571,19.182445840623714,1,0.7961432506887053,0.6320928395410207,34.70044831380341,32.2490309931942,5.0,2.6361381874285827,2.23606797749979,9.799366622741317,10.721619822665168,86.22144580445327,75.79898987322332,0.9352750809061489,195.2941176470588,59.02768166089965,0,1,1,1,0.0,0.0,nan,0.0,1.0,1,nan,0.0,0,0.0,0.0
1,2,282,486,344,94,317,76,329.4609929078014,83.87234042553192,1.3899986122942447,294,0.9211049024843013,18.948708441878455,1,0.5802469135802469,0.7194251786693963,30.526480270782113,29.068883707497267,5.830951894845301,2.7672018105689076,2.8284271247461903,11.094003924504582,11.884400568662004,-61.24878954428036,70.18376618407356,0.9591836734693877,329.4609929078014,83.87234042553192,0,2,2,2,0.0,0.0,nan,0.0,2.0,1,nan,0.0,0,0.0,0.0
1,3,270,348,51,154,39,125,44.38148148148148,139.07777777777778,1.411901087206737,288,0.9181978705185374,18.5411616971131,1,0.7758620689655172,0.7082649125076956,29.523664750419545,28.071337695236398,6.0,2.7673896074001596,2.8284271247461903,11.0,11.69497430926675,6.003929773864415,69.21320343559643,0.9375,44.38148148148148,139.07777777777778,0,3,3,3,0.0,0.0,nan,0.0,3.0,1,nan,0.0,0,0.0,0.0
1,4,264,364,53,181,40,153,46.61742424242424,166.12121212121212,1.3955186158632242,281,0.9163403280606423,18.333991376950163,1,0.7252747252747253,0.7165794770723508,29.128759140488043,27.459060435491963,6.0,2.726559239556564,2.8284271247461903,11.17861970287649,11.663164005042924,10.520067084677828,68.04163056034261,0.9395017793594306,46.61742424242424,166.12121212121212,0,4,4,4,0.0,0.0,nan,0.0,4.0,1,nan,0.0,0,0.0,0.0
1,5,234,437,127,184,108,161,116.63247863247864,171.76495726495727,1.375501026106434,245,0.9231227450480829,17.26088217525478,1,0.5354691075514875,0.7270078182570703,27.90333325118808,26.40075756488817,5.385164807134504,2.567026327093822,2.23606797749979,9.984603532054125,10.728982129688733,-36.25064830801663,63.597979746446654,0.9551020408163265,116.63247863247864,171.76495726495727,0,5,5,5,0.0,0.0,nan,0.0,5.0,1,nan,0.0,0,0.0,0.0
1,6,206,374,244,203,222,186,232.26699029126215,193.70388349514562,1.4152069392666489,219,0.9233418913113322,16.195287778099022,1,0.5508021390374331,0.7066104413805331,26.21585505635657,24.698178070456937,5.0,2.419868714237131,2.23606797749979,9.152553237716281,10.066333688630541,58.45946028053611,60.52691193458118,0.9406392694063926,232.26699029126215,193.70388349514562,0,6,6,6,0.0,0.0,nan,0.0,6.0,1,nan,0.0,0,0.0,0.0
1,7,236,312,295,230,269,218,281.27542372881356,223.7415254237288,1.3724790951150871,251,0.9171919834981606,17.334489682638438,1,0.7564102564102564,0.7286085475248325,27.623903976668853,25.96150997149434,5.830951894845301,2.6044595229364402,2.23606797749979,10.465180361560904,11.006621928298259,80.38168037056604,63.798989873223334,0.9402390438247012,281.27542372881356,223.7415254237288,0,7,7,7,0.0,0.0,nan,0.0,7.0,1,nan,0.0,0,0.0,0.0
1,8,185,315,158,307,137,292,147.82162162162163,298.38378378378377,1.450872390675247,208,0.8582339553103409,15.347615963921077,1,0.5873015873015873,0.689240491739313,21.96320608473551,22.825424421026653,5.830951894845301,2.412382140847335,2.0,11.371877049496533,11.2728062782374,64.62557645278923,58.07716446627535,0.8894230769230769,147.82162162162163,298.38378378378377,0,8,8,8,0.0,0.0,nan,0.0,8.0,1,nan,0.0,0,0.0,0.0
1,9,499,1080,156,303,111,279,131.54509018036072,290.03206412825654,3.1217461475037878,671,0.8863142872815298,25.206081266687335,1,0.462037037037037,0.32033354179026396,44.42462575255881,45.12205669071391,5.385164807134504,2.42184169670736,2.23606797749979,19.48390558812408,20.572342654463455,-72.19611258833885,139.91168824543144,0.7436661698956781,131.54509018036072,290.03206412825654,0,9,9,9,0.0,0.0,nan,0.0,9.0,1,nan,0.0,0,0.0,0.0
2,1,292,374,213,65,179,54,195.28082191780823,59.16438356164384,1.6247645183450707,314,0.9546261679555401,19.281751659604673,1,0.7807486631016043,0.6154738047939191,35.61727842174514,33.13608305156178,5.0,2.61428463041478,2.23606797749979,9.740455358361604,10.607067073327588,86.32238452104798,77.21320343559643,0.9299363057324841,195.28082191780823,59.16438356164384,0,1,1,1,0.13734695512962064,0.13734695512962064,nan,0.13734695512962064,1.0,2,1.0,1.0,1,-0.013295729250586419,0.13670190074418542
