ImageNumber,ObjectNumber,Children_IdentifySecondaryObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects
1,1,1,195.32978723404256,59.06382978723404,0,1,1
1,2,1,329.25735294117646,83.93014705882354,0,2,2
1,3,1,44.4980694980695,139.5752895752896,0,3,3
1,4,1,46.57751937984496,165.81782945736435,0,4,4
1,5,1,116.66666666666667,171.6936936936937,0,5,5
1,6,1,232.21243523316062,193.67875647668393,0,6,6
1,7,1,281.2648401826484,223.7351598173516,0,7,7
1,8,1,147.5,298.17977528089887,0,8,8
1,9,1,129.71337579617835,297.4076433121019,0,9,9
2,1,1,195.20652173913044,59.19565217391305,0,1,1
2,2,1,329.13186813186815,84.04029304029304,0,2,2
2,3,1,44.390977443609025,139.593984962406,0,3,3
2,4,1,46.42528735632184,166.08045977011494,0,4,4
2,5,1,116.39090909090909,172.03181818181818,0,5,5
2,6,1,232.06315789473683,193.80526315789473,0,6,6
2,7,1,281.2760180995475,223.81900452488688,0,7,7
2,8,1,145.91826923076923,297.9807692307692,0,8,8
2,9,1,128.0859375,297.8984375,0,9,9
3,1,1,195.43272727272728,59.35636363636364,0,1,1
3,2,1,329.0978260869565,84.15217391304348,0,2,2
3,3,1,44.405204460966544,139.3011152416357,0,3,3
3,4,1,46.37777777777778,165.9777777777778,0,4,4
3,5,1,116.35,172.18636363636364,0,5,5
3,6,1,232.25520833333334,193.921875,0,6,6
3,7,1,281.2780269058296,223.91928251121075,0,7,7
3,8,1,143.6751269035533,284.9441624365482,0,8,8
3,9,1,123.17766497461929,289.0253807106599,0,9,9
3,10,1,145.69158878504672,298.0327102803738,0,10,10
3,11,1,127.49612403100775,297.9767441860465,0,11,11
4,1,1,195.981884057971,59.7463768115942,0,1,1
4,2,1,329.23722627737226,84.41240875912409,0,2,2
4,3,1,44.59701492537314,139.2537313432836,0,3,3
4,4,1,46.63309352517986,166.39208633093526,0,4,4
4,5,1,116.47465437788019,172.64055299539172,0,5,5
4,6,1,232.515625,194.35416666666666,0,6,6
4,7,1,281.28636363636366,224.1409090909091,0,7,7
4,8,1,144.49740932642487,285.00518134715026,0,8,8
4,9,1,123.72330097087378,289.31067961165047,0,9,9
4,10,1,148.40243902439025,298.8048780487805,0,10,10
4,11,1,130.17142857142858,297.6742857142857,0,11,11
5,1,1,195.83450704225353,59.813380281690144,0,1,1
5,2,1,329.2072727272727,84.36727272727273,0,2,2
5,3,1,44.642857142857146,139.2,0,3,3
5,4,1,46.58303886925795,166.565371024735,0,4,4
5,5,1,116.32432432432432,172.84684684684686,0,5,5
5,6,1,232.50761421319797,194.497461928934,0,6,6
5,7,1,281.38766519823787,224.31277533039648,0,7,7
5,8,1,140.71167883211677,285.6970802919708,0,8,8
5,9,1,119.9172932330827,290.1127819548872,0,9,9
5,10,1,148.2874251497006,298.7185628742515,0,10,10
5,11,1,129.87790697674419,297.77906976744185,0,11,11
6,1,1,195.91003460207614,60.16262975778547,0,1,1
6,2,1,329.23758865248226,84.7482269503546,0,2,2
6,3,1,241.12037037037038,104.61111111111111,0,3,3
6,4,1,237.24358974358975,124.17307692307692,0,4,4
6,5,1,44.73381294964029,139.1115107913669,0,5,5
6,6,1,46.69337979094077,166.61324041811847,0,6,6
6,7,1,116.48898678414096,173.05726872246697,0,7,7
6,8,1,232.4924623115578,194.6281407035176,0,8,8
6,9,1,281.4848484848485,224.4069264069264,0,9,9
6,10,1,144.91625615763547,284.95073891625617,0,10,10
6,11,1,130.08641975308643,288.2716049382716,0,11,11
6,12,1,119.65925925925926,290.43703703703704,0,12,12
6,13,1,148.44117647058823,299.11176470588236,0,13,13
6,14,1,129.5054945054945,298.1758241758242,0,14,14
7,1,1,195.9794520547945,60.304794520547944,0,1,1
7,2,1,329.0769230769231,84.81118881118881,0,2,2
7,3,1,44.463157894736845,138.8842105263158,0,3,3
7,4,1,46.75085324232082,166.80546075085323,0,4,4
7,5,1,116.43722943722943,173.15584415584416,0,5,5
7,6,1,232.5820895522388,194.63681592039802,0,6,6
7,7,1,281.6,224.54893617021276,0,7,7
7,8,1,145.30188679245282,284.92452830188677,0,8,8
7,9,1,129.9620253164557,288.8101265822785,0,9,9
7,10,1,119.64179104477611,290.4925373134328,0,10,10
7,11,1,146.45145631067962,298.4466019417476,0,11,11
7,12,1,127.43055555555556,298.90972222222223,0,12,12
8,1,1,196.0608108108108,60.314189189189186,0,1,1
8,2,1,329.0633802816901,84.9225352112676,0,2,2
8,3,1,44.553264604811,138.66323024054984,0,3,3
8,4,1,46.84437086092715,166.61258278145695,0,4,4
8,5,1,116.49137931034483,173.16379310344828,0,5,5
8,6,1,232.71144278606965,194.82587064676616,0,6,6
8,7,1,281.6794871794872,224.61111111111111,0,7,7
8,8,1,267.7844827586207,255.2844827586207,0,8,8
8,9,1,285.85714285714283,265.22527472527474,0,9,9
8,10,1,141.5212765957447,286.07092198581563,0,10,10
8,11,1,119.58741258741259,290.5174825174825,0,11,11
8,12,1,146.84313725490196,298.6127450980392,0,12,12
8,13,1,127.55629139072848,298.92715231788077,0,13,13
9,1,1,196.18360655737706,60.4327868852459,0,1,1
9,2,1,329.17525773195877,84.98625429553265,0,2,2
9,3,1,241.66836734693877,103.44897959183673,0,3,3
9,4,1,237.17085427135677,124.0,0,4,4
9,5,1,44.64119601328904,138.88039867109634,0,5,5
9,6,1,46.85382059800664,167.0797342192691,0,6,6
9,7,1,116.44255319148937,173.36170212765958,0,7,7
9,8,1,232.74634146341464,194.9512195121951,0,8,8
9,9,1,281.625,224.65833333333333,0,9,9
9,10,1,266.8761467889908,254.8348623853211,0,10,10
9,11,1,285.4676616915423,264.97512437810946,0,11,11
9,12,1,145.90322580645162,285.17511520737327,0,12,12
9,13,1,122.91928251121077,290.13004484304935,0,13,13
9,14,1,146.95693779904306,298.61722488038276,0,14,14
9,15,1,127.26875,299.25625,0,15,15
10,1,1,196.47909967845658,60.69453376205788,0,1,1
10,2,1,329.0993150684931,85.11643835616438,0,2,2
10,3,1,241.6217616580311,103.34196891191709,0,3,3
10,4,1,236.85714285714286,124.20408163265306,0,4,4
10,5,1,44.25503355704698,138.21140939597316,0,5,5
10,6,1,46.94904458598726,166.7515923566879,0,6,6
10,7,1,116.46666666666667,173.54583333333332,0,7,7
10,8,1,232.8009478672986,195.1990521327014,0,8,8
10,9,1,281.9142857142857,224.9469387755102,0,9,9
10,10,1,266.4660633484163,254.90950226244343,0,10,10
10,11,1,285.54146341463417,265.03414634146344,0,11,11
10,12,1,145.95945945945945,285.1621621621622,0,12,12
10,13,1,122.49779735682819,290.295154185022,0,13,13
10,14,1,146.44594594594594,298.4864864864865,0,14,14
10,15,1,126.59210526315789,299.64473684210526,0,15,15
11,1,1,196.63366336633663,60.85478547854785,0,1,1
11,2,1,329.11418685121106,85.33217993079585,0,2,2
11,3,1,241.55612244897958,103.68367346938776,0,3,3
11,4,1,236.79591836734693,124.85714285714286,0,4,4
11,5,1,46.76872964169381,167.01628664495115,0,5,5
11,6,1,116.52301255230125,173.82008368200837,0,6,6
11,7,1,232.95734597156397,195.3222748815166,0,7,7
11,8,1,281.844262295082,224.90573770491804,0,8,8
11,9,1,265.47,254.48,0,9,9
