CellId,birthLength,AverageLength,AverageVelocity,AverageOrientation,LifeHistory,GrowthRate
1.0,34.349681854248,45.86305332183838,-1.037,,12.0,0.03
2.0,50.5605392456055,58.446488813920446,-1.023,,11.0,0.022
3.0,33.0381698608398,46.73343594868977,-1.118,,6.0,0.06
4.0,53.1167488098145,59.497498989105225,-0.379,,8.0,0.012
5.0,31.6081066131592,40.66758704185485,-0.791,,8.0,0.036
6.0,42.9211578369141,48.7231170654297,-0.049,,5.0,0.028
7.0,24.6782493591309,24.72984218597415,0.701,,4.0,0.004
8.0,29.8384380340576,35.330900192260735,0.359,,8.0,0.027
9.0,47.4963645935059,47.4963645935059,0.0,,1.0,
10.0,21.2802047729492,21.2802047729492,0.0,,1.0,
11.0,12.3622579574585,12.3622579574585,0.0,,1.0,
12.0,15.0406093597412,15.0406093597412,0.0,,1.0,
13.0,12.3707838058472,12.3707838058472,0.0,,1.0,
14.0,36.4000778198242,36.4000778198242,0.0,,1.0,
15.0,27.3551597595215,34.48708566029868,0.406,,6.0,0.051
16.0,42.3810806274414,43.871095657348626,0.394,,4.0,0.017
17.0,28.2230052947998,38.56640937111595,0.11,,11.0,0.033
18.0,6.4976372718811,6.4976372718811,0.0,,1.0,
19.0,30.3538284301758,32.9331881205241,0.374,,3.0,0.03
20.0,21.5872993469238,27.572718048095698,0.603,,5.0,0.06
21.0,12.6219940185547,12.6219940185547,0.0,,1.0,
22.0,11.7211112976074,11.721111297607399,0.0,,10.0,0.0
23.0,22.8960723876953,24.88283309936524,-0.113,,5.0,0.001
24.0,14.7254781723022,14.7254781723022,0.0,,1.0,
25.0,16.6465015411377,28.0458553314209,-0.799,,5.0,0.082
26.0,32.6403388977051,33.204678535461404,0.051,,4.0,0.003
27.0,22.8871974945068,27.241200129191085,-0.528,,6.0,0.048
28.0,27.5705146789551,32.6618970235189,-0.524,,6.0,0.037
29.0,23.1036834716797,27.89862283070883,-0.401,,6.0,0.044
30.0,15.621753692627,22.874845504760746,-0.17,,6.0,0.062
31.0,9.06133937835693,9.061339378356932,0.0,,6.0,0.0
32.0,34.5213356018066,35.0141334533691,-0.374,,2.0,0.009
33.0,20.0625438690186,20.0625438690186,0.0,,1.0,
34.0,22.2598743438721,24.811338424682624,0.025,,4.0,0.037
35.0,24.541784286499,26.6254196166992,-0.76,,4.0,0.007
36.0,11.2031307220459,11.2031307220459,0.0,,1.0,
37.0,22.2264099121094,22.2264099121094,0.0,,1.0,
38.0,18.4713439941406,20.695734024047866,-0.474,,3.0,0.031
39.0,17.1189422607422,17.1189422607422,0.0,,1.0,
40.0,39.2814140319824,39.2814140319824,0.0,,1.0,
