CellId,birthLength,AverageLength,AverageVelocity,AverageOrientation,LifeHistory,GrowthRate
1.0,29.402645111084,40.234349409739174,-1.027,,12.0,0.032
2.0,35.826976776123,47.291697068647906,-1.072,,11.0,0.029
3.0,24.8870124816895,29.072926385062072,-0.097,,7.0,-0.018
4.0,41.6953315734863,45.633399009704576,-0.376,,4.0,0.028
5.0,21.5263156890869,33.355090277535574,-0.03,,7.0,0.036
6.0,14.5951919555664,14.5951919555664,0.0,,1.0,
7.0,31.6322059631348,27.68225992642917,-0.853,,13.0,-0.013
8.0,13.0135173797607,13.0135173797607,0.0,,1.0,
9.0,33.8383407592773,40.47627544403077,-0.006,,6.0,0.048
10.0,33.6713943481445,34.50436973571775,0.447,,2.0,0.016
11.0,17.5582752227783,20.63070170084637,0.822,,3.0,0.064
12.0,5.72406816482544,5.72406816482544,0.0,,1.0,
13.0,25.6918773651123,24.353208541870103,2.151,,2.0,-0.037
14.0,18.4485855102539,18.4485855102539,0.0,,1.0,
15.0,16.5082015991211,16.5082015991211,0.0,,1.0,
