CellId,label,birth_length,AverageLength,LifeHistory,AverageOrientation
1,1,31.66008812,44.90259605,12,-2.67251058
2,1,33.04092747,52.80806652,11,-2.934692717
3,1,32.76536948,50.00133444,10,-2.867189017
4,1,37.47935558,45.07866255,7,-2.883806365
5,1,34.79414241,45.15261947,7,-2.975793295
6,1,49.33401167,58.50085892,4,-2.980641938
7,1,31.89856533,38.33242125,13,-2.675478691
8,1,33.33750234,44.34700717,7,-2.855591689
9,1,34.88958492,52.5735412,9,-2.80987776
10,1,31.42545608,42.10106312,8,-2.459947032
11,1,31.39490106,43.33986942,6,-0.191109373
12,1,25.45097588,36.25937787,7,-0.164102855
13,1,27.01117132,35.26385159,5,-2.95341086
14,1,30.41464438,41.17915562,7,-2.948563946
15,1,31.4551127,34.91199349,4,-2.775363954
16,1,31.57387317,38.56424519,5,-0.158969508
17,1,22.39623055,28.75562727,6,-2.430218944
18,1,23.61031943,28.29289434,6,-2.705496293
19,1,25.19102943,31.91870026,5,-0.266021287
20,1,26.11548841,34.04207098,5,-0.110259343
21,1,42.78404687,47.48259642,4,-0.832464941
22,1,34.72171234,39.18601336,4,-2.241579894
23,1,25.610383,29.04043451,4,-0.296960915
24,1,22.50644512,26.01755366,4,-0.096291134
25,1,20.72149068,25.10280506,4,-0.177275974
26,1,24.72214895,27.14236664,4,-2.198912108
27,1,28.60120619,33.54684309,4,-2.974967328
28,1,27.57548558,30.59058981,4,-2.59980725
29,1,31.17413061,38.2628014,3,-1.729405736
30,1,30.60430829,,1,-3.043960378
31,1,44.69501464,45.75225696,2,-2.895361378
32,1,34.69447151,35.62258324,2,-2.860665226
33,1,22.8476974,,1,-0.27836147
34,1,22.19150383,,1,-0.049459418
