CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1,-0.00176966062281281,26.406120300293,124,0.0302957519888878,21.5682773590088
2,0.000660694611724466,23.0408821105957,160,-1.41444373130798,24.4827976226807
3,-0.00122906954493374,25,168,-1.47398042678833,19.8675689697266
4,0.000931274669710547,20,136,-0.26225820183754,20.2961139678955
5,-0.00512183643877506,31.2154769897461,73,-0.529072225093842,23.7497386932373
6,-0.000818282074760646,15,97,-0.726364076137543,20.0220336914063
7,-0.00999430287629366,18,63,0.115267962217331,19.5431632995605
8,0.000835142156574875,15.7823028564453,100,0.17803019285202,21.8691902160645
9,-0.00132388668134809,17.9476356506348,120,-0.525313317775726,22.9234180450439
10,-0.000754414300899953,8,118,0.115282654762268,20.3547706604004
11,NaN,12,1,NaN,NaN
12,0,13,127,0.0626730099320412,21.2861766815186
13,0,16.5469017028809,148,0.388129711151123,23.4273719787598
14,-0.00103705923538655,15.5563488006592,129,0.462340205907822,20.2451972961426
15,0.000127940089441836,14,85,0.0414881072938442,22.4282913208008
16,-0.0147598190233111,14.5464754104614,40,0.123955279588699,17.6553039550781
17,0,12.0747671127319,65,0.118492089211941,18.5594863891602
18,-0.00544365448877215,11,39,0.381959050893784,18.1027431488037
19,0.000535884755663574,13,105,-0.183185294270515,19.9804763793945
20,0.00611695041880012,14.7946729660034,40,-0.259125769138336,24.3077812194824
21,-0.00107254076283425,8,83,-0.000677514763083309,15.1932697296143
22,0.0011618877761066,15.4951591491699,117,0.221143409609795,23.4951972961426
23,-0.000416254071751609,16.1872653961182,122,0.633291780948639,20.9595756530762
24,-0.00119804334826767,16.0996894836426,119,0.251595795154572,23.2112197875977
25,-0.0013390420936048,19.6773986816406,103,-0.7517951130867,20.779411315918
26,0.00169775832910091,16.9705619812012,129,-1.8692592382431,21.3072090148926
27,0,7,15,-0.0391004756093025,6.68406581878662
28,0.00230253906920552,14.9722995758057,62,0.398083090782166,20.0878124237061
29,-0.00190038583241403,13,129,-0.404664993286133,22.523962020874
30,-0.00244125374592841,14,49,0.132156476378441,20.7657947540283
31,0.00347460387274623,16.0996894836426,63,0.0494727082550526,21.7589073181152
32,0.000828915741294622,17.3352890014648,115,-0.626773715019226,21.6596164703369
33,0.000915098178666085,15.8096790313721,90,-0.168011248111725,19.2607402801514
34,0.000823714537546039,15,11,0.2801513671875,14.7164459228516
35,0.00455006118863821,12.1267805099487,106,1.25638484954834,20.4850215911865
36,0.00202828040346503,16.9183559417725,55,-0.857415199279785,22.6782779693604
37,0.00116697244811803,13.7281293869019,114,0.119599640369415,20.3721179962158
38,0.00350434263236821,13,122,0.24293527007103,19.1293601989746
39,0.016509473323822,14,27,-0.522105276584625,21.1384963989258
40,0.00866940803825855,16.8982753753662,30,-0.103076174855232,21.1554260253906
41,-0.0364814288914204,16.9705619812012,19,0.677141129970551,19.1026172637939
42,-0.0153974574059248,16.242073059082,21,0.168296203017235,13.3663854598999
43,0.00373663613572717,14.1421356201172,118,-0.696092188358307,23.3263397216797
44,0.00182231271173805,13,103,1.40404641628265,18.7762794494629
45,-0.000182371106348,17.8547782897949,79,0.0551314875483513,18.5103092193604
46,-0.000421019009081647,13,124,-0.369326025247574,21.9095287322998
47,0.00175451731774956,14.7580471038818,96,-1.23429977893829,21.1029682159424
48,0.00145034992601722,18.3847751617432,96,-0.561893045902252,20.8772354125977
49,-0.000870538700837642,15.4604148864746,113,-1.12618470191956,23.2458992004395
50,-0.0030441558919847,17.6776695251465,75,-0.0606928169727325,20.0045070648193
51,7.65251388656907e-05,14,88,-0.696740329265594,21.5178699493408
52,-0.00338845932856202,20.0769233703613,76,-0.911054134368896,20.5989532470703
53,0.000659530807752162,16,88,1.38415670394897,21.9699268341064
54,0.00182180118281394,13,55,0.326624631881714,19.5199680328369
55,0.000397139112465084,13.2815656661987,72,-0.353331953287125,17.1880187988281
56,-0.00192586402408779,12.9691944122314,90,-0.931260824203491,21.2855911254883
57,-0.000737561145797372,16,69,-0.398869156837463,21.1287021636963
58,0.00217667012475431,13.8636207580566,99,-0.260485291481018,21.5754089355469
59,-0.000969217682722956,16.2498874664307,62,-0.918172836303711,22.761302947998
60,0.00155307503882796,15,58,0.231030687689781,18.5787124633789
61,0.0066530522890389,14.1421356201172,39,0.237710550427437,18.5007228851318
62,0.0022071753628552,14.6803340911865,26,0.182185247540474,15.7519378662109
63,0.00168470735661685,12,61,1.01768290996552,22.2781410217285
64,0.00353839155286551,12,82,-0.375071942806244,20.7454624176025
65,-0.00056498683989048,17.6776695251465,78,-1.13321995735168,22.6326503753662
66,-0.00980823673307896,13,33,-0.0237654875963926,18.5025291442871
67,0.00163660384714603,15.5316066741943,103,-1.80206632614136,25.513484954834
68,0.00227311928756535,12,87,0.302204459905624,21.1560668945313
69,0.00127230689395219,13,92,0.57572340965271,19.5965938568115
70,0.000245243601966649,15,99,-1.20095920562744,22.8753852844238
71,NaN,13,1,NaN,NaN
72,-0.103173173964024,13,4,2.53156542778015,10.25
73,0.00931602157652378,14,47,-0.517085492610931,20.1265773773193
74,0.0021343813277781,12,90,-1.50841736793518,21.1485347747803
75,0.000405209924792871,15.2797441482544,86,0.157637715339661,20.1704444885254
76,0.0247888565063477,15.6977710723877,7,-0.119437083601952,17.5588817596436
77,-0.0489412806928158,15.5819702148438,13,3.07478833198547,18.9145488739014
78,-0.0153235457837582,15.8113889694214,12,-0.0811428502202034,19.1189975738525
79,0.0229678153991699,15.5563488006592,7,0.154976978898048,17.8087024688721
80,-0.0113262832164764,15,37,0.148099884390831,20.6849899291992
81,-0.0011251688702032,14.2302474975586,101,-1.567253947258,22.3047904968262
82,0.00431594764813781,16.6410064697266,101,-0.0515076294541359,24.2352504730225
83,0.000969589629676193,14.9769058227539,92,-1.29255545139313,22.4711170196533
84,-0.0153760751709342,17.9779872894287,30,0.280067265033722,20.8813819885254
85,0.00195132638327777,17,38,-0.327055275440216,19.7172679901123
86,0.000431171065429226,16.404878616333,49,-0.0519604310393333,20.0926761627197
87,-0.00714605255052447,12.0208148956299,27,0.246450915932655,17.9032440185547
88,-0.0306177232414484,16,18,0.0496238432824612,18.024923324585
89,0.00104681472294033,15,87,1.01775348186493,20.7260303497314
90,0.00192430836614221,14.7601318359375,87,1.3015946149826,21.2491359710693
91,0.00124724151100963,14.8492412567139,86,1.36543166637421,21.6794605255127
92,NaN,18,1,NaN,NaN
93,-0.0171278584748507,7,6,-0.281073689460754,6.16666650772095
94,NaN,7,1,NaN,NaN
95,0.000946922518778592,17.6776695251465,94,-1.92642796039581,23.5612049102783
96,0.0043818186968565,13.4350271224976,100,-1.64333784580231,22.1883888244629
