CellLifeId,birthLength,AverageLength,AverageVelocity,LifeHistory,GrowthRate
1.0,50.8251152038574,58.61494328425481,0.125,13.0,0.021
2.0,41.3952903747559,54.202927962593414,0.487,23.0,0.012
3.0,41.7837867736816,43.63318856557209,0.043,12.0,0.009
4.0,38.1615257263184,47.86125553676061,0.058,35.0,0.011
5.0,51.7131729125977,61.84710998535157,0.051,20.0,0.019
6.0,43.3439712524414,50.76412987709044,0.027,16.0,0.015
7.0,29.6272850036621,41.43741780740243,-0.08,54.0,0.013
8.0,20.6851978302002,20.6851978302002,0.0,1.0,0.0
9.0,23.661657333374,23.661657333374,0.0,1.0,0.0
10.0,32.3616828918457,32.3616828918457,0.0,1.0,0.0
11.0,26.7645092010498,26.7645092010498,0.0,1.0,0.0
12.0,29.551362991333,29.551362991333,0.0,1.0,0.0
13.0,24.4048442840576,24.4048442840576,0.0,1.0,0.0
14.0,27.4117889404297,27.4117889404297,0.0,1.0,0.0
15.0,31.5875129699707,31.5875129699707,0.0,1.0,0.0
16.0,26.8457717895508,26.8457717895508,0.0,1.0,0.0
17.0,31.9579639434814,42.7543670551197,0.04,37.0,0.014
18.0,26.3719711303711,26.3719711303711,0.0,1.0,0.0
19.0,26.6333675384521,26.6333675384521,0.0,1.0,0.0
20.0,21.6064052581787,21.6064052581787,0.0,1.0,0.0
21.0,29.439733505249,29.439733505249,0.0,1.0,0.0
