CellId,label,birth_length,AverageLength,LifeHistory,AverageOrientation
1,1,32.50252687,49.57184112,17,-2.274238783
2,2,23.94167581,36.21143703,17,-2.395089836
3,1,35.66395857,46.50899363,9,-2.027093321
4,2,26.7747052,32.46967332,5,-2.314532675
5,2,26.72865852,39.24454602,9,-2.724642226
6,1,42.28892377,55.54014085,7,-2.708602476
7,2,19.45769399,31.82429181,13,-1.761619714
8,2,18.07859947,27.26160847,10,-2.718744953
9,1,39.95619378,52.43692173,7,-2.289180336
10,1,31.25960854,47.57588447,11,-2.789410836
11,1,28.28982913,35.4320499,6,-1.188711011
12,1,40.30465761,44.91535581,4,-2.212454295
13,2,30.00561082,40.6601455,8,-0.498659308
14,2,30.0670059,42.21511044,9,-2.82149529
15,1,29.36528977,41.29995006,8,-1.517253932
16,1,26.42284003,31.65705534,6,-0.689298951
17,1,26.24436604,32.45812639,5,-1.591822398
18,1,38.77677067,43.66280098,3,-2.606407179
19,1,20.45372946,29.22170528,8,-1.198784805
20,1,21.76600636,28.01336143,8,-1.037790915
21,2,18.87786255,28.65852553,8,-0.428190323
22,2,22.15838883,29.67014284,8,-2.606246535
23,2,27.57594512,34.02754592,6,-2.907147108
24,2,26.19534166,32.68601067,6,-0.328600266
25,1,24.93778885,39.5222358,6,-0.891591443
26,1,24.45652513,29.53424123,6,-0.08562164
27,2,26.27443577,33.86816551,5,-1.886350554
28,2,22.09514319,25.94774072,5,-1.444830078
29,2,26.15771663,31.56119091,5,-0.177775668
30,2,32.2128582,37.28428441,5,-2.633513939
31,1,38.18801604,,1,-3.094301298
32,1,29.61466831,35.68956779,5,-2.541669168
33,1,17.73992531,19.11602315,4,-1.020459047
34,1,24.73015038,27.61144021,4,-0.125778991
35,1,21.20769237,22.20080223,4,-1.467497252
36,1,21.77786706,21.65160708,4,-0.365277206
37,3,30.17400268,34.60173677,4,-2.636464743
38,1,26.43531568,27.71161877,2,-1.574713925
39,1,26.55261007,28.84021745,2,-0.949142911
