Channel_OrigGray,Count_FilteredNuclei,Count_IdentifyPrimaryObjects,Count_IdentifySecondaryObjects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05CorrectIlluminationCalculate,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07ImageMath,ExecutionTime_08EnhanceOrSuppressFeatures,ExecutionTime_09IdentifyPrimaryObjects,ExecutionTime_10IdentifySecondaryObjects,ExecutionTime_11TrackObjects,ExecutionTime_12Tile,ExecutionTime_13MeasureObjectSizeShape,ExecutionTime_14SaveImages,FileName_OrigGray,Frame_OrigGray,Group_Index,Group_Number,Height_OrigGray,ImageNumber,ImageSet_ImageSet,MD5Digest_OrigGray,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05CorrectIlluminationCalculate,ModuleError_06CorrectIlluminationApply,ModuleError_07ImageMath,ModuleError_08EnhanceOrSuppressFeatures,ModuleError_09IdentifyPrimaryObjects,ModuleError_10IdentifySecondaryObjects,ModuleError_11TrackObjects,ModuleError_12Tile,ModuleError_13MeasureObjectSizeShape,ModuleError_14SaveImages,PathName_OrigGray,ProcessingStatus,Scaling_OrigGray,Series_OrigGray,Threshold_FinalThreshold_IdentifyPrimaryObjects,Threshold_FinalThreshold_IdentifySecondaryObjects,Threshold_OrigThreshold_IdentifyPrimaryObjects,Threshold_OrigThreshold_IdentifySecondaryObjects,Threshold_SumOfEntropies_IdentifyPrimaryObjects,Threshold_SumOfEntropies_IdentifySecondaryObjects,Threshold_WeightedVariance_IdentifyPrimaryObjects,Threshold_WeightedVariance_IdentifySecondaryObjects,TrackObjects_LostObjectCount_IdentifySecondaryObjects_50,TrackObjects_MergedObjectCount_IdentifySecondaryObjects_50,TrackObjects_NewObjectCount_IdentifySecondaryObjects_50,TrackObjects_SplitObjectCount_IdentifySecondaryObjects_50,URL_OrigGray,Width_OrigGray
-1,78.0,78.0,78.0,0.0,0.0,0.28125,0.0,0.28125,0.015625,0.0,5.703125,0.96875,0.84375,1.0,0.0625,0.421875,1.890625,kt2440_t010xy1c1.tif,0,11,1,862,11,b'eLvmgF1FG02CgzcJGhgaVFQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOMOnbE=',065cf707131ca8e41e36550eefac1b66,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t010xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.07819277048110962,0.6051657199859619,0.09774096,0.6051657,-11.276696691999177,-10.438912107103857,0.7141182990570686,0.0009464228490670688,0,2,0,13,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t010xy1c1.tif,915
-1,77.0,77.0,77.0,0.0,0.0,0.1875,0.0,0.3125,0.0,0.015625,5.703125,0.984375,0.8125,0.9375,0.046875,0.359375,1.859375,kt2440_t011xy1c1.tif,0,12,1,862,12,b'eLvmgF1FG02CgzcJGhgaVlQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAONgnbI=',15c6b53a7c24e583d3fa12e47d6f43a7,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t011xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.07746824026107789,0.6054332256317139,0.0968353,0.6054332,-11.45769127209795,-9.88755486937561,0.7233253317745733,0.0009244363222970596,2,1,0,14,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t011xy1c1.tif,915
-1,74.0,74.0,74.0,0.0,0.0,0.234375,0.0,0.3125,0.0,0.0,5.578125,0.859375,0.921875,0.96875,0.046875,0.546875,1.921875,kt2440_t012xy1c1.tif,0,13,1,862,13,b'eLvmgF1FG02CgzcJGhgaVVQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOOynbM=',ab1792daf8d7a625bd6d75d11f4e10f8,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t012xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.07609230279922485,0.6090000867843628,0.09511538,0.6090001,-11.454050086772614,-9.471598679288242,0.7088248284830398,0.0008917186888103397,0,4,0,14,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t012xy1c1.tif,915
-1,77.0,77.0,77.0,0.0,0.0,0.21875,0.0,0.3125,0.015625,0.015625,5.734375,0.984375,0.84375,0.84375,0.046875,0.375,1.9375,kt2440_t013xy1c1.tif,0,14,1,862,14,b'eLvmgF1FG02CgzcJGhgaV1QaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOQEnbQ=',39022056686355356578e38a79a5fe5d,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t013xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.07540481090545655,0.6089514493942261,0.09425601,0.60895145,-11.496941269246445,-9.297263319095647,0.7105301169308108,0.0008788639404055675,0,2,2,15,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t013xy1c1.tif,915
-1,79.0,79.0,79.0,0.0,0.0,0.25,0.0,0.34375,0.015625,0.0,5.875,1.015625,0.953125,0.921875,0.046875,0.390625,2.03125,kt2440_t014xy1c1.tif,0,15,1,862,15,b'eLvmgF1FG02CgzcJGhiaVFQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAORWnbU=',2a79d6a08822bb338b61d9c5839932b5,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t014xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.07537022233009338,0.6110043525695801,0.09421278,0.61100435,-11.578279522955711,-9.774972104992282,0.7130559451059549,0.0008841567468204367,2,1,0,17,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t014xy1c1.tif,915
-1,79.0,79.0,79.0,0.0,0.0,0.28125,0.0,0.328125,0.0,0.0,5.75,0.859375,0.859375,0.984375,0.0625,0.4375,1.890625,kt2440_t015xy1c1.tif,0,16,1,862,16,b'eLvmgF1FG02CgzcJGhiaVlQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOSonbY=',f2b03a6bd097c9e376a816577520ffcf,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t015xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.0752256989479065,0.6102973222732544,0.09403212,0.6102973,-11.617737372621542,-9.45104113688242,0.7022007501109617,0.0008673059934220474,0,2,1,17,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t015xy1c1.tif,915
-1,81.0,81.0,81.0,0.0,0.0,0.234375,0.0,0.296875,0.015625,0.015625,5.890625,0.9375,0.953125,1.0625,0.046875,0.390625,1.875,kt2440_t016xy1c1.tif,0,17,1,862,17,b'eLvmgF1FG02CgzcJAoOvotIw2VCvJDMNXGrA/AcMO5C7QcWKM0r5AmIgyhhw6AEZYItA5Y2vqx0A5Pqdtw==',169d73164469ce0cc80802b11d395145,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t016xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.07409957647323609,0.6099381446838379,0.09262447,0.60993814,-11.565260665502265,-9.424025702096888,0.7046933250836506,0.0008623667028528824,0,2,0,17,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t016xy1c1.tif,915
-1,85.0,85.0,85.0,0.0,0.0,0.25,0.0,0.28125,0.015625,0.0,5.78125,0.90625,0.890625,1.03125,0.0625,0.4375,1.890625,kt2440_t017xy1c1.tif,0,18,1,862,18,b'eLvmgF1FG02CgzcJGhiaV1QaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOVMnbg=',1e1f763a05300026884c41a7684ca206,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t017xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.07381201982498169,0.6110996007919312,0.092265025,0.6110996,-11.530214239760074,-9.352421017036821,0.7098890577251409,0.0008560245420893736,0,1,0,20,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t017xy1c1.tif,915
-1,84.0,84.0,84.0,0.0,0.0,0.234375,0.0,0.328125,0.015625,0.015625,5.90625,0.921875,0.84375,1.0625,0.046875,0.46875,1.953125,kt2440_t018xy1c1.tif,0,19,1,862,19,b'eLvmgF1FG02CgzcJGhhaVFQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOWenbk=',5acd02be6f5482ecb0faa7af2df3ab04,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t018xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.07310335636138916,0.6128756999969482,0.091379195,0.6128757,-11.498497975953292,-9.061712267644554,0.6949460858595781,0.0008568049050197248,0,2,0,20,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t018xy1c1.tif,915
-1,85.0,85.0,85.0,0.0,0.0,0.265625,0.0,0.328125,0.0,0.0,5.78125,0.90625,0.8125,0.8125,0.046875,0.359375,1.875,kt2440_t019xy1c1.tif,0,20,1,862,20,b'eLvmgF1FG02CgzcJGhhaVlQaJhvqlWSmgUsNmP+AYQdyN6hYcUYpX0AMRBkDDj0gA2wRqLzxdbUDAOXwnbo=',0a4e08d3c06564ef9d3dd9c914c621ba,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t019xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_agarose\1. Raw Images\1. raw images,Done,255,0,0.07250995635986328,0.6130238771438599,0.090637445,0.6130239,-11.525051116657236,-9.160776498722864,0.7036752434064053,0.0008477735436070227,0,1,0,20,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_agarose/1.%20Raw%20Images/1.%20raw%20images/kt2440_t019xy1c1.tif,915
