time step,CellProfiler,FAST,SuperSegger,DeLTA,Oufti
1.0,0.5386,0.7683,0.7913,0.808,0.4833
2.0,0.8923,0.7916,0.8223,0.8329,0.4876
3.0,0.9028,0.7959,0.7215,0.8227,0.4896
4.0,0.925,0.7902,0.7546,0.8336,0.4951
5.0,0.9114,0.7854,0.6875,0.8321,0.4751
6.0,0.8765,0.7726,0.7402,0.8105,0.4753
7.0,0.8827,0.7752,0.7412,0.796,0.4533
8.0,0.9113,0.775,0.6515,0.7836,0.463
9.0,0.8977,0.7497,0.682,0.7656,0.4588
10.0,0.9171,0.743,0.6948,0.7498,0.4758
11.0,0.9359,0.7793,0.6924,0.7127,0.4573
12.0,0.915,0.7724,0.7046,0.723,0.4512
13.0,0.8871,0.7196,0.732,0.7222,0.4405
14.0,0.9165,0.6916,0.6438,0.7173,0.4234
15.0,0.6642,0.5709,0.6036,0.7017,0.4239
16.0,0.9491,0.5765,0.5677,0.6934,0.4323
17.0,0.8794,0.5878,0.5391,0.7132,0.4694
18.0,0.8801,0.7168,0.765,0.7467,0.3725
19.0,0.9057,0.7393,0.7374,0.776,0.3874
20.0,0.9178,0.7373,0.7344,0.7812,0.4075
21.0,0.9032,0.7066,0.7627,0.7877,0.422
22.0,0.9078,0.6979,0.7341,0.5527,0.409
23.0,0.9066,0.671,0.592,0.48,0.3744
24.0,0.9301,0.6617,0.595,0.4731,0.3702
25.0,0.9336,0.6198,0.6054,0.5675,0.4639
26.0,0.9147,0.6095,0.611,0.7571,0.4952
27.0,0.894,0.4211,0.6754,0.7166,0.3193
28.0,0.9135,0.4542,0.7072,0.7407,0.3409
29.0,0.9161,0.6657,0.6733,0.713,0.3173
30.0,0.9224,0.6663,0.6323,0.7121,0.2644
31.0,0.9067,0.6259,0.6183,0.6123,0.2183
32.0,0.9119,0.7178,0.6236,0.6424,0.1884
33.0,0.8999,0.6368,0.6557,0.5375,0.1935
34.0,0.893,0.6533,0.6044,0.5811,0.2084
35.0,0.9174,0.6336,0.6118,0.6054,0.2115
36.0,0.7605,0.6529,0.6518,0.6407,0.2413
37.0,0.8248,0.5931,0.6948,0.551,0.221
38.0,0.7451,0.6832,0.6759,0.6837,0.2367
39.0,0.685,0.6236,0.6406,0.6477,0.2055
40.0,0.6528,0.4558,0.5755,0.6167,0.2004
