2	0	16	0
3	10	16	0
4	16	16	0
5	17	19	0
6	17	18	0
7	18	19	0
8	19	19	0
9	20	24	0
10	20	22	0
11	21	21	0
12	22	25	0
13	23	25	0
14	23	23	0
15	24	35	0
16	24	24	14
17	24	29	14
18	25	35	0
19	25	28	0
20	26	31	0
21	26	33	0
22	26	32	12
23	26	31	0
24	29	33	0
25	30	36	17
26	30	39	17
27	32	35	20
28	32	37	20
29	32	37	0
30	32	39	23
31	33	37	22
32	33	39	22
33	34	35	0
34	34	39	21
35	34	39	0
36	34	38	0
37	36	39	0
38	36	37	18
39	36	39	0
40	36	38	0
41	36	39	0
42	36	39	33
43	37	37	0
44	37	39	25
45	37	39	0
46	38	39	0
47	38	39	0
48	38	39	0
49	38	38	0
50	38	39	0
51	38	39	0
52	38	39	0
53	38	39	0
54	39	39	0
55	39	39	0
56	39	39	0
