TimeStep,CellLifeId,label,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,parent,daughter1,daughter2
1,1,1,-1.16644183849404,48.0911047345768,126.818507890961,22.7291111521304,9.33477540514551,0,0,0
2,1,1,-1.16039820981503,49.237426035503,126.329881656805,24.3103261543596,8.47624669663491,0,0,0
3,1,1,-1.17151188119759,51.7648766328012,126.263425253991,24.8222258484883,8.54599691533114,0,0,0
4,2,2,-1.18549064846607,27.45,128.614,26.4721140346551,8.75993800541196,0,4,3
5,2,2,-1.19058422105555,32.6186770428016,129.309338521401,27.6668639796999,8.73431511956988,0,4,3
6,2,2,-1.21691266628157,36.9910414333707,127.207166853303,33.3297784383066,8.5995330687381,0,4,3
7,2,2,-1.21349535821712,39.2938034188034,124.831730769231,35.2327539258954,8.57503617348946,0,4,3
8,2,2,-1.19792378314156,37.9492385786802,124.82385786802,38.3946369080665,8.42420027642084,0,4,3
9,2,2,-1.16851771445257,45.4939534883721,124.167441860465,42.8394182865375,8.50164772854534,0,4,3
10,2,2,-1.15362125198024,46.7695690413369,124.197889182058,46.8080767835541,8.43594948860081,0,4,3
11,3,2,-1.34050965200769,39.5553064275037,134.138266068759,24.7487003569297,8.37864417794609,2,8,7
11,4,2,-1.08079399688766,50.4331436699858,111.337837837838,26.5046170584652,8.336755612276,2,6,5
12,3,2,1.49397770241633,38.1885838150289,131.775289017341,30.9626640971104,7.35734422165659,2,8,7
12,4,2,-1.42462336320208,49.5702592087312,115.525238744884,31.1650986598225,7.53576116966478,2,6,5
13,3,2,-1.55273086217622,39.6288732394366,130.58661971831,35.3465667390583,6.90069481755688,2,8,7
13,4,2,-1.49573938644006,50.9774193548387,116.897419354839,37.3150384979519,6.99869485457039,2,6,5
14,3,2,-1.51522383279136,40.0771276595745,130.344414893617,39.0381960909367,6.84145020379312,2,8,7
14,4,2,-1.48343659436029,51.4598051157125,118.255176613886,43.2935435911415,6.82558423881731,2,6,5
15,3,2,-1.47797637202322,42.30625,128.145625,44.4784486930653,6.65584756245046,2,8,7
15,4,2,-1.46588085746182,53.4567198177677,119.101366742597,49.0500124700961,6.63448042822999,2,6,5
16,3,2,-1.41637883778849,41.6506639427988,121.886108273749,54.5858597082915,6.47920911325482,2,8,7
16,5,2,-1.44901550329304,50.0897683397683,131.405405405405,28.6173504041036,5.9794456837488,4,17,16
16,6,2,-1.48853504034678,54.6998069498069,106.217181467181,26.3367020113403,6.46280859975031,4,22,21
17,5,2,-1.49236206367839,50.8534923339012,131.835604770017,32.5109784916926,6.01829697823334,4,17,16
17,6,2,-1.40541679470767,56.7805309734513,104.462831858407,29.0736797932296,6.55920748283915,4,22,21
17,7,2,-1.54033838125538,40.672480620155,133.295542635659,29.3623377194409,5.84422281332277,3,0,0
17,8,2,-1.28948155649382,45.3409090909091,108.401185770751,25.6668788995094,6.27758312245011,3,20,19
18,5,2,-1.47369633837314,52.6703645007924,132.893026941363,36.5887712969022,5.89084657825406,4,17,16
18,6,2,-1.37606345915725,59.4541734860884,102.907528641571,33.308614342923,6.17750952860099,4,22,21
18,7,2,-1.52155938880376,42.6973214285714,133.445535714286,32.0565016453206,5.91743167184452,3,0,0
18,8,2,-1.30303337553083,48.3348214285714,106.294642857143,29.8956336222293,6.14040916104243,3,20,19
19,5,2,-1.4640295770141,53.463687150838,133.371508379888,40.4159371978828,6.02139905109103,4,17,16
19,6,2,-1.38401366754865,60.9046898638427,101.10363086233,36.2927340333007,6.12567699141372,4,22,21
19,7,2,-1.49654506040713,43.531914893617,132.70294599018,37.4782223041202,5.62745010407336,3,0,0
19,8,2,-1.3225071904229,50.2444267515924,102.781847133758,34.5970715155691,6.10402572337216,3,20,19
20,5,2,-1.49543385877884,53.0419274092616,135.435544430538,47.0412800476969,6.18181701784788,4,17,16
20,6,2,-1.41553605046979,61.0988700564972,101.041666666667,41.7669792912947,5.82291861967826,4,22,21
20,7,2,-1.51715592261027,43.3768328445748,131.470674486804,40.7573022735512,5.61206680980757,3,0,0
20,8,2,-1.36383972134724,51.2507122507122,99.2079772079772,39.7977580882184,5.9406979045504,3,20,19
