CellId,lable,birth Length,Last Length,AverageLength,AverageOrientation,AverageVelocity,LifeHistory,growth rate
1.0,1.0,30.74321594,42.21524968,35.51845805,-86.07305440333333,-0.12,18.0,0.012
2.0,2.0,17.76059093,30.18133022,23.69592069809524,47.4698868952381,-0.28,21.0,0.017
3.0,3.0,30.05264477,50.69435023,38.0221846696,59.8179395828,0.134,25.0,0.014
4.0,4.0,17.56587101,114.4917815,32.88902266644444,74.05891250555554,0.396,45.0,0.028
5.0,5.0,35.16829709,48.26995951,30.174562699069764,64.97046625860465,-0.063,43.0,0.005
6.0,6.0,50.87549772,69.47778572,55.75516364499999,81.66041650166667,1.237,6.0,0.035
7.0,7.0,19.42103459,45.05815422,32.14378928581395,55.528348516744195,0.205,43.0,0.013
8.0,8.0,21.14975441,30.73829533,25.628661123809522,46.46088363380953,0.13,21.0,0.012
9.0,9.0,35.12674818,42.20158172,38.62887914875,64.40387156875,0.254,8.0,0.015
10,10,14.57491616,14.57491616,14.57491616,-89.49217126,0.0,1,NaN
11.0,11.0,20.92881829,21.48443704,21.026790206666664,-81.50971896166666,0.212,6.0,0.003
12.0,12.0,23.44840621,23.69870732,23.573556765,-83.58344445,0.147,2.0,0.004
13.0,13.0,22.79339493,54.33818715,22.81698119152941,-26.317963462941183,0.03,85.0,0.007
14.0,14.0,27.02909707,38.00986422,30.688086344166663,-82.89461900166667,0.163,12.0,0.019
15.0,15.0,42.64063146,42.17174701,42.406189235,-81.801736315,0.276,2.0,-0.004
16.0,16.0,28.04710668,42.22450348,34.634694362380955,22.58507444380952,0.314,21.0,0.013
17.0,17.0,21.13673561,71.25990071,30.188366120625,-23.661332958437498,-0.013,32.0,0.025
18.0,18.0,26.02022387,44.39526945,33.16799362636363,-27.69137673136364,0.192,22.0,0.016
19.0,19.0,29.23613802,47.8212542,37.25304413,-59.224330279090914,0.112,22.0,0.015
20.0,20.0,22.44643526,49.19442862,33.35383377580645,4.482808548806451,0.089,31.0,0.017
21.0,21.0,25.95849401,42.7640918,32.7688907004,42.6542866728,0.073,25.0,0.013
22.0,22.0,33.0039561,47.94459592,40.65841941368421,38.15212356052631,0.031,19.0,0.013
23.0,23.0,21.83181486,56.72948856,31.76550433,-19.065375804,0.627,5.0,0.127
24,24,43.22424893,43.22424893,43.22424893,87.36067257,0.0,1,NaN
25.0,26.0,45.68838057,53.24498115,49.81400517777778,-64.88024374888889,0.186,9.0,0.011
26.0,27.0,23.65242633,49.31499477,34.817187302187506,12.81255294228125,0.182,32.0,0.015
27.0,28.0,39.01752335,52.42122553,46.62105886066666,-21.39714281666667,0.285,15.0,0.013
28.0,29.0,21.8938253,22.43172452,22.238146073255812,77.67450145232559,0.118,43.0,0.0
29.0,30.0,21.64198744,50.64342502,32.04947727060606,-10.75646910090909,0.321,33.0,0.017
30.0,31.0,23.60089166,52.44550336,34.50440121818182,-81.21947501272727,-0.029,33.0,0.016
31.0,32.0,24.13296326,29.88148944,26.52303912615385,4.771852381076923,0.206,13.0,0.011
32.0,33.0,19.96118357,55.79092491,33.62732584527778,-56.71870233694444,0.079,36.0,0.019
33.0,34.0,18.670586,53.56392802,30.655747164444442,-57.01679758305555,0.132,36.0,0.02
34.0,35.0,26.69825076,26.13182312,27.420291579285713,13.168209811607143,0.015,112.0,-0.0
35.0,36.0,26.23734641,48.36303887,35.26408639909091,-30.446574221363633,0.1,22.0,0.019
36.0,37.0,4.899296621,5.685009885,5.356588457,-16.095199467,0.248,3.0,0.033
37.0,38.0,26.21729795,50.30185021,34.27977671,79.10971898333334,2.208,3.0,0.145
38.0,39.0,30.78301598,30.88642878,30.706884188125,86.407651799375,0.094,16.0,0.0
39.0,41.0,27.22604984,70.14813512,46.297686998837214,-38.085713846744184,-0.028,43.0,0.015
40.0,42.0,22.00127331,23.19934188,22.109221358837207,74.94277009069766,0.126,43.0,0.001
41.0,43.0,39.88430709,45.46101912,42.646617803333335,27.204950055,0.482,6.0,0.015
42.0,44.0,35.50992064,46.13654813,40.60717539214287,56.027186332857134,0.344,14.0,0.012
43.0,45.0,34.27393448,52.17567436,41.942162683333336,62.63162152444444,0.013,18.0,0.016
44.0,46.0,34.66994647,58.96685106,44.16955077954545,46.388107068181824,-0.068,22.0,0.016
45.0,47.0,20.69387161,37.70195354,28.5678633404,44.7644305068,-0.263,25.0,0.016
46.0,48.0,17.01864607,15.9559887,16.447987736666665,36.02349673916667,0.044,24.0,-0.002
47.0,49.0,20.96175058,32.67837588,26.38355951789473,35.30947668421052,0.005,19.0,0.016
48.0,50.0,38.30756944,62.02676727,52.681301552,-79.99765893200001,0.196,5.0,0.064
49.0,52.0,22.58965547,63.44479375,28.860027804074075,-60.304875368518516,0.228,27.0,0.025
50.0,53.0,26.04832202,26.67303702,26.21386719,67.03876626750001,1.062,4.0,0.004
51.0,54.0,26.95984142,38.09388163,32.21406955944445,-76.75116144777778,0.138,18.0,0.013
52.0,55.0,18.63143912,47.03443205,29.08985035275,-48.621566015999996,0.153,40.0,0.015
53.0,56.0,19.06768509,55.44272753,32.559356869302334,-37.63831190511628,0.056,43.0,0.017
54.0,57.0,22.97855597,45.36886964,32.69063351925926,69.16528120370373,-0.032,27.0,0.017
55.0,58.0,39.37324831,42.76237451,41.11790372666667,77.26548776666667,0.293,3.0,0.018
56.0,59.0,40.49741503,121.6016015,64.08340508399999,-70.829427396,-0.021,40.0,0.018
57.0,60.0,29.67993471,56.01010813,42.988145502413786,85.0887223737931,0.361,29.0,0.015
58,62,52.43204022,52.43204022,52.43204022,70.05799485,0.0,1,NaN
59.0,63.0,18.63589617,18.0953635,18.150898657272727,64.1320561009091,0.26,11.0,-0.002
60.0,64.0,27.08194594,47.97525847,30.687705842499998,69.8390576425,0.021,12.0,0.032
61.0,65.0,19.91272734,46.07644298,32.99458516,52.20177052,-2.479,2.0,0.28
62.0,66.0,16.07924658,16.9343795,16.515401455813954,76.65649977302326,0.123,43.0,0.001
63.0,67.0,27.35015935,33.80575151,30.573479062142855,-61.19914199571428,0.255,14.0,0.01
