TimeStep,CellLifeId,lable,Orientation,Center_X,Center_Y,Major_axis,Minor_axis,width,height
1,1,1,5.71059322357178,307.490112304688,58.0990142822266,15.3235731124878,5.27369689941406,15.3235731124878,5.27369689941406
1,2,2,3.01278734207153,223.016586303711,64.1850814819336,26.2268581390381,6.4647364616394,26.2268581390381,6.4647364616394
1,3,3,30.9637546539307,110.64705657959,60.5882339477539,20.2368316650391,5.83095169067383,5.83095169067383,20.2368316650391
1,4,4,41.1859283447266,93.8938064575195,71.4070663452148,19.1907062530518,5.26803684234619,5.26803684234619,19.1907062530518
1,5,5,18.4349479675293,109.800003051758,103.60001373291,12.6491098403931,5.05964422225952,12.6491098403931,5.05964422225952
1,6,6,28.07248878479,259.970611572266,121.617660522461,30.8823547363281,6.64705896377563,30.8823547363281,6.64705896377563
1,7,7,33.6900634765625,302.5,156.5,9.70725345611572,4.16025161743164,9.70725345611572,4.16025161743164
1,8,8,75.9637603759766,242.5,177.000015258789,30.0744171142578,6.06339073181152,6.06339073181152,30.0744171142578
1,9,9,9.46232223510742,215.56755065918,179.594589233398,15.4535045623779,5.58956575393677,15.4535045623779,5.58956575393677
1,10,10,63.4349517822266,201.500030517578,187.500015258789,12.9691944122314,4.02492237091064,4.02492237091064,12.9691944122314
1,11,11,18.4349479675293,389.049987792969,194.850006103516,23.4008541107178,6.64078283309937,23.4008541107178,6.64078283309937
1,12,12,0,504,200.5,12,5,12,5
1,13,13,14.036244392395,178.088241577148,213.147064208984,14.7946729660034,6.06339025497437,14.7946729660034,6.06339025497437
1,14,14,33.6900672912598,407.499969482422,210.499984741211,18.5824565887451,5.8243522644043,18.5824565887451,5.8243522644043
1,15,15,5.19442892074585,196.036895751953,217.094284057617,14.3951835632324,5.25107288360596,14.3951835632324,5.25107288360596
1,16,16,70.0168914794922,362.248138427734,253.18244934082,34.5160484313965,5.80963230133057,5.80963230133057,34.5160484313965
1,17,17,21.8014106750488,466.568969726563,259.327575683594,20.2407932281494,6.49933671951294,20.2407932281494,6.49933671951294
1,18,18,14.036244392395,302.470611572266,262.617706298828,11.8842449188232,4.36564111709595,11.8842449188232,4.36564111709595
1,19,19,14.9314165115356,488.74072265625,267.597534179688,21.5792465209961,5.4109148979187,21.5792465209961,5.4109148979187
1,20,20,68.1985931396484,507.293090820313,279.482788085938,9.84185218811035,5.19946908950806,5.19946908950806,9.84185218811035
1,21,21,80.5376739501953,241.702682495117,286.216247558594,25.646240234375,5.58956527709961,5.58956527709961,25.646240234375
1,22,22,63.4349517822266,417.000061035156,296.000030517578,11.6275539398193,5.36656284332275,5.36656284332275,11.6275539398193
1,23,23,77.0053787231445,359.907318115234,297.098297119141,27.3579063415527,5.5465350151062,5.5465350151062,27.3579063415527
1,24,24,60.2551155090332,399.90771484375,306.338439941406,13.8918886184692,5.45752763748169,5.45752763748169,13.8918886184692
1,25,25,0,524.5,325,21,6,21,6
1,26,26,31.6075019836426,351.929168701172,332.802581787109,29.1529197692871,6.2891697883606,29.1529197692871,6.2891697883606
1,27,27,14.036244392395,79.0000076293945,383.500030517578,17.9476356506348,5.09324741363525,5.09324741363525,17.9476356506348
1,28,28,61.6992454528809,412.130767822266,451.814208984375,20.1831073760986,5.07964134216309,5.07964134216309,20.1831073760986
1,29,29,90,386.5,456.5,21,5,5,21
1,30,30,37.8749847412109,134.89616394043,468.419219970703,16.4009857177734,4.56070137023926,4.56070137023926,16.4009857177734
1,31,31,26.5650501251221,406.700012207031,477.100006103516,21.9134674072266,6.70820379257202,21.9134674072266,6.70820379257202
1,32,32,26.5650501251221,427.600006103516,488.800018310547,21.466251373291,6.26099014282227,21.466251373291,6.26099014282227
1,33,33,59.0362510681152,132.279403686523,494.632354736328,12.0049018859863,4.28746461868286,12.0049018859863,4.28746461868286
1,34,34,68.1985931396484,371.310363769531,507.27587890625,15.2270174026489,5.57085990905762,15.2270174026489,5.57085990905762
1,35,35,21.8014068603516,515.327575683594,521.931030273438,16.5268859863281,5.94225072860718,16.5268859863281,5.94225072860718
2,1,1,90,310,62,8,4,4,8
2,2,2,90,226,68,26,6,6,26
2,3,3,33.6900634765625,112.461532592773,68.8076934814453,26.9029598236084,5.54700183868408,5.54700183868408,26.9029598236084
2,4,4,34.9920234680176,100.104034423828,71.9228210449219,25.8058052062988,5.980393409729,5.980393409729,25.8058052062988
2,5,5,26.5650501251221,112.700019836426,107.600006103516,16.0996894836426,5.81377696990967,16.0996894836426,5.81377696990967
2,6,6,27.6459732055664,262.420806884766,125.696624755859,38.0063934326172,6.9179220199585,38.0063934326172,6.9179220199585
2,7,7,45,302.75,158.250015258789,12.7279205322266,4.94974708557129,12.7279205322266,4.94974708557129
2,8,8,77.9052429199219,245.653656005859,181.217071533203,27.8673706054688,6.0065016746521,6.0065016746521,27.8673706054688
2,9,9,26.5650501251221,219.200042724609,184.100021362305,20.1246089935303,6.26099014282227,20.1246089935303,6.26099014282227
2,11,11,23.1985893249512,397.52587890625,200.939666748047,26.9178237915039,5.51487112045288,26.9178237915039,5.51487112045288
2,13,13,90,175,215,12,6,6,12
2,14,14,19.6538238525391,403.466125488281,212.59504699707,24.6870899200439,5.24684715270996,24.6870899200439,5.24684715270996
2,15,15,90,196,221.5,20,5,5,20
