CellId,label,birth_length,AverageLength,LifeHistory,AverageOrientation
1,1,63.46945643,,1,-1.676364104
2,1,30.47261448,49.3554923,10,-1.389987361
3,1,30.4322777,48.28074987,10,-1.584675333
4,1,36.30800278,48.79733017,8,-1.337167652
5,1,37.89530196,58.35800733,9,-1.345555506
6,1,33.34660369,42.78983651,6,-1.697069556
7,1,33.50387079,42.80526372,6,-1.52240383
8,1,24.75663101,36.67417953,8,-1.313838216
9,1,27.3088824,40.71586767,10,-1.520841923
10,1,29.91903996,36.95902707,5,-1.255148646
11,1,29.8748199,43.73292618,9,-1.206284651
12,1,33.17470626,41.889147,7,-1.304471015
13,1,32.10928186,35.25644311,3,-1.315352818
14,1,44.01918403,65.44780171,5,-1.336683666
15,1,39.11177489,43.70629133,5,-1.158564534
16,1,16.55345769,26.69618632,10,-1.403180535
17,1,20.034531,32.53802447,10,-1.210847753
18,1,20.29369508,34.04658612,10,-1.193289897
19,1,22.51210173,36.61830159,12,-0.910444477
20,1,36.19844592,37.33721705,2,-1.125877553
21,1,26.63909788,40.4549268,10,-1.150047542
22,1,45.93411035,54.38134497,5,-1.377474915
23,1,23.43820984,39.16213513,10,-1.15047132
24,1,25.35580443,31.87629175,7,-1.205588059
25,1,28.30899291,,1,-0.955959207
26,1,26.85784378,37.40501635,3,-1.00291414
27,1,23.26859254,27.21532193,5,-1.665356082
28,1,65.86738961,81.85880144,5,-1.172698557
29,1,33.86434691,43.68745464,5,-0.810219598
30,2,30.07209114,34.11985834,8,-1.477087106
31,1,31.33445251,42.41612239,8,-1.393332884
32,1,31.34251217,39.52655005,6,-1.28095894
33,1,23.12218322,24.15801115,3,-2.237228677
34,1,26.4056987,39.8901796,6,-0.638900488
35,1,34.66570918,36.50923319,2,-1.186079391
36,1,33.58540175,37.3810866,5,-1.120286269
37,1,18.20839934,19.29050014,4,-1.69638448
38,1,14.38146526,19.59287731,4,-1.480284211
39,1,54.13671998,61.39073465,4,-1.1405049
40,1,49.51246986,,1,-0.98177446
41,1,22.93380339,,1,-0.931414849
42,1,26.85425308,46.12466085,3,-0.47452746
43,1,33.68931598,37.06044279,3,-0.580418385
44,1,39.92892506,44.58400794,3,-1.154728663
45,1,19.38544683,21.6683257,3,-1.567104777
46,1,17.86009348,19.33334471,3,-1.522655552
47,1,25.47910234,27.43460366,3,-1.166049177
48,1,24.23968876,26.96560387,3,-0.962328194
49,1,23.31214618,26.50634689,3,-0.881506407
50,1,24.92532507,,1,-1.19952424
51,1,53.14674164,56.49191075,2,-0.964513657
52,1,24.44836729,26.54940028,3,-1.112886289
53,1,28.39801718,30.79474998,2,-0.419904736
54,1,53.69459504,54.98366108,2,-1.050541047
55,1,28.95683204,29.89825499,2,-1.208767441
56,1,29.54265284,,1,-0.914036834
57,1,63.08227792,,1,-0.979064199
58,1,20.05670047,,1,-1.224593731
59,1,27.91412054,,1,-0.731513304
60,1,28.42111267,,1,-0.179590206
61,1,35.19978534,,1,-0.392897046
