StepNumber,NumberOfCells
1,1
2,1
3,1
4,1
5,2
6,1
7,1
8,1
9,2
10,2
11,1
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,3
23,3
24,4
25,4
26,4
27,4
28,5
29,4
30,7
31,8
32,7
33,7
34,8
35,11
36,10
37,14
38,16
39,15
40,16
