CellId,birthLength,AverageLength,AverageVelocity,AverageOrientation,LifeHistory,GrowthRate
1.0,57.4652824401855,57.4652824401855,0.0,,1.0,
12.0,29.4805488586426,43.74270022999156,-0.367,,11.0,0.038
13.0,29.7004928588867,31.69413801339958,-0.335,,13.0,-0.003
14.0,32.4943504333496,42.12487357003347,-0.402,,7.0,0.038
15.0,22.2255172729492,22.2255172729492,0.0,,1.0,
16.0,8.80394554138184,8.80394554138184,0.0,,1.0,
17.0,19.1121044158936,19.6090202331543,0.905,,2.0,0.017
18.0,24.9507999420166,27.883885065714498,0.917,,3.0,0.027
19.0,34.4623489379883,33.852388381958,-1.204,,6.0,-0.02
20.0,17.7552642822266,17.7552642822266,0.0,,1.0,
21.0,6.21659517288208,6.21659517288208,0.0,,1.0,
