StepNumber,NumberOfCells
1,1
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,3
14,4
15,2
16,1
17,1
18,1
19,1
20,2
21,2
22,2
23,3
24,1
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
