time step,CellProfiler,FAST,SuperSegger,DeLTA,Oufti
1.0,0.9223,0.7567,0.583,0.648,0.5271
2.0,0.931,0.762,0.6252,0.6473,0.5394
3.0,0.9385,0.741,0.6416,0.7294,0.5457
4.0,0.963,0.7647,0.6382,0.7298,0.5651
5.0,0.9681,0.8048,0.6583,0.7248,0.5708
6.0,0.9536,0.7727,0.6198,0.6917,0.5729
7.0,0.9531,0.789,0.6518,0.73,0.5766
8.0,0.9413,0.807,0.7001,0.7176,0.5706
9.0,0.9692,0.7061,0.5648,0.5122,0.592
10.0,0.9656,0.7039,0.5636,0.5043,0.6178
11.0,0.9511,0.8302,0.5638,0.49,0.6145
12.0,0.9568,0.6731,0.5647,0.4912,0.5974
13.0,0.947,0.7258,0.6658,0.6791,0.5456
14.0,0.9589,0.7569,0.7359,0.6902,0.555
15.0,0.9222,0.7415,0.6774,0.6704,0.525
16.0,0.9416,0.7196,0.6969,0.6754,0.5351
17.0,0.948,0.6996,0.7429,0.7029,0.4993
18.0,0.9534,0.6781,0.7324,0.7111,0.4881
19.0,0.9594,0.727,0.7327,0.5971,0.3167
20.0,0.9287,0.7239,0.7448,0.6935,0.3501
21.0,0.9559,0.7656,0.7117,0.595,0.3465
22.0,0.9517,0.7699,0.6683,0.6299,0.3284
23.0,0.863,0.763,0.6467,0.6174,0.3222
24.0,0.9515,0.7494,0.6986,0.657,0.3622
25.0,0.9619,0.7036,0.7053,0.7351,0.3215
26.0,0.9495,0.6939,0.6261,0.5512,0.3819
27.0,0.9462,0.6326,0.5788,0.5886,0.3857
28.0,0.9491,0.6673,0.6071,0.579,0.33
29.0,0.9578,0.6022,0.5725,0.5972,0.3048
30.0,0.9624,0.6697,0.7226,0.742,0.2314
31.0,0.9498,0.7078,0.723,0.6088,0.2316
32.0,0.9458,0.6352,0.725,0.5905,0.1779
33.0,0.9461,0.5807,0.6365,0.6202,0.173
34.0,0.9336,0.6355,0.5802,0.5562,0.1913
35.0,0.9609,0.6161,0.5972,0.5433,0.2145
36.0,0.9512,0.5452,0.5556,0.5058,0.2328
37.0,0.9527,0.6445,0.6612,0.6584,0.2236
38.0,0.9404,0.7371,0.6964,0.7097,0.2137
39.0,0.9348,0.635,0.681,0.6776,0.1426
40.0,0.9562,0.6784,0.6574,0.6689,0.1402
