Time Step,Gold Standard,CellProfiler,DeLTA,FAST,Oufti,SuperSegger
1,1,1,2,1,1,2
2,1,1,2,1,1,2
3,1,1,2,1,1,2
4,1,1,2,1,1,2
5,1,1,2,2,1,2
6,1,1,2,1,1,2
7,1,1,2,1,1,2
8,1,1,2,1,1,2
9,1,1,3,2,1,3
10,1,1,3,2,1,3
11,1,1,3,1,1,3
12,1,1,3,2,1,3
13,2,2,2,2,2,5
14,2,2,2,2,2,5
15,2,2,2,2,2,3
16,2,2,2,2,2,4
17,2,2,2,2,2,4
18,2,2,2,2,2,2
19,2,2,2,2,2,3
20,2,2,3,2,1,3
21,2,2,3,2,1,3
22,2,2,4,3,1,4
23,3,4,4,3,1,4
24,4,4,4,4,2,4
25,4,4,4,4,2,4
26,4,4,4,4,2,6
27,4,4,3,4,2,7
28,5,5,6,5,3,9
29,5,5,7,4,2,9
30,8,8,9,7,2,9
31,8,8,7,8,3,11
32,8,8,8,7,2,10
33,8,8,9,7,2,11
34,8,8,12,8,2,13
35,10,10,16,11,2,15
36,11,11,16,10,2,16
37,15,15,17,14,3,17
38,16,16,17,16,3,18
39,16,16,19,15,4,19
40,17,17,20,16,4,21
