StepNumber,NumberOfCells
1,9
2,9
3,9
4,9
5,9
6,11
7,10
8,10
9,10
10,11
11,11
12,14
13,15
14,17
15,16
16,17
17,17
18,18
19,18
20,18
21,18
22,18
23,19
24,21
25,24
26,26
27,25
28,28
29,30
30,29
31,30
32,33
33,35
34,34
35,35
36,35
37,36
38,37
39,39
40,43
41,46
42,48
43,49
44,49
45,51
46,57
47,57
48,61
49,66
50,63
51,69
52,68
53,69
54,79
55,82
56,91
57,90
58,94
59,95
60,104
61,109
62,115
63,111
64,118
65,121
66,136
67,141
68,152
69,159
70,182
71,189
72,191
73,195
74,194
75,215
76,224
77,238
78,248
79,257
80,259
81,283
82,287
83,296
84,302
85,339
86,352
87,352
88,366
89,390
90,396
91,415
92,433
93,463
94,472
95,497
96,532
97,555
98,576
99,569
100,629
101,659
102,691
103,711
104,735
105,763
106,796
107,821
108,857
109,889
110,934
111,955
112,1037
113,1025
114,1075
115,1097
116,1134
117,1191
118,1229
119,1264
120,1314
121,1337
122,1383
123,1406
124,1436
125,1483
126,1540
127,1592
128,1647
129,1694
130,1745
131,1799
132,1839
133,1848
134,1881
135,1920
136,1937
137,1989
138,1951
139,2138
140,2190
141,2288
142,2363
143,2430
144,2473
145,2502
146,2542
147,2576
148,2548
149,2642
150,2647
151,2720
152,2769
153,2818
154,2743
155,3123
156,3055
157,3043
158,3089
159,3178
160,3175
161,3189
162,3194
163,3139
164,3188
165,3186
166,3195
167,3334
168,3236
169,3243
170,3233
171,3294
172,3325
173,3338
174,3332
175,3348
176,3290
177,3271
178,3283
179,3221
180,3234
181,3238
182,3226
183,3158
184,3214
185,3225
186,3223
187,3235
188,3248
189,3216
190,3224
191,3245
192,3268
193,3260
194,3270
195,3266
196,3245
197,3235
198,3239
199,3232
200,3198
201,3151
202,3189
203,3434
