CellId,label,birth_length,AverageLength,LifeHistory,AverageOrientation
1,1,24.499756,35.74930326,34,-0.540778622
2,2,25.89661037,37.20028999,32,-0.524405188
3,3,54.33820228,55.77880206,3,-2.6385786
4,4,24.05029537,36.72715588,33,-2.553129145
5,5,23.51817875,34.64807956,33,-2.331724806
6,3,27.00169141,39.32592535,33,-2.561152635
7,3,26.28795471,36.79440229,30,-2.465496087
8,2,25.42691048,36.75612442,27,-0.501913248
9,2,26.99196172,36.69196201,33,-0.327196352
10,3,23.13926643,35.87587974,20,-2.098865163
11,4,27.68036992,36.18676103,23,-2.31201674
12,3,27.71886685,37.0677304,21,-2.405231179
13,5,24.39139464,28.06020387,10,-2.349702027
14,4,24.64433983,35.62462701,24,-2.097578187
15,5,25.19874083,33.39780474,21,-2.109224527
16,1,26.98977015,48.2933923,38,-0.329533938
17,1,22.97958185,37.36843238,24,-2.003130902
18,3,29.30849885,32.17943248,7,-2.913941223
19,3,28.79874436,30.98691706,7,-2.466997105
20,6,36.25674057,41.89159557,11,-0.476176083
21,7,37.39951087,42.73132315,11,-0.433117201
22,8,37.35625001,45.02217734,13,-2.353179099
23,3,20.96661972,31.14457415,20,-1.36845864
24,3,29.39141634,41.47777293,20,-2.20539611
25,6,24.64052954,31.49141963,19,-0.693963424
26,6,22.2328229,29.24417811,19,-0.609587293
27,7,28.68678284,38.33171322,19,-0.225508523
28,7,21.01403294,28.20439685,19,-0.405022702
29,3,22.35084225,30.00100542,18,-2.734760698
30,3,26.78081103,36.53987155,19,-2.306755798
31,5,21.33167896,29.56429606,19,-1.969038904
32,5,22.47830801,30.64858732,19,-2.191650364
33,8,29.79463715,36.94148509,17,-2.387777454
34,8,23.51257763,31.99100193,17,-2.054091951
35,4,24.16940884,31.47417972,17,-2.406521012
36,4,24.15333443,32.56244743,17,-2.377882519
37,4,23.64558085,32.3084058,16,-2.566581913
38,4,25.89392905,31.79485005,16,-1.884937079
39,1,27.39395111,35.45165803,14,-2.712021576
40,1,27.2900461,36.95215409,15,-2.678463514
41,2,27.63922973,33.94485827,14,-0.818315665
42,2,24.27752383,29.02387228,14,-0.601498003
43,2,29.45267812,33.52949524,8,-0.211203034
44,2,26.48188847,30.3858858,8,-2.836933495
45,1,34.96834929,,1,-0.278415673
46,1,21.82152749,,1,-2.427109148
47,1,41.7716594,,1,-0.175426488
48,1,22.71164246,,1,-2.802682677
49,3,18.20040486,,1,-2.595115055
50,3,21.77883899,,1,-2.454743614
