2	0	9	0
3	10	19	2
4	10	14	2
5	15	22	4
6	15	21	4
7	20	20	0
8	20	23	3
9	20	25	3
10	22	23	0
11	22	29	6
12	22	27	6
13	23	32	5
14	23	34	5
15	24	31	8
16	24	31	8
17	26	29	9
18	26	31	9
19	28	37	12
20	28	36	12
21	29	29	0
22	30	37	17
23	30	39	17
24	30	38	11
25	30	38	11
26	31	32	0
27	32	36	15
28	32	37	15
29	32	36	18
30	32	38	18
31	32	37	16
32	32	39	16
33	33	38	13
34	33	39	13
35	33	33	0
36	34	34	0
38	35	39	14
39	35	38	14
40	37	39	27
41	37	39	27
43	37	39	29
44	37	39	29
46	37	39	20
47	37	39	20
48	38	39	28
49	38	39	28
50	38	39	22
51	38	39	22
52	38	39	31
53	38	39	31
54	38	39	19
55	38	39	19
56	39	39	33
57	39	39	33
58	39	39	39
59	39	39	39
60	39	39	24
61	39	39	24
62	39	39	30
63	39	39	30
64	39	39	25
65	39	39	25
