Channel_img,Count_FilteredNuclei,Count_IdentifySecondaryObjects,Count_Watershed,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ColorToGray,ExecutionTime_06CorrectIlluminationCalculate,ExecutionTime_07CorrectIlluminationApply,ExecutionTime_08ImageMath,ExecutionTime_09Watershed,ExecutionTime_10IdentifySecondaryObjects,ExecutionTime_11TrackObjects,ExecutionTime_12MeasureObjectSizeShape,ExecutionTime_13MeasureObjectNeighbors,ExecutionTime_14SaveImages,FileName_img,Frame_img,Group_Index,Group_Number,Height_img,ImageNumber,ImageSet_ImageSet,MD5Digest_img,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05ColorToGray,ModuleError_06CorrectIlluminationCalculate,ModuleError_07CorrectIlluminationApply,ModuleError_08ImageMath,ModuleError_09Watershed,ModuleError_10IdentifySecondaryObjects,ModuleError_11TrackObjects,ModuleError_12MeasureObjectSizeShape,ModuleError_13MeasureObjectNeighbors,ModuleError_14SaveImages,PathName_img,ProcessingStatus,Scaling_img,Series_img,Threshold_FinalThreshold_IdentifySecondaryObjects,Threshold_OrigThreshold_IdentifySecondaryObjects,Threshold_SumOfEntropies_IdentifySecondaryObjects,Threshold_WeightedVariance_IdentifySecondaryObjects,TrackObjects_LostObjectCount_IdentifySecondaryObjects_50,TrackObjects_MergedObjectCount_IdentifySecondaryObjects_50,TrackObjects_NewObjectCount_IdentifySecondaryObjects_50,TrackObjects_SplitObjectCount_IdentifySecondaryObjects_50,URL_img,Width_img
-2,41.0,41.0,43.0,0.0,0.0,0.609375,0.0,1.015625,0.078125,0.015625,0.0,3.953125,2.28125,1.765625,0.171875,2.75,0.8125,xanthomonase_t011xy1c1.tif,0,11,1,1104,11,b'eLv4iTPEG02WgzxZGhgaVlQaJhvqlWSmgWshmCeBoQhyPGbtBmKAfWlng6gjglLTqFRNgdwAthlEg2MJyAB7BmftRJPqUgEURcUFicmp5JoGDCDkuhZqto0+sqANpAbWNbLRh9bF+qi+AQrg8DUoD9gBAJZVH0c=',34983286ce9e736637885ac4aaed8972,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t011xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Xantamonase\1. Raw Images\1. raw images,Done,255,0,0.5572303533554077,0.55723035,-11.585580572048231,3.23449933370026e-05,0,4,3,4,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t011xy1c1.tif,1376
-2,41.0,41.0,42.0,0.0,0.0,1.09375,0.0,0.65625,0.703125,0.03125,0.015625,5.546875,4.75,6.5625,0.453125,2.046875,0.40625,xanthomonase_t012xy1c1.tif,0,12,1,1104,12,b'eLv4iTPEG02WgzxZGhgaVVQaJhvqlWSmgWshmCeBoQhyPGbtBmKAfWlng6gjglLTqFRNgdwAthlEg2MJyAB7BmftRJPqUgEURcUFicmp5JoGDCDkuhZqto0+sqANpAbWNbLRh9bF+qi+AQrg8DUoD9gBAJgSH0g=',d01cfd8c9694d02bb0380a1b216f28b7,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t012xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Xantamonase\1. Raw Images\1. raw images,Done,255,0,0.5572303533554077,0.55723035,-11.562009197931015,3.214182459863602e-05,2,0,0,6,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t012xy1c1.tif,1376
-2,39.0,39.0,40.0,0.0,0.0,0.5,0.0,0.40625,0.390625,0.015625,0.015625,3.9375,3.171875,7.234375,0.328125,3.21875,0.671875,xanthomonase_t013xy1c1.tif,0,13,1,1104,13,b'eLv4iTPEG02WgzxZGhgaV1QaJhvqlWSmgWshmCeBoQhyPGbtBmKAfWlng6gjglLTqFRNgdwAthlEg2MJyAB7BmftRJPqUgEURcUFicmp5JoGDCDkuhZqto0+sqANpAbWNbLRh9bF+qi+AQrg8DUoD9gBAJnPH0k=',42d4997e96e53a23fa7597622000dab6,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t013xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Xantamonase\1. Raw Images\1. raw images,Done,255,0,0.5528185963630676,0.5528186,-11.659055965079652,3.073733055154997e-05,0,2,0,4,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t013xy1c1.tif,1376
-2,39.0,39.0,41.0,0.0,0.0,0.375,0.0,0.09375,0.0625,0.015625,0.015625,1.765625,2.90625,1.53125,0.265625,0.796875,0.3125,xanthomonase_t014xy1c1.tif,0,14,1,1104,14,b'eLv4iTPEG02WgzxZAquKikrDZEO9ksw0cC0E8yQwFEGOx6zdQAywL+1sEHVEUGoalaopkBvANoNocCwBGWDP4KydaFJdKoCiqLggMTmVXNOAAYRc10LNttFHFrSB1MC6Rjb60LpYH9U3QAEcvgblATsAm4wfSg==',e1f6ccb39b01827c6dd1a585d6ff5199,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t014xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Xantamonase\1. Raw Images\1. raw images,Done,255,0,0.5528185963630676,0.5528186,-11.679730016675697,3.0115882682784085e-05,0,0,0,4,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t014xy1c1.tif,1376
-2,42.0,42.0,43.0,0.0,0.0,0.203125,0.0,0.09375,0.0625,0.03125,0.015625,2.234375,1.484375,3.78125,0.1875,2.421875,0.5,xanthomonase_t015xy1c1.tif,0,15,1,1104,15,b'eLv4iTPEG02WgzxZGhiaVlQaJhvqlWSmgWshmCeBoQhyPGbtBmKAfWlng6gjglLTqFRNgdwAthlEg2MJyAB7BmftRJPqUgEURcUFicmp5JoGDCDkuhZqto0+sqANpAbWNbLRh9bF+qi+AQrg8DUoD9gBAJ1JH0s=',405b187007904ed62edebce5796a8df1,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t015xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Xantamonase\1. Raw Images\1. raw images,Done,255,0,0.5526500940322876,0.5526501,-11.74568467255196,3.180166646181835e-05,0,1,3,4,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t015xy1c1.tif,1376
-2,43.0,43.0,45.0,0.0,0.0,0.6875,0.0,0.421875,0.078125,0.03125,0.015625,3.90625,2.921875,4.875,0.359375,0.984375,0.171875,xanthomonase_t016xy1c1.tif,0,16,1,1104,16,b'eLv4iTPEG02WgzxZAsOwotIw2VCvJDMNXAvBPAkMRZDjMWs3EAPsSzsbRB0RlJpGpWoK5AawzSAaHEtABtgzOGsnmlSXCqAoKi5ITE4l1zRgACHXtVCzbfSRBW0gNbCukY0+tC7WR/UNUACHr0F5wA4AnwYfTA==',624b84afe2abb205cf73aede5b747f90,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t016xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Xantamonase\1. Raw Images\1. raw images,Done,255,0,0.5568780303001404,0.55687803,-11.604193828761748,3.6273692517692154e-05,3,0,2,6,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t016xy1c1.tif,1376
-2,38.0,38.0,39.0,0.0,0.0,0.1875,0.0,0.140625,0.078125,0.03125,0.0,3.171875,1.328125,2.984375,0.140625,0.75,0.375,xanthomonase_t017xy1c1.tif,0,17,1,1104,17,b'eLv4iTPEG02WgzxZGhiaV1QaJhvqlWSmgWshmCeBoQhyPGbtBmKAfWlng6gjglLTqFRNgdwAthlEg2MJyAB7BmftRJPqUgEURcUFicmp5JoGDCDkuhZqto0+sqANpAbWNbLRh9bF+qi+AQrg8DUoD9gBAKDDH00=',806a8e4b326bc5717be881cd67592afd,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t017xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Xantamonase\1. Raw Images\1. raw images,Done,255,0,0.5567171573638916,0.55671716,-11.647502128171796,3.223004267112056e-05,2,3,0,3,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t017xy1c1.tif,1376
-2,40.0,40.0,42.0,0.0,0.0,0.4375,0.0,0.671875,0.125,0.015625,0.0,1.40625,4.71875,4.40625,0.140625,0.703125,0.171875,xanthomonase_t018xy1c1.tif,0,18,1,1104,18,b'eLv4iTPEG02WgzxZGhhaVFQaJhvqlWSmgWshmCeBoQhyPGbtBmKAfWlng6gjglLTqFRNgdwAthlEg2MJyAB7BmftRJPqUgEURcUFicmp5JoGDCDkuhZqto0+sqANpAbWNbLRh9bF+qi+AQrg8DUoD9gBAKKAH04=',b4f99267fc2e0e57df5bedee5ce983d9,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t018xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Xantamonase\1. Raw Images\1. raw images,Done,255,0,0.5528185963630676,0.5528186,-11.660421705960447,3.4354770616604915e-05,0,1,1,4,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t018xy1c1.tif,1376
-2,44.0,44.0,45.0,0.0,0.0,0.28125,0.0,0.140625,0.078125,0.03125,0.03125,3.015625,3.09375,1.5,0.484375,2.953125,0.546875,xanthomonase_t019xy1c1.tif,0,19,1,1104,19,b'eLv4iTPEG02WgzxZGhhaVlQaJhvqlWSmgWshmCeBoQhyPGbtBmKAfWlng6gjglLTqFRNgdwAthlEg2MJyAB7BmftRJPqUgEURcUFicmp5JoGDCDkuhZqto0+sqANpAbWNbLRh9bF+qi+AQrg8DUoD9gBAKQ9H08=',ad6eda2fdf2e17b1112c86e7af5467ac,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t019xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Xantamonase\1. Raw Images\1. raw images,Done,255,0,0.5570389032363892,0.5570389,-11.662785234604998,3.1107055810721074e-05,1,0,0,8,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t019xy1c1.tif,1376
-2,41.0,41.0,42.0,0.0,0.0,0.125,0.0,0.109375,0.0625,0.015625,0.015625,4.703125,6.0625,3.609375,0.5,2.71875,0.4375,xanthomonase_t020xy1c1.tif,0,20,1,1104,20,b'eLv4iTPEG02WgzxZGhgZVFQaJhvqlWSmgWshmCeBoQhyPGbtBmKAfWlng6gjglLTqFRNgdwAthlEg2MJyAB7BmftRJPqUgEURcUFicmp5JoGDCDkuhZqto0+sqANpAbWNbLRh9bF+qi+AQrg8DUoD9gBAJZWH0c=',cb7ddb902cef5801919d8a49136c13af,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t020xy1c1.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Administrator\Documents\GitHub\article\CellProfiler\Xantamonase\1. Raw Images\1. raw images,Done,255,0,0.5609605312347412,0.56096053,-11.611099878003355,2.8677265546668974e-05,0,3,0,6,file:///C:/Users/Administrator/Documents/GitHub/article/CellProfiler/Xantamonase/1.%20Raw%20Images/1.%20raw%20images/xanthomonase_t020xy1c1.tif,1376
