CellId,label,birth_length,AverageLength,LifeHistory,AverageOrientation
1,1,53.51793382,82.55554139,11,-0.506025679
2,2,35.10418914,54.96870074,12,-1.325458804
3,1,68.55125757,75.93206019,4,-0.546578529
4,1,60.05223259,72.48117947,5,-0.443366961
5,2,41.42561973,51.311274,5,-2.785014161
6,2,43.36525512,46.36154941,3,-0.323044592
7,1,45.11673858,55.81909994,6,-0.46981268
8,1,50.53065496,72.86282499,10,-0.279622166
9,2,28.57918612,36.06579616,6,-2.77669786
10,2,28.40939149,39.03201193,10,-0.665855675
11,1,54.17036846,63.31152965,4,-0.238931586
12,1,37.44474955,45.26427608,6,-0.705690754
13,2,31.59113486,38.23904288,6,-1.09387266
14,2,29.90810362,38.22542537,7,-2.79164385
15,1,42.51297339,51.41966815,5,-0.431633734
16,1,30.08736942,45.61478882,9,-0.615603511
17,1,29.0818589,39.91239158,9,-0.433539529
18,1,43.57093349,54.57294719,7,-0.295161307
19,2,22.7201195,33.26397402,10,-0.27550477
20,2,21.64507621,33.66672778,10,-2.84658377
21,1,27.68091072,38.1975826,6,-1.161299583
22,1,30.32204176,36.24140964,5,-0.436018921
23,2,22.88380352,31.16298223,8,-2.826427885
24,2,28.07367802,36.79363122,8,-0.641928162
25,2,19.68152521,27.36292737,7,-1.789665585
26,2,27.67642807,33.96837344,7,-2.740900012
27,1,50.79405485,57.92154256,6,-0.444588743
28,1,35.10693854,40.0127574,4,-0.577585545
29,1,56.11779949,59.19442522,2,-0.450746469
30,1,29.22147762,36.54713924,6,-0.126398006
31,2,28.78295568,36.36143685,6,-1.657466844
32,2,27.87700592,35.70727509,6,-0.733269469
33,1,39.90686162,39.08729464,4,-0.198710116
34,1,31.16597923,33.80412355,4,-0.982810072
35,1,20.75953042,24.2167459,4,-2.317863535
36,1,23.41431926,26.13269588,4,-0.728474481
37,1,24.85641453,27.62363561,3,-0.661174467
38,1,53.52631362,59.05694473,3,-0.258751162
39,1,23.03875478,25.6554176,3,-1.195431835
40,1,22.10821256,24.62849985,3,-1.169601459
41,1,22.73487461,23.27156838,2,-0.017457791
42,1,22.16038001,22.79890529,2,-0.856042384
43,1,37.31077929,39.06696583,2,-1.003274708
44,1,33.66880142,35.01951804,2,-3.060292396
45,1,27.69808646,,1,-3.091949939
46,1,28.27545373,,1,-0.525017444
