CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength,AverageOrientation
1,0.371428571428571,32,14,-0.16319683467714,42.5714285714286,0.870059358985227
2,0.133333333333333,27,6,-0.850047409933648,28.1666666666667,0.671292740611857
3,0.2,18,14,-0.378006080970646,22.9285714285714,0.818916314352934
4,0.3,17,18,-0.0836600895800029,26.6111111111111,0.527594137520649
5,0.377777777777778,29,9,-0.112211399172968,36.7777777777778,1.03569228108537
6,0.525,34,8,-0.0422132530623706,43.625,0.493508745176787
7,0.316666666666667,19,12,-0.327119094115922,27.3333333333333,1.29675711538164
8,0.381818181818182,17,11,-0.166114897921409,25.4545454545455,0.475787938531698
9,0.5,33,6,-0.0984737216901683,40,0.75872326432723
10,0.0153846153846154,28,13,0.128684699666049,36.4615384615385,0.385898087472085
11,0.371428571428571,22,7,-0.662779424292051,28,-1.30702352822068
12,0.466666666666667,30,6,-0.406487391557756,36,0.894379083788426
13,0.2,24,2,-1.3934525680953,25,-0.0391768396295013
14,0.381818181818182,26,11,-0.416215272564155,34.7272727272727,0.411630372106495
15,0,9,1,NaN,NaN,NaN
16,0.666666666666667,22,6,-0.518147837501543,31.6666666666667,-0.128311057205081
17,0.133333333333333,11,3,-0.470855365026454,11.6666666666667,-0.603818367222568
18,0.4,23,7,0.217476491378599,28.7142857142857,0.921023514332994
19,0.466666666666667,30,6,0.57683336480979,37,0.666120323442376
20,0,1,1,NaN,NaN,NaN
21,0.48,26,5,-0.272239121042206,32.6,0.884280525347199
22,0.333333333333333,25,3,-0.119203624747573,27.6666666666667,0.052817528735057
23,0,6,1,NaN,NaN,NaN
24,0.45,9,4,-0.645385212995612,11.75,0.775974398934036
25,0.24,20,5,-0.955959503966231,22.6,-1.08321906366274
26,0.2,20,5,-0.114851904505728,22.2,-1.12637552518014
27,0,1,1,NaN,NaN,NaN
28,-0.1,21,4,-0.639851002549673,18.75,-0.330538431211655
29,0.3,21,4,-1.09257931637725,24,0.551552715816783
30,0,1,1,NaN,NaN,NaN
31,-0.133333333333333,28,3,-1.81984151567564,26,1.47042434556771
32,0.4,18,3,-0.922562711335478,21.3333333333333,-1.46212706625084
33,0.2,6,3,-0.273562290514075,7.66666666666667,0.059421562026986
34,0.0666666666666667,15,3,-0.892844065790269,15.6666666666667,-0.473466240111367
35,0.533333333333333,20,3,0.542630838126493,23.3333333333333,-0.281232198655053
36,-0.3,29,2,-1.75462570347288,27.5,0.192124341710593
37,0.6,11,3,0.0643851979863721,16.6666666666667,-0.415571823464836
38,0,8,1,NaN,NaN,NaN
39,0,9,1,NaN,NaN,NaN
40,0.6,9,2,0.854458014364633,12,0.831039819062227
41,0.733333333333333,15,3,-0.658811648336856,20.3333333333333,0.0832101325778145
42,-0.4,14,2,-0.211941668763707,12,-0.479998530141424
43,0,1,1,NaN,NaN,NaN
44,0,1,1,NaN,NaN,NaN
45,0,28,1,NaN,NaN,NaN
46,0,11,1,NaN,NaN,NaN
47,0,26,1,NaN,NaN,NaN
48,0,18,1,NaN,NaN,NaN
49,0,11,1,NaN,NaN,NaN
50,0,1,1,NaN,NaN,NaN
51,0,27,1,NaN,NaN,NaN
52,0,26,1,NaN,NaN,NaN
53,0,1,1,NaN,NaN,NaN
54,0,1,1,NaN,NaN,NaN
