TimeStep,NumberOfCells
1,104
2,112
3,116
4,118
5,112
6,117
7,116
8,118
9,119
10,120
11,114
12,118
13,108
14,116
15,116
16,117
17,124
18,126
19,125
20,125
21,136
22,133
23,147
24,143
25,153
26,155
27,139
28,140
29,146
30,156
31,160
32,164
33,171
34,179
35,174
36,183
37,187
38,194
39,189
40,194
41,189
42,191
43,200
44,208
45,205
46,224
47,220
48,241
49,223
50,242
51,246
52,266
53,270
54,274
55,291
56,296
57,312
58,310
59,319
60,318
61,325
62,309
63,331
64,349
65,362
66,359
67,346
68,365
69,376
70,382
71,411
72,437
73,451
74,440
75,444
76,451
77,454
78,473
79,476
80,515
81,535
82,539
83,547
84,546
85,547
86,573
87,598
88,627
89,648
90,649
91,672
92,681
93,698
94,733
95,737
96,745
97,789
98,821
99,850
100,877
101,901
102,906
103,949
104,946
105,893
106,945
107,1012
108,975
109,1017
110,1054
111,1060
112,1040
