TimeStep,CellId,Center_X,Center_Y,Orientation,Major_axis,Minor_axis,lable,parent
1,1,318.710021972656,511.095611572266,59.7630004882813,39.0924186706543,10.3173360824585,1,0
1,2,244.508331298828,1019.4501953125,79.1053619384766,42.5807113647461,6.59610891342163,2,0
1,3,57.7894821166992,136.220062255859,87.8186340332031,43.7071800231934,7.15755939483643,3,0
1,4,35.5988273620605,155.987823486328,-88.7078399658203,23.8867835998535,6.16107606887817,4,0
1,5,-116.60758972168,370.576690673828,-61.7636108398438,41.1749801635742,6.8670802116394,5,0
1,6,284.068054199219,612.183715820313,71.7506408691406,46.08447265625,6.45420789718628,6,0
1,7,-37.1457977294922,634.150451660156,-78.2596893310547,24.8463172912598,6.31287145614624,7,0
1,8,308.230072021484,198.518020629883,47.6224060058594,26.7473583221436,6.64889669418335,8,0
1,9,134.919052124023,165.343505859375,77.0780181884766,21.6530017852783,6.30929470062256,9,0
1,10,-362.025512695313,567.314025878906,-48.1333465576172,34.4233741760254,6.27038288116455,10,0
1,11,297.691101074219,275.101043701172,59.4709930419922,36.0711898803711,7.02258348464966,11,0
1,12,277.566497802734,228.217208862305,57.589599609375,26.306095123291,6.97245979309082,12,0
1,13,149.824737548828,14.9556922912598,63.9996185302734,22.767261505127,7.04727983474731,13,0
1,14,-270.045043945313,734.820678710938,-60.1721649169922,23.8769702911377,6.21025562286377,14,0
1,15,539.980529785156,546.327514648438,55.9998474121094,26.9420528411865,6.04641580581665,15,0
1,16,509.193603515625,577.872375488281,59.9328308105469,29.2806148529053,6.41267967224121,16,0
1,17,185.102355957031,16.4681148529053,81.8543243408203,51.8848876953125,6.42605209350586,17,0
1,18,174.951400756836,36.8827934265137,-86.3344116210938,31.837121963501,5.47687196731567,18,0
1,19,292.870422363281,443.1181640625,77.3711700439453,39.7051773071289,7.10157585144043,19,0
1,20,23.4920597076416,1053.20300292969,-81.6144866943359,43.5794372558594,6.1361026763916,20,0
1,21,247.069778442383,754.816467285156,86.352294921875,43.0654678344727,7.12192916870117,21,0
1,22,240.12385559082,80.279167175293,67.2636566162109,40.3825302124023,7.56249952316284,22,0
1,23,196.809158325195,-52.6575813293457,63.8493194580078,35.9068336486816,6.49405288696289,23,0
1,24,120.069999694824,354.891693115234,-78.29443359375,26.6188735961914,6.86357355117798,24,0
1,25,38.801212310791,712.529541015625,-77.3996429443359,21.0957927703857,7.08827495574951,25,0
1,26,-74.0471801757813,505.196655273438,-58.5109558105469,22.5435905456543,6.95081424713135,26,0
1,27,194.95002746582,-72.403694152832,60.1639404296875,30.1598224639893,6.50096082687378,27,0
1,28,245.265777587891,330.511810302734,86.3674163818359,31.3693943023682,7.57016181945801,28,0
1,29,180.982757568359,158.351440429688,-75.5938720703125,22.1282520294189,6.45725393295288,29,0
1,30,247.428955078125,-18.6331462860107,62.0411376953125,26.4141807556152,6.07487773895264,30,0
1,31,345.472290039063,587.917236328125,79.0030822753906,36.0930061340332,5.77960300445557,31,0
1,32,127.937774658203,502.844390869141,-76.2066802978516,39.8844261169434,6.65926599502563,32,0
1,33,161.796401977539,595.167358398438,-82.0803070068359,36.340446472168,6.84059190750122,33,0
1,34,204.242599487305,166.506607055664,-72.8829803466797,29.895565032959,6.98927783966064,34,0
