StepNumber,NumberOfCells
1,69
2,63
3,57
4,42
5,36
6,30
7,29
8,31
9,30
10,28
11,28
12,27
13,27
14,28
15,26
16,28
17,28
18,30
19,30
20,28
21,26
22,27
23,28
24,27
25,28
26,30
27,28
28,29
29,28
30,29
31,27
32,26
33,28
34,28
35,28
36,28
37,27
38,26
39,25
40,25
41,24
42,21
43,22
44,20
45,19
46,17
47,14
48,12
49,13
50,11
51,12
52,14
53,12
54,9
55,9
56,9
57,10
58,10
59,13
60,11
61,9
62,10
63,9
64,10
65,10
66,11
67,11
68,10
69,11
70,12
71,9
72,10
73,9
74,9
75,8
76,9
77,9
78,8
79,8
80,7
81,7
82,7
83,6
84,6
85,5
86,5
87,5
88,6
89,3
90,3
91,3
92,3
93,3
94,3
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,3
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
