TimeStep,CellId,x_center,y_center,Orientation,MajorAxisLength,parent
1,1,72.6137542724609,361.806213378906,-62.7694702148438,46.6203384399414,0
1,2,264.666625976563,208.587539672852,81.3710479736328,51.1689491271973,0
1,3,308.862976074219,181.083267211914,73.2717742919922,46.845874786377,0
1,4,236.0244140625,213.793304443359,-87.4632873535156,84.1272354125977,0
1,5,254.454193115234,233.282028198242,-87.9341888427734,135.870056152344,0
1,6,298.984313964844,241.676025390625,80.2648468017578,51.4357490539551,0
2,1,70.0706024169922,373.576477050781,-63.4142608642578,51.24169921875,0
2,2,265.543365478516,212.490600585938,82.0173034667969,47.6036491394043,0
2,8,318.722930908203,173.772689819336,70.8607025146484,26.6075286865234,3
2,7,236.85661315918,257.766265869141,-87.2664947509766,15.2861881256104,3
2,4,229.666275024414,228.153076171875,-85.8568115234375,80.3937759399414,0
2,10,250.254531860352,214.206787109375,-86.8153228759766,64.5753021240234,5
2,9,260.34912109375,253.768844604492,-88.9897003173828,48.2623329162598,5
2,6,293.429809570313,241.208587646484,80.5734405517578,40.2849922180176,0
3,1,119.703788757324,363.531951904297,-70.5661010742188,58.0641059875488,0
3,2,263.411956787109,218.005386352539,83.1473693847656,41.9738693237305,0
3,4,226.550323486328,231.314056396484,-84.1074523925781,86.0078582763672,0
3,10,256.738555908203,206.219451904297,-88.1597900390625,65.5426330566406,5
3,9,300.682220458984,210.016403198242,81.7037353515625,45.5383644104004,5
3,6,280.500671386719,255.970550537109,83.4600067138672,38.3573570251465,0
4,1,119.867713928223,360.046997070313,-70.8757476806641,70.5758056640625,0
4,2,276.568969726563,193.07160949707,78.4880218505859,64.6588134765625,0
4,4,215.453231811523,240.177703857422,-81.7578125,88.5133972167969,0
4,10,247.148803710938,216.477340698242,-85.8446350097656,70.7350234985352,5
4,9,329.209228515625,162.220413208008,72.9818572998047,48.1468963623047,5
4,6,238.831390380859,288.976684570313,-88.4488372802734,45.9444732666016,0
5,1,149.422119140625,347.450225830078,-75.9019622802734,77.3545379638672,0
5,2,277.17138671875,174.664657592773,75.2217407226563,81.0340881347656,0
5,12,249.47200012207,179.829483032227,87.9233856201172,51.7397537231445,4
5,11,241.666702270508,230.536590576172,-88.2594451904297,23.6482372283936,4
5,10,254.12646484375,204.046783447266,-88.0592498779297,74.6005935668945,5
5,9,349.36572265625,114.999053955078,65.2217407226563,54.5648078918457,5
5,14,204.379028320313,318.535430908203,-82.4639892578125,38.3125305175781,6
5,13,214.95051574707,290.608856201172,-85.1179351806641,11.1640195846558,6
6,1,144.471939086914,349.063110351563,-74.9635467529297,89.9486083984375,0
6,2,278.995361328125,160.743133544922,73.2329559326172,85.6559829711914,0
6,12,265.757232666016,156.990661621094,82.9980773925781,54.4400291442871,4
6,16,274.10302734375,164.428726196289,85.6893157958984,52.7674789428711,10
6,15,168.271713256836,292.012512207031,-69.6341705322266,13.731409072876,10
6,18,351.646575927734,146.578918457031,66.364990234375,17.561954498291,9
6,17,367.207672119141,52.5665130615234,56.882568359375,40.5493698120117,9
6,14,155.955352783203,346.152893066406,-74.630859375,39.1499176025391,6
7,1,140.69287109375,349.578918457031,-74.3187103271484,100.990447998047,0
7,20,313.237518310547,88.4807510375977,56.9566192626953,52.7172241210938,2
7,19,246.885147094727,188.477661132813,85.2577819824219,32.7030181884766,2
7,12,262.197967529297,164.316680908203,84.6641235351563,56.0579643249512,4
7,16,254.160980224609,200.277313232422,-87.3741455078125,51.2524833679199,10
7,22,314.923736572266,190.310897827148,80.3013305664063,33.5907363891602,17
7,21,242.589218139648,273.307403564453,-85.3171081542969,22.6412887573242,17
7,24,194.530624389648,335.215698242188,-80.6835784912109,27.7704830169678,14
8,26,75.2477874755859,348.791961669922,-64.1788787841797,17.1015548706055,1
8,25,135.031066894531,343.141571044922,-75.1031799316406,36.834789276123,1
8,28,167.137634277344,277.298370361328,-82.47119140625,10.609658241272,20
8,27,303.179351806641,102.912139892578,59.9279327392578,25.356050491333,20
8,19,248.442672729492,169.777740478516,82.6733856201172,29.8375148773193,2
8,30,257.510162353516,153.746383666992,85.2505340576172,15.8870515823364,12
8,29,229.282516479492,210.386322021484,-86.0612487792969,23.262996673584,12
8,31,264.734313964844,181.238098144531,88.8793029785156,45.5194473266602,16
8,22,322.763000488281,192.717208862305,79.6268768310547,45.3435249328613,17
9,34,157.533752441406,343.149047851563,-80.1855163574219,39.3251686096191,25
9,33,34.6249618530273,348.379364013672,-60.0238952636719,19.002685546875,25
9,36,155.208267211914,269.467529296875,-76.5174102783203,15.0890655517578,27
9,35,39.7155990600586,315.219787597656,-56.9662475585938,17.1557998657227,27
9,19,250.647521972656,153.901397705078,81.7377166748047,38.0862579345703,2
9,29,255.334609985352,181.300003051758,86.5243530273438,31.7409782409668,12
9,31,265.005889892578,172.600143432617,87.5198974609375,37.503288269043,16
9,22,287.934265136719,250.806564331055,88.2396087646484,56.3180389404297,17
10,34,187.869003295898,319.891632080078,-86.1986999511719,35.4863243103027,25
10,19,266.796112060547,133.692001342773,76.6273498535156,50.4427795410156,2
10,29,248.149398803711,188.383453369141,88.4593658447266,28.9917907714844,12
10,31,237.42512512207,207.432388305664,-82.9723052978516,32.9702033996582,16
10,22,294.42138671875,231.802062988281,87.0251312255859,55.0432090759277,17
11,34,189.650131225586,300.811492919922,-85.9549560546875,30.5952091217041,25
11,19,237.675476074219,164.913009643555,85.8833923339844,60.7622451782227,2
11,29,217.720489501953,222.572448730469,-82.6651000976563,33.6982307434082,12
11,31,205.846603393555,229.675354003906,-75.8572235107422,39.2869186401367,16
11,22,276.694519042969,246.470840454102,-88.8544464111328,52.823802947998,17
12,34,193.790374755859,292.911041259766,-87.1195678710938,48.5217475891113,25
12,19,186.192230224609,217.892028808594,-78.20458984375,64.6705932617188,2
12,29,193.160034179688,242.133544921875,-76.4829254150391,31.5342330932617,12
12,31,162.045059204102,253.686614990234,-65.4219360351563,44.6762275695801,16
12,38,201.421020507813,292.123138427734,-71.7155456542969,18.3001880645752,22
12,37,288.469146728516,231.857467651367,88.0026092529297,40.2531356811523,22
13,34,237.221313476563,252.025085449219,83.1069641113281,56.984691619873,25
13,19,169.04508972168,227.160629272461,-73.7901000976563,53.8133926391602,2
13,40,256.374267578125,163.134307861328,86.6743469238281,9.7190408706665,29
13,39,166.113784790039,257.946441650391,-69.3450012207031,23.3692092895508,29
13,31,136.908508300781,264.252807617188,-59.6910552978516,46.2215042114258,16
13,38,272.420013427734,226.055953979492,-85.9205474853516,26.5044193267822,22
13,37,304.313293457031,209.050476074219,83.9404602050781,41.9578094482422,22
14,34,241.673065185547,246.483657836914,82.3436889648438,71.4839172363281,25
14,19,124.114562988281,251.429565429688,-63.4161529541016,54.0198783874512,2
14,39,136.099212646484,271.255737304688,-62.6973876953125,25.9080944061279,29
14,31,80.8342437744141,289.614715576172,-47.4962463378906,55.5754661560059,16
14,38,308.402435302734,163.835571289063,83.9157257080078,42.2327003479004,22
14,37,302.722778320313,212.034805297852,84.6897430419922,49.919319152832,22
15,42,164.92431640625,318.051971435547,-82.7706909179688,48.3617248535156,34
15,41,319.308135986328,87.3953094482422,54.72412109375,36.7556610107422,34
15,44,256.733093261719,-16.5668125152588,48.6383056640625,18.4040966033936,19
15,43,98.9423980712891,267.737640380859,-58.6273193359375,33.3981323242188,19
