TimeStep,NumberOfCells
1,105
2,105
3,109
4,109
5,108
6,112
7,113
8,112
9,114
10,116
11,118
12,119
13,121
14,122
15,124
16,125
17,127
18,132
19,131
20,132
21,130
22,137
23,140
24,139
25,140
26,141
27,142
28,143
29,143
30,147
31,150
32,152
33,158
34,162
35,168
36,172
37,175
38,176
39,184
40,188
41,185
42,191
43,202
44,210
45,216
46,220
47,220
48,222
49,225
50,233
51,232
52,239
53,245
54,260
55,274
56,290
57,302
58,306
59,311
60,315
61,322
62,328
63,336
64,347
65,362
66,384
67,388
68,396
69,407
70,418
71,427
72,446
73,458
74,476
75,489
76,503
77,535
78,559
79,571
80,599
81,617
82,627
83,657
84,670
85,688
86,700
87,725
88,752
89,767
90,798
91,820
92,848
93,875
94,902
95,931
96,972
97,1008
98,1037
99,1110
100,1167
101,1195
102,1238
103,1263
104,1273
105,1309
106,1344
107,1387
108,1427
109,1463
110,1566
111,1626
112,1664
