StepNumber,NumberOfCells
1,32
2,32
3,32
4,32
5,32
6,32
7,32
8,32
9,32
10,33
11,33
12,33
13,33
14,33
15,33
16,33
17,33
18,34
19,34
20,34
21,34
22,34
23,34
24,34
25,34
26,25
27,17
28,17
29,17
30,17
31,17
32,17
33,17
34,17
35,17
36,17
37,17
38,17
39,17
40,17
41,17
42,17
43,18
44,18
45,18
46,18
47,18
48,18
49,18
50,18
51,18
52,18
53,18
54,18
55,18
56,18
57,18
58,18
59,18
60,19
61,19
62,21
63,21
64,21
65,21
66,21
67,21
68,21
69,21
70,21
71,21
72,22
73,23
74,22
75,22
76,22
77,23
78,23
79,23
80,23
81,23
82,23
83,23
84,23
85,23
86,23
87,23
88,25
89,25
90,25
91,25
92,26
93,26
94,26
95,26
96,26
97,27
98,28
99,29
100,30
101,30
102,30
103,31
104,30
105,30
106,30
107,30
108,30
109,30
110,30
111,31
112,31
113,32
114,32
115,32
116,31
117,30
118,31
119,31
120,31
121,31
122,31
123,31
124,30
125,30
126,30
127,34
128,34
129,35
130,35
131,34
132,33
133,33
134,34
135,34
136,34
137,33
138,34
139,34
140,33
141,32
142,33
143,34
144,34
145,37
146,36
147,35
148,35
149,36
150,35
151,36
152,36
153,37
154,37
155,38
156,39
157,41
158,41
159,40
160,43
161,44
162,45
163,45
164,45
165,47
166,46
167,45
168,46
169,46
170,46
171,45
172,45
173,46
174,42
175,44
176,42
177,47
178,46
179,46
180,47
181,48
182,48
183,47
184,47
185,47
186,46
187,47
188,48
189,48
190,51
191,51
192,50
193,51
194,52
195,51
196,51
197,51
198,51
199,50
200,51
201,50
202,51
203,50
204,51
205,49
206,49
207,50
208,47
209,44
210,43
211,43
212,41
213,42
214,45
215,43
216,42
217,41
218,40
219,41
220,40
221,39
222,38
223,38
224,39
225,39
226,39
227,39
228,39
229,38
230,36
231,36
232,36
233,36
234,36
235,35
236,30
237,31
238,32
239,31
240,30
241,31
242,32
243,33
244,31
245,32
246,30
247,31
248,29
249,29
250,29
251,28
252,28
253,26
254,23
255,22
256,21
257,18
258,18
259,18
260,19
261,20
262,18
263,18
264,18
265,16
266,15
267,16
268,16
269,17
270,17
271,17
272,17
273,17
274,16
275,13
276,11
277,5
278,4
279,4
