TimeStep,NumberOfCells
1,4
2,6
3,7
4,7
5,7
6,9
7,8
8,12
9,13
10,10
11,11
12,11
13,13
14,13
15,16
16,17
17,17
18,16
19,20
20,25
21,25
22,27
23,29
24,30
25,34
26,35
27,42
28,44
29,42
30,44
31,52
32,57
33,66
34,67
35,73
36,73
37,71
38,84
39,77
40,95
41,101
42,123
43,125
44,143
45,146
46,154
47,150
48,159
49,161
50,170
51,181
52,187
53,202
54,225
55,237
56,245
57,259
58,256
59,268
60,279
61,282
62,279
63,297
64,310
65,339
66,349
67,375
68,399
69,409
70,421
71,395
72,450
73,460
74,487
75,464
76,459
77,525
78,563
79,593
80,594
81,622
82,615
83,643
84,644
85,649
86,668
87,678
88,681
89,673
90,683
91,673
92,662
93,663
94,656
95,689
96,676
97,687
98,663
99,687
100,706
101,700
102,657
103,663
104,693
105,613
106,685
107,678
108,677
109,697
110,671
111,689
112,702
113,660
114,678
115,682
116,686
117,670
118,670
119,651
120,599
121,642
122,665
123,663
124,624
125,628
126,561
127,593
128,668
129,603
130,590
131,577
132,607
133,618
134,622
135,585
136,627
137,581
138,622
139,628
140,613
141,619
142,611
143,663
144,697
145,648
146,656
147,673
148,598
149,632
150,560
151,619
152,538
153,619
154,623
155,637
156,664
