lable,NumberOfDivision
1.0,NaN
2.0,NaN
4.0,171.0
5.0,NaN
6.0,1504.0
7.0,1115.0
8.0,5.0
9.0,1079.0
10.0,2.0
11.0,19.0
12.0,20.0
13.0,107.0
14.0,281.0
16.0,129.0
19.0,NaN
20.0,NaN
21.0,17.0
22.0,189.0
23.0,45.0
24.0,NaN
28.0,73.0
29.0,299.0
30.0,NaN
34.0,NaN
42.0,NaN
43.0,3.0
44.0,164.0
45.0,NaN
46.0,19.0
47.0,18.0
48.0,4.0
50.0,3.0
52.0,74.0
55.0,NaN
56.0,2.0
57.0,35.0
58.0,3.0
59.0,2.0
60.0,251.0
61.0,NaN
62.0,NaN
65.0,216.0
66.0,NaN
67.0,70.0
68.0,149.0
69.0,130.0
70.0,226.0
71.0,10.0
72.0,NaN
73.0,NaN
74.0,NaN
75.0,NaN
76.0,29.0
77.0,3.0
78.0,NaN
80.0,66.0
83.0,25.0
84.0,15.0
85.0,16.0
89.0,12.0
90.0,77.0
91.0,4.0
95.0,3.0
97.0,NaN
98.0,NaN
99.0,NaN
100.0,40.0
101.0,NaN
107.0,97.0
108.0,146.0
109.0,NaN
111.0,187.0
113.0,39.0
114.0,NaN
115.0,NaN
116.0,2.0
118.0,NaN
119.0,NaN
120.0,NaN
121.0,NaN
122.0,8.0
123.0,2.0
124.0,22.0
125.0,NaN
126.0,93.0
127.0,4.0
129.0,NaN
131.0,48.0
132.0,5.0
137.0,214.0
138.0,NaN
139.0,2.0
140.0,NaN
141.0,15.0
148.0,NaN
149.0,NaN
151.0,7.0
152.0,152.0
153.0,NaN
156.0,3.0
159.0,2.0
162.0,NaN
163.0,38.0
164.0,4.0
165.0,89.0
166.0,86.0
167.0,NaN
170.0,NaN
171.0,3.0
172.0,3.0
173.0,NaN
178.0,NaN
179.0,11.0
183.0,NaN
184.0,5.0
187.0,25.0
188.0,2.0
189.0,226.0
190.0,NaN
192.0,2.0
193.0,42.0
194.0,NaN
196.0,NaN
199.0,15.0
200.0,3.0
201.0,NaN
202.0,NaN
204.0,11.0
206.0,NaN
208.0,2.0
209.0,NaN
210.0,2.0
212.0,NaN
215.0,NaN
216.0,NaN
217.0,NaN
219.0,NaN
222.0,5.0
224.0,NaN
230.0,NaN
231.0,19.0
233.0,NaN
237.0,NaN
241.0,NaN
242.0,NaN
243.0,NaN
247.0,5.0
249.0,8.0
250.0,4.0
252.0,56.0
253.0,10.0
254.0,NaN
258.0,NaN
265.0,3.0
270.0,NaN
271.0,NaN
273.0,5.0
276.0,NaN
277.0,4.0
280.0,2.0
281.0,NaN
284.0,2.0
287.0,12.0
290.0,3.0
291.0,NaN
296.0,3.0
298.0,NaN
300.0,NaN
303.0,NaN
304.0,NaN
306.0,NaN
312.0,NaN
313.0,NaN
314.0,NaN
315.0,NaN
316.0,14.0
317.0,NaN
326.0,NaN
330.0,2.0
331.0,NaN
334.0,NaN
336.0,NaN
337.0,NaN
340.0,NaN
342.0,2.0
346.0,11.0
349.0,4.0
350.0,NaN
351.0,NaN
352.0,NaN
359.0,NaN
360.0,2.0
364.0,NaN
365.0,NaN
366.0,9.0
367.0,11.0
370.0,2.0
371.0,13.0
378.0,NaN
379.0,NaN
381.0,NaN
384.0,3.0
385.0,NaN
387.0,NaN
388.0,8.0
389.0,NaN
393.0,6.0
397.0,NaN
401.0,NaN
403.0,NaN
404.0,5.0
406.0,2.0
407.0,NaN
408.0,NaN
409.0,NaN
411.0,NaN
412.0,3.0
414.0,NaN
416.0,2.0
417.0,NaN
420.0,NaN
422.0,NaN
425.0,NaN
426.0,NaN
441.0,2.0
443.0,NaN
445.0,2.0
446.0,NaN
450.0,NaN
452.0,NaN
457.0,2.0
458.0,NaN
459.0,NaN
460.0,NaN
463.0,NaN
464.0,NaN
465.0,NaN
467.0,NaN
468.0,NaN
469.0,NaN
472.0,NaN
473.0,NaN
