TimeStep,NumberOfCells
1,7
2,7
3,8
4,8
5,8
6,7
7,9
8,9
9,9
10,10
11,11
12,11
13,13
14,12
15,14
16,14
17,16
18,15
19,16
20,15
21,18
22,17
23,17
24,19
25,19
26,20
27,18
28,17
29,22
30,20
31,23
32,23
33,26
34,23
35,25
36,27
37,27
38,26
39,27
40,20
41,23
42,31
43,35
44,36
45,38
46,38
47,38
48,35
49,35
50,42
51,40
52,46
53,44
54,30
55,44
56,36
57,47
58,38
59,49
60,60
61,59
62,55
63,54
64,63
65,65
66,70
67,46
68,59
69,77
70,71
71,75
72,76
73,79
74,69
75,79
76,70
77,68
78,68
79,72
80,80
81,83
82,89
83,95
84,72
85,76
86,107
87,114
88,121
89,126
90,128
91,111
92,138
93,117
94,118
95,122
96,154
97,135
98,145
99,154
100,177
101,184
102,160
103,208
104,224
105,225
106,195
107,247
108,242
109,246
110,212
111,272
112,276
113,260
114,295
115,279
116,346
117,362
118,384
119,395
120,359
121,357
122,360
123,400
124,381
125,403
126,434
127,466
128,460
129,489
130,496
131,507
132,546
133,567
134,598
135,613
136,627
137,631
138,623
139,645
140,668
141,692
142,730
143,746
144,755
145,811
146,825
147,859
148,869
149,874
150,905
151,903
152,907
153,898
154,874
155,906
156,905
157,921
158,936
159,972
160,937
161,955
162,976
163,990
164,954
165,970
166,971
167,976
168,974
169,964
170,951
171,999
172,994
173,1042
174,1034
175,1068
176,1110
177,1117
178,1130
179,1148
180,1128
181,1136
182,1114
183,1106
184,1106
185,1114
186,1100
187,1113
188,1118
189,1098
190,1136
191,1160
192,1186
193,1198
194,1191
195,1239
196,1245
197,1243
198,1273
199,1255
200,1258
201,1227
202,1211
203,1180
