CellNumber,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1,0.108123284992293,38,8,-3.74085187811424,55.375
2,0.118321926111731,38,5,-4.95108967877395,48.6
3,0.129054118100217,37,5,-1.06120746148329,48
4,0.127446124814395,62,3,-2.12047286741498,70.6666666666667
5,0.11125759956855,43,6,-0.421258275512457,57.3333333333333
6,0.127706405941498,42,5,-2.75021321243059,55.6
7,0.109563732732789,40,5,-0.0343104522054091,48.8
8,0.124561710389783,48,5,-0.991398359227105,61.2
9,0.142383306148192,43,5,-1.2388398853627,56.6
10,0.11412932599049,39,3,-7.45214457102869,43.3333333333333
11,0.121811041328875,29,3,-8.7119801537012,32.6666666666667
12,0.125657214140453,35,3,-4.96364853641588,39
13,0.133314331626974,36,3,0.352041722532666,41
14,0.130141549131833,37,3,2.25623976679011,41.6666666666667
15,0.128359923423907,41,3,-2.01919760841895,46
16,0.1174197955387,34,3,0.604357229655003,38
17,0.0911607783969774,35,3,-3.94516647230732,38.3333333333333
18,0.125163142954006,45,2,0.00276414636914524,48
19,0.126751705639144,37,2,-1.21171755193814,39.5
20,NaN,51,1,0,51
21,NaN,40,1,0,40
22,NaN,40,1,0,40
23,NaN,48,1,0,48
24,NaN,38,1,0,38
25,NaN,43,1,0,43
26,NaN,45,1,0,45
27,NaN,39,1,0,39
28,NaN,43,1,0,43
29,NaN,50,1,0,50
30,NaN,56,1,0,56
31,NaN,47,1,0,47
32,NaN,53,1,0,53
33,NaN,50,1,0,50
34,NaN,44,1,0,44
35,NaN,44,1,0,44
36,NaN,54,1,0,54
37,NaN,44,1,0,44
38,NaN,42,1,0,42
39,NaN,52,1,0,52
40,NaN,45,1,0,45
41,NaN,38,1,0,38
42,NaN,44,1,0,44
43,NaN,46,1,0,46
44,NaN,53,1,0,53
45,NaN,40,1,0,40
46,NaN,62,1,0,62
47,NaN,50,1,0,50
48,NaN,57,1,0,57
49,NaN,54,1,0,54
50,NaN,50,1,0,50
51,NaN,46,1,0,46
52,NaN,59,1,0,59
53,NaN,48,1,0,48
