TimeStep,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,6
16,7
17,7
18,7
19,7
20,8
21,8
22,11
23,13
24,13
25,13
26,13
27,13
28,14
29,13
30,20
31,20
32,22
33,24
34,30
35,30
