2	0	1	0
3	0	1	0
4	2	14	0
5	2	18	0
6	15	22	4
7	15	19	4
8	19	23	5
9	19	23	5
10	20	30	7
11	20	25	7
12	23	25	6
13	23	26	6
14	24	26	8
15	24	25	8
16	24	30	9
17	24	27	9
18	26	38	11
19	26	29	11
20	27	32	13
21	27	32	13
22	27	34	14
23	27	28	14
24	28	35	17
25	28	32	17
26	29	29	23
27	29	30	23
28	31	31	10
29	31	31	10
30	31	31	27
31	31	32	16
32	31	34	16
33	31	31	27
34	33	36	20
35	33	38	21
36	33	34	20
37	33	33	21
38	33	34	31
39	33	35	20
40	33	38	20
41	33	38	20
42	33	34	25
43	33	33	31
44	33	34	25
45	33	33	25
46	34	34	37
47	34	38	45
48	34	38	45
49	34	35	45
50	35	38	36
51	35	38	36
52	35	35	46
53	35	37	42
54	35	38	46
55	35	38	38
56	35	38	22
57	35	36	42
58	35	38	32
59	35	38	38
60	35	38	22
61	35	38	32
62	35	36	32
63	36	38	39
64	36	38	39
65	36	38	24
66	36	38	24
67	36	38	49
68	36	38	49
69	37	38	34
70	37	38	34
71	37	38	62
72	37	38	62
73	38	38	53
74	38	38	53
