TimeStep,CellNumber,Orientation,Center_X,Center_Y
1,1,62.9789750318017,397.836318844042,550.399737363471
1,2,-80.6667346730426,398.66879588958,508.432149899452
1,3,-73.5997761172521,412.141172602676,522.520343564357
1,4,87.3333819703812,413.001082849168,469.54652446424
1,5,-80.4761468398354,421.165458198202,549.513783195921
1,6,86.3539879427396,428.501012009029,464.031795988216
1,7,89.4794911129699,430.000041264639,505.509084468907
2,1,63.8646318722947,397,549.5
2,2,-84.9269547290526,399.590384313052,505.459704374225
2,3,-77.854607624374,413.199201572481,523.627579710782
2,4,85.591420606721,413.001479373378,465.538434162305
2,5,-75.1064400596061,423.385536255935,546.050392537492
2,6,87.0880639000603,427.500645602112,448.025400498216
2,7,89.5708554620321,430.000028049808,498.507489915123
3,1,70.7179229856645,396.390986134025,550.358266993696
3,2,-82.2259245690554,398.639862702709,500.941557215953
3,3,-88.1368741646211,412.032511949813,526.000528653177
3,4,85.4044224583783,413.001607467121,461.040060993129
3,5,-67.1507869008201,425.694153629946,549.539235018715
3,6,87.2728541684112,427.500566277719,445.523789851792
3,7,-75.2249710979298,431.271557051524,497.405553190287
4,1,69.9133889210605,395.560825466889,548.84344023695
4,2,-77.5741484677404,397.322763961469,494.035137062665
4,3,87.3122147147451,410.501100105255,526.046893499316
4,5,-60.1869760980641,428.880933136148,546.069002568167
4,6,83.0427020205369,427.007363295919,444.121129574056
4,7,-70.594685967024,431.72293245912,502.196155464713
4,8,87.7380414247021,410.000389589848,430.019734185251
4,9,81.4821813949091,416.431456585447,476.079573566758
5,1,76.037935121424,395.52954431167,542.741279416835
5,2,-74.689891178663,391.728554072599,482.299532377122
5,3,78.8522420292047,407.028302225679,519.790009760282
5,5,-58.4069360937115,430.597987613843,542.886268242559
5,6,87.2526117271038,427.001724141332,446.571898896593
5,7,-64.8079681802848,434.733593921133,501.217017161849
5,8,-84.6457476113915,411.093313380495,426.504363212301
5,9,78.0080026148993,415,481.5
6,1,75.0491554164884,394.871004870431,533.51692624109
6,5,-61.5823921230151,435.358444893418,535.084354301479
6,8,-79.4644877207042,412.108280690969,421.825584198064
6,9,78.6205361430202,414,484
6,10,-66.76187980179,383.510703053558,484.516243788345
6,11,-82.9509080861017,393.126499043639,451.446198768459
6,12,80.2946608540677,401.507156117994,496.584290616139
6,13,73.2463852607314,410.521223411572,532.144128339939
6,14,75.016224346529,425.551001384647,466.887818272783
6,15,-80.1509500135932,426.678422116481,424.429211661984
6,16,-66.6594925364602,428.73901411456,515.342819379774
6,17,-62.1536503082539,445.4072459366,481.357245189499
7,1,73.7686610105962,390.8801713713,519.659687686024
7,8,89.1840236205887,411.000101408083,418.014240993036
7,9,70.7281441219221,410.028018405553,481.665025375332
7,10,-55.8013525412499,378.608125769444,471.148516932009
7,11,-80.3943341328242,394.666866249113,432.514020459184
7,12,71.9279650139151,397.369560141361,488.679772604796
7,13,78.8699176418602,411.431694251319,532.79896000733
7,14,-89.500846567891,428.004355880332,467.000018974053
7,15,88.7923615510145,426.000111058686,419.510537853272
7,16,-60.8362958473581,432.923922057043,513.370422337984
7,17,-89.3292160501334,443.011707121055,471.00006853069
7,18,-53.9133355159422,438.595936501663,531.705495858584
7,19,-78.9279554654234,456.692043156302,491.518613518476
8,1,73.338204369643,390,519
8,8,86.42143585057,409.503899699686,423.624834254451
8,9,67.4782425592889,406.922881661953,476.112684283707
8,10,-64.2710765211611,373.667485946526,463.766627955421
8,11,-77.1487952155275,390.734944407899,418.413839085082
8,12,69.3183996624249,394.355634041172,483.208808463201
8,13,81.9053623571152,411.514944739343,532.711212861341
8,14,-87.8376949955892,430.537730383971,471.500712044441
8,15,-89.9433818323382,425.500988173281,417.000000488243
8,16,-56.3944684186986,435.693169885246,511.860302075221
8,17,-86.0785315605897,446.069559751239,464.468146719613
8,18,-51.6461212879751,440.892096603829,529.810258365344
8,19,-85.5102363333395,460.576746655072,484.542209158603
9,20,-62.0614145122491,572.61771274257,730.026799721958
9,21,70.6859043092626,583.971859805562,764.334626713477
9,22,-68.4122320525118,591.402998518966,683.386181921193
9,23,69.1089410617066,594.5,751
9,24,70.8639449436923,599.527628593211,722.663906235539
9,25,78.9050808388808,598.431817927628,808.297997554741
9,26,-81.266383821088,611.151840756397,672.011595030012
9,27,72.2510726338886,613.047598493161,717.304846469179
9,28,64.2879561628588,614.431596990811,761.20027980619
9,29,80.4395194162785,612.930844858592,802.673033207191
9,30,-88.7391710485037,627.522003840525,684.500242113808
9,31,-53.9627405560643,638.198472909153,781.389838322548
9,32,-50.8102718194144,644.203474073672,797.428416289061
9,33,-87.6684008949447,633.540682850527,741.500827889864
9,34,-88.5009995925978,649.0261595081,731.500342218489
9,35,-87.8187999078562,664.038059928588,751.000724541562
10,20,-62.0614145122491,572.61771274257,730.026799721958
10,21,70.6859043092626,583.971859805562,764.334626713477
10,22,-68.4122320525118,591.402998518966,683.386181921193
10,23,69.1089410617066,594.5,751
10,24,70.8639449436923,599.527628593211,722.663906235539
10,25,78.9050808388808,598.431817927628,808.297997554741
10,26,-81.266383821088,611.151840756397,672.011595030012
10,27,72.2510726338886,613.047598493161,717.304846469179
10,28,64.2879561628588,614.431596990811,761.20027980619
10,29,80.4395194162785,612.930844858592,802.673033207191
10,30,-88.7391710485037,627.522003840525,684.500242113808
10,31,-53.9627405560643,638.198472909153,781.389838322548
10,32,-50.8102718194144,644.203474073672,797.428416289061
10,33,-87.6684008949447,633.540682850527,741.500827889864
10,34,-88.5009995925978,649.0261595081,731.500342218489
10,35,-87.8187999078562,664.038059928588,751.000724541562
10,36,-55.0282683371931,288.5,240
10,37,75.9987269051416,295.408737921786,277.256798279914
10,38,-75.7467614465817,307.746208076882,191.530783005268
10,39,73.3515393566085,308.520959701437,266.143249406116
10,40,79.7948071243508,313.015820445755,322.677173939974
10,41,83.7641481083126,315.00591680947,231.608621408137
10,42,63.5580593471707,329.55230697688,277.222645361617
10,43,-89.4994874225884,325.008735481321,186.000038155045
10,44,81.1616942632869,327.511874119801,321.653646493225
10,45,85.8605063084113,330.503913105273,234.608277437284
10,46,82.7914067078537,342.437258984626,192.503952053739
10,47,-55.6066423939451,354.195025166575,293.869846176288
10,48,-51.9969821752934,360.393989162511,310.807851489884
10,49,-88.0728198616227,348.016814648369,256.000282812383
10,50,86.4721430576281,362,241
10,51,87.5287606490261,378.500930008748,261.543117891633
11,36,-55.0282683371931,288.5,240
11,37,75.9987269051416,295.408737921786,277.256798279914
11,38,-75.7467614465817,307.746208076882,191.530783005268
11,39,73.3515393566085,308.520959701437,266.143249406116
11,40,79.7948071243508,313.015820445755,322.677173939974
11,41,83.7641481083126,315.00591680947,231.608621408137
11,42,63.5580593471707,329.55230697688,277.222645361617
11,43,-89.4994874225884,325.008735481321,186.000038155045
11,44,81.1616942632869,327.511874119801,321.653646493225
11,45,85.8605063084113,330.503913105273,234.608277437284
11,46,82.7914067078537,342.437258984626,192.503952053739
