TimeStep,ObjectNumber,Orientation,lable,Center_X,Center_Y,divideFlag
2,1,-10.758829187920394,6.0,250.2267365661861,195.1913499344692,True
2,2,2.2623257095173748,7.0,261.9520153550864,234.0326295585413,True
2,4,-7.863123001501787,9.0,229.79651162790697,244.6308139534884,False
2,5,-16.29774317829566,10.0,242.46468401486987,262.4460966542751,True
2,8,27.62504939064278,13.0,229.37692307692308,287.5230769230769,False
3,2,1.1106603861872155,6.0,244.31007751937983,193.74031007751935,False
3,3,4.386785011870598,7.0,260.77470355731225,210.57312252964428,False
3,4,5.9398030885921225,6.0,245.8479381443299,225.3737113402062,False
3,5,-0.1155274276064464,7.0,263.2867647058824,244.0514705882353,False
3,6,-4.955879408703056,9.0,231.38520408163265,257.53826530612247,False
3,7,-45.0,10.0,247.66666666666663,248.33333333333331,False
3,9,-12.167424796193275,10.0,244.1795665634675,278.8482972136223,False
3,11,26.693436961583345,13.0,229.1953488372093,301.8488372093023,False
4,1,-23.392657722393384,6.0,253.9894736842105,187.98684210526315,True
4,2,4.349315736901745,7.0,264.49407114624506,208.74703557312253,False
4,3,5.881379671762294,6.0,250.8671586715867,229.6678966789668,False
4,4,-14.351026851463084,7.0,267.85273159144896,248.729216152019,False
4,5,-7.599825370184153,9.0,234.71527777777777,251.90046296296296,False
4,6,-1.8797583061350545,10.0,247.6246418338109,280.1661891117478,False
4,7,-68.68181254805798,13.0,248.31041456016175,302.1860465116279,True
5,1,36.594360061367176,6.0,251.82152974504248,176.9872521246459,False
5,2,9.159895268915983,6.0,245.3037037037037,196.45925925925928,False
5,3,9.16140799490018,7.0,263.8215767634855,210.7219917012448,True
5,4,8.53009646267247,6.0,250.4858044164038,225.6813880126183,False
5,5,-12.652071832116643,9.0,231.1761006289308,245.56394129979037,False
5,6,-19.9929926832976,7.0,266.4260485651214,252.3200883002208,False
5,7,3.1017227056209524,10.0,244.83116883116884,278.8857142857143,False
5,8,-29.477685001166027,13.0,263.0656028368794,298.2695035460993,False
5,9,19.91928415982837,13.0,230.87128712871288,301.03762376237626,False
6,1,-9.64811820708526,6.0,248.8249075215783,181.31565967940813,False
6,2,9.55310447349444,7.0,259.1363636363636,199.63636363636363,False
6,3,6.614074196413294,7.0,260.8684210526316,219.68421052631575,False
6,4,-15.01864110167836,9.0,222.9179104477612,238.1026119402985,False
6,5,13.53671610545534,6.0,247.37992831541217,235.83512544802863,False
6,6,-25.35968607132254,7.0,267.77189409368634,255.62321792260693,True
6,7,11.180013583719948,10.0,239.82561307901904,276.5286103542234,True
6,8,-31.309464338124094,13.0,262.4397993311037,299.66889632107024,False
6,9,14.076557660998208,13.0,229.076171875,299.92578125,False
7,1,-17.948597299794628,6.0,250.56565656565652,182.07449494949492,True
7,2,-12.058221375483354,7.0,258.2040816326531,199.07142857142856,False
7,3,-16.98615735796712,9.0,219.78313253012047,234.02925989672977,True
7,4,14.792206919678904,7.0,259.4494382022472,227.57865168539325,True
7,5,12.184233547493813,6.0,246.67708333333331,240.79166666666663,True
7,6,-26.22184950794651,7.0,279.6703296703297,242.4065934065934,False
7,7,7.202031124765047,10.0,234.27777777777777,253.67777777777775,True
7,9,-28.18062157892548,13.0,268.82764227642275,298.87642276422764,True
7,10,-23.16766953150432,7.0,261.61146496815286,280.8471337579618,False
7,11,15.1414510759461,13.0,229.23135755258127,298.2428298279159,False
7,13,16.621619868031726,10.0,244.71584699453555,297.2021857923497,False
8,1,-4.086183777528036,6.0,247.7472118959108,170.65799256505576,False
8,3,5.684910719602352,6.0,247.1261261261261,200.74324324324328,False
8,4,-9.339569913086404,9.0,230.44578313253007,203.5261044176707,False
8,5,-0.6111745769088819,7.0,263.39230769230767,202.07692307692307,False
8,7,0.6923956387311699,7.0,263.9767441860465,228.53488372093025,False
8,8,-32.94183927489376,9.0,213.4022988505747,244.1235632183908,False
8,9,20.928952264425945,6.0,240.88785046728967,235.9813084112149,False
8,10,-1.719656255596489,7.0,279.1929824561403,240.9429824561404,False
8,11,-5.065008347925388,7.0,263.61538461538464,239.80769230769232,False
8,12,23.602868570267,10.0,231.0,249.28571428571428,False
8,14,24.85659708806299,6.0,247.0,252.0540540540541,False
8,15,7.459288534325774,10.0,233.78571428571428,261.85714285714283,False
8,18,16.414911024013374,13.0,228.98317757009343,294.992523364486,False
8,24,-27.945965078575476,13.0,268.8457711442786,285.81094527363183,False
8,31,-36.3012302251692,13.0,275.3202416918429,304.4712990936556,True
8,32,11.202934829569008,10.0,248.8649789029536,309.3122362869198,False
9,3,-12.092250198694297,7.0,282.08304498269894,246.1833910034602,False
