StepNumber,NumberOfCells
1,46
2,47
3,47
4,47
5,48
6,47
7,48
8,49
9,50
10,51
11,51
12,51
13,50
14,50
15,50
16,51
17,50
18,50
19,50
20,50
21,50
22,51
23,51
24,51
25,51
26,1
27,50
28,51
29,52
30,53
31,54
32,54
33,53
34,53
35,54
36,54
37,54
38,54
39,54
40,54
41,54
42,54
43,54
44,54
45,54
46,55
47,55
48,55
49,56
50,55
51,53
52,55
53,56
54,54
55,56
56,56
57,57
58,57
59,57
60,58
61,58
62,57
63,58
64,57
65,57
66,57
67,57
68,59
69,59
70,58
71,58
72,59
73,59
74,60
75,60
76,60
77,60
78,60
79,63
80,65
81,65
82,65
83,65
84,65
85,65
86,66
87,66
88,68
89,69
90,69
91,71
92,70
93,70
94,70
95,70
96,69
97,72
98,72
99,74
100,75
101,75
102,79
103,80
104,82
105,83
106,83
107,82
108,84
109,86
110,89
111,91
112,91
113,90
114,92
115,93
116,93
117,92
118,93
119,95
120,94
121,95
122,95
123,94
124,93
125,97
126,101
127,104
128,109
129,110
130,114
131,115
132,119
133,121
134,123
135,126
136,128
137,132
138,133
139,135
140,137
141,138
142,138
143,142
144,144
145,144
146,142
147,142
148,144
149,150
150,151
151,153
152,163
153,167
154,177
155,184
156,190
157,196
158,198
159,203
160,209
161,214
162,218
163,225
164,228
165,234
166,239
167,244
168,246
169,239
170,238
171,241
172,244
173,246
174,250
175,253
176,260
177,268
178,266
179,276
180,280
181,292
182,305
183,312
184,318
185,331
186,348
187,368
188,371
189,378
190,376
191,381
192,392
193,399
194,404
195,410
196,407
197,407
198,412
199,419
200,424
201,435
202,438
203,451
204,460
205,473
206,474
207,499
208,513
209,551
210,571
211,586
212,587
213,598
214,626
215,634
216,648
217,653
218,662
219,657
220,652
221,660
222,665
223,659
224,663
225,679
226,676
227,685
228,687
229,734
230,756
231,790
232,788
233,821
234,856
235,861
236,880
237,883
238,919
239,922
240,962
241,980
242,1011
243,982
244,1002
245,1042
246,1052
247,1044
248,1059
249,1071
250,1092
251,1075
252,1093
253,1058
254,1031
255,1047
256,1032
257,1049
258,1132
259,1206
260,1195
261,1207
262,1241
263,1264
264,1310
265,1374
266,1439
267,1418
268,1436
269,1465
270,1492
271,1537
272,1470
273,1459
274,1498
275,1467
276,1444
277,1395
278,1446
279,1435
