lable,NumberOfDivision
1.0,14.0
2.0,NaN
3.0,52.0
4.0,41.0
5.0,NaN
6.0,5.0
7.0,56.0
8.0,9.0
9.0,47.0
10.0,13.0
11.0,NaN
12.0,32.0
13.0,NaN
14.0,17.0
15.0,2.0
16.0,12.0
17.0,35.0
18.0,37.0
19.0,10.0
20.0,40.0
21.0,19.0
22.0,15.0
23.0,84.0
24.0,NaN
26.0,13.0
27.0,5.0
28.0,41.0
29.0,NaN
30.0,NaN
31.0,NaN
32.0,23.0
33.0,19.0
34.0,NaN
35.0,NaN
36.0,NaN
37.0,NaN
38.0,24.0
39.0,4.0
41.0,23.0
42.0,NaN
43.0,47.0
44.0,44.0
45.0,62.0
46.0,30.0
47.0,32.0
48.0,NaN
49.0,19.0
50.0,65.0
52.0,40.0
53.0,25.0
54.0,NaN
55.0,13.0
56.0,6.0
57.0,NaN
58.0,3.0
59.0,30.0
60.0,29.0
62.0,12.0
63.0,NaN
64.0,3.0
65.0,31.0
66.0,NaN
67.0,NaN
68.0,2.0
69.0,NaN
70.0,10.0
71.0,20.0
72.0,13.0
73.0,NaN
74.0,27.0
75.0,55.0
76.0,18.0
77.0,39.0
78.0,NaN
79.0,21.0
80.0,NaN
81.0,NaN
82.0,63.0
83.0,63.0
85.0,NaN
86.0,11.0
87.0,79.0
88.0,54.0
89.0,NaN
90.0,68.0
91.0,67.0
92.0,15.0
94.0,13.0
95.0,NaN
96.0,36.0
97.0,2.0
98.0,15.0
99.0,34.0
100.0,NaN
102.0,18.0
104.0,NaN
106.0,NaN
107.0,NaN
108.0,NaN
111.0,NaN
112.0,NaN
114.0,NaN
115.0,NaN
117.0,NaN
119.0,NaN
120.0,NaN
121.0,NaN
123.0,NaN
124.0,NaN
125.0,NaN
127.0,NaN
128.0,NaN
129.0,2.0
130.0,NaN
131.0,4.0
132.0,NaN
133.0,NaN
134.0,NaN
135.0,NaN
136.0,NaN
137.0,8.0
138.0,NaN
139.0,2.0
142.0,NaN
143.0,4.0
144.0,NaN
145.0,NaN
146.0,12.0
148.0,NaN
149.0,6.0
150.0,25.0
151.0,20.0
152.0,9.0
153.0,NaN
154.0,12.0
155.0,20.0
156.0,7.0
157.0,25.0
158.0,2.0
159.0,5.0
161.0,46.0
162.0,4.0
163.0,13.0
164.0,20.0
165.0,14.0
166.0,7.0
167.0,29.0
168.0,31.0
169.0,10.0
170.0,NaN
171.0,NaN
172.0,11.0
173.0,6.0
174.0,27.0
175.0,6.0
176.0,3.0
177.0,10.0
179.0,11.0
180.0,9.0
181.0,64.0
182.0,27.0
183.0,NaN
184.0,17.0
185.0,NaN
186.0,NaN
187.0,4.0
188.0,29.0
189.0,10.0
190.0,2.0
200.0,NaN
201.0,5.0
202.0,NaN
203.0,NaN
204.0,NaN
205.0,NaN
206.0,11.0
207.0,NaN
208.0,NaN
209.0,3.0
212.0,NaN
214.0,NaN
215.0,NaN
217.0,NaN
219.0,3.0
220.0,NaN
221.0,NaN
222.0,NaN
224.0,NaN
225.0,4.0
227.0,NaN
230.0,NaN
232.0,NaN
233.0,12.0
236.0,NaN
239.0,NaN
241.0,NaN
242.0,NaN
243.0,NaN
246.0,NaN
249.0,NaN
250.0,NaN
251.0,NaN
253.0,NaN
262.0,NaN
263.0,NaN
264.0,3.0
265.0,6.0
272.0,NaN
277.0,NaN
278.0,NaN
279.0,NaN
280.0,NaN
281.0,NaN
285.0,NaN
286.0,NaN
287.0,NaN
288.0,NaN
289.0,NaN
296.0,NaN
303.0,NaN
306.0,NaN
308.0,6.0
309.0,2.0
310.0,6.0
311.0,NaN
312.0,NaN
313.0,3.0
315.0,NaN
316.0,NaN
317.0,NaN
319.0,NaN
321.0,NaN
322.0,NaN
324.0,4.0
326.0,NaN
329.0,NaN
330.0,NaN
331.0,NaN
334.0,NaN
335.0,7.0
337.0,NaN
339.0,NaN
342.0,NaN
343.0,5.0
344.0,NaN
345.0,15.0
347.0,3.0
349.0,NaN
350.0,NaN
352.0,NaN
354.0,6.0
355.0,NaN
359.0,NaN
361.0,NaN
363.0,NaN
365.0,NaN
366.0,NaN
368.0,NaN
369.0,4.0
371.0,2.0
372.0,8.0
376.0,NaN
377.0,NaN
382.0,NaN
383.0,NaN
385.0,NaN
386.0,NaN
387.0,7.0
390.0,NaN
391.0,NaN
395.0,2.0
396.0,NaN
397.0,NaN
400.0,NaN
401.0,2.0
403.0,NaN
404.0,2.0
405.0,9.0
406.0,NaN
407.0,4.0
408.0,NaN
409.0,5.0
410.0,NaN
411.0,NaN
412.0,NaN
413.0,NaN
414.0,NaN
415.0,NaN
419.0,NaN
420.0,NaN
422.0,4.0
423.0,NaN
424.0,NaN
425.0,NaN
427.0,NaN
428.0,2.0
429.0,NaN
431.0,NaN
432.0,NaN
433.0,4.0
434.0,NaN
435.0,NaN
436.0,NaN
439.0,NaN
440.0,2.0
441.0,7.0
443.0,NaN
445.0,NaN
446.0,7.0
449.0,NaN
450.0,NaN
452.0,NaN
453.0,2.0
454.0,NaN
455.0,6.0
456.0,NaN
457.0,NaN
458.0,NaN
459.0,NaN
460.0,5.0
462.0,NaN
463.0,NaN
465.0,NaN
466.0,6.0
467.0,NaN
468.0,NaN
469.0,NaN
470.0,NaN
473.0,NaN
476.0,NaN
481.0,NaN
482.0,3.0
483.0,5.0
484.0,NaN
486.0,NaN
488.0,NaN
491.0,NaN
493.0,4.0
495.0,NaN
497.0,NaN
501.0,4.0
502.0,NaN
503.0,3.0
508.0,2.0
509.0,4.0
510.0,3.0
511.0,2.0
514.0,2.0
515.0,4.0
516.0,3.0
517.0,4.0
518.0,NaN
520.0,NaN
522.0,NaN
524.0,NaN
527.0,3.0
529.0,2.0
531.0,NaN
533.0,NaN
534.0,NaN
535.0,2.0
538.0,3.0
540.0,NaN
542.0,NaN
543.0,3.0
544.0,NaN
545.0,3.0
550.0,11.0
551.0,NaN
554.0,NaN
555.0,NaN
559.0,2.0
560.0,NaN
561.0,NaN
566.0,NaN
567.0,2.0
568.0,NaN
569.0,NaN
570.0,NaN
571.0,NaN
574.0,NaN
575.0,NaN
579.0,NaN
581.0,2.0
583.0,NaN
585.0,NaN
587.0,NaN
589.0,NaN
591.0,NaN
592.0,NaN
593.0,5.0
594.0,NaN
595.0,3.0
598.0,NaN
599.0,NaN
600.0,NaN
601.0,NaN
602.0,2.0
608.0,NaN
616.0,NaN
618.0,2.0
620.0,NaN
623.0,NaN
624.0,NaN
626.0,NaN
627.0,NaN
628.0,NaN
629.0,NaN
633.0,NaN
634.0,NaN
635.0,NaN
636.0,NaN
637.0,NaN
638.0,NaN
639.0,NaN
642.0,NaN
644.0,NaN
647.0,NaN
648.0,NaN
649.0,NaN
651.0,NaN
652.0,NaN
654.0,NaN
655.0,NaN
657.0,NaN
658.0,NaN
659.0,NaN
661.0,NaN
663.0,NaN
664.0,NaN
665.0,NaN
666.0,NaN
668.0,NaN
669.0,NaN
672.0,NaN
674.0,NaN
676.0,NaN
681.0,NaN
683.0,NaN
685.0,NaN
687.0,NaN
689.0,NaN
690.0,NaN
691.0,NaN
694.0,NaN
697.0,NaN
699.0,NaN
700.0,NaN
701.0,NaN
702.0,NaN
704.0,NaN
705.0,NaN
706.0,NaN
707.0,NaN
708.0,NaN
709.0,NaN
711.0,NaN
712.0,NaN
713.0,NaN
716.0,NaN
718.0,NaN
719.0,NaN
721.0,NaN
722.0,NaN
723.0,NaN
725.0,NaN
726.0,NaN
727.0,NaN
728.0,NaN
730.0,NaN
731.0,NaN
732.0,NaN
733.0,NaN
734.0,NaN
735.0,NaN
