TimeStep,CellNumber,Orientation,Center_X,Center_Y,Major_axis,Minor_axis
1,1,62.3281109547809,289.324985412853,367.289393003109,39,9.95751029444757
1,2,-81.6073172286181,289.578332853274,325.432376165606,42,9.07134640223116
1,3,-73.2368190274621,303.580465828835,340.453872308903,38,9.27314981958282
1,4,88.1720063562913,304.500254452819,286.515949547738,62,10.9774449024079
1,5,-79.7887778980094,312.177277504061,365.515839095191,44,10.0219769566104
1,6,86.0183811923821,319.001206811169,282.034718219658,44,10.8862810024447
1,7,89.208048507899,320.993184664081,324.013869483205,40,9.74742583532126
2,1,63.3519643545213,288,368,42,9.63190318916721
2,2,-84.8159972027509,290.590354521901,324.004090335235,44,8.92570661894015
2,3,-78.3709190951961,303.691311618433,343.121314478201,41,9.12125852415568
2,4,86.4052898011919,303.501967478725,283.562698376995,70,10.0068075404588
2,5,-75.3626774419136,314.610122219383,365.142577452564,47,9.57754848287809
2,6,86.8467052062823,317.500757032055,267.027503798968,50,10.2000345501103
2,7,88.7454743809814,321.00023969913,317.021893853122,44,9.27272885086786
3,1,69.9663375204043,287.858968155963,369.201540329473,47,10.215872835344
3,2,-81.7290514095866,289.577127796979,320.43327334639,50,9.50891742090331
3,3,-88.3687693656765,302.528466499428,345.00040525291,48,9.72917405567133
3,4,86.2547337347082,304.001067838305,279.032660343322,80,10.6874364734946
3,5,-66.8702223485592,316.19640755572,368.04019126579,53,10.4571777382167
3,6,86.4043887435852,317.033325501104,265.061729840033,56,11.0627006267933
3,7,-74.7196396316566,322.263542407108,317.035352188799,48,10.1951240421436
4,1,69.8517444141878,287.327774752253,368.530597758805,53,10.4163480704079
4,2,-77.2466424625152,287.635047908946,314.791580717243,56,9.42732051747526
4,3,87.2874391718019,300.501680714128,346.570988151022,54,9.34848360220882
4,5,-60.2701825174312,319.313768547547,366.317857898882,61,10.2085203573433
4,6,82.5398196460111,317.077615557948,265.69052335153,64,10.9532520965302
4,7,-70.6530463667985,323.303052612094,322.722114081494,55,10.0475978476347
4,8,87.4665197719153,301.000488718772,251.022101581969,48,11.3333272782272
4,9,81.8375338348496,307,296.5,43,10.1970960741939
5,1,86.0098212085441,283.502424007269,333.069585477847,119,11.1535088516857
5,3,79.8794134162127,297.531119786963,341.351440900738,65,10.3625368445493
5,5,-58.4874161366428,321.522685817342,364.14747461249,68,11.1593076234198
5,6,86.6780676128091,318.001680291599,267.557946180362,73,11.4231968433608
5,7,-64.6529964209446,325.310318044495,323.120034773272,63,10.7463216922151
5,8,-83.5107710152559,302.113016430513,248.506406880844,55,11.411667831944
5,9,77.7541310477496,305.5,302,50,9.73859116842684
6,5,-62.1961843988129,327.290947816738,358.324502268936,77,11.2018758175208
6,8,-78.9138496808796,304.192284760357,246.018660827779,60,11.8936472828867
6,9,79.8906199280054,305.515525543056,307.675527899848,57,10.7225903081809
6,10,-66.4160296103859,275.016613668992,309.025380597861,40,10.1255880837638
6,11,74.711192320293,286.850462160109,357.385853214344,65,11.2517956733529
6,12,-81.6075553069288,285.151306783115,274.937732123945,32,10.1874135516527
6,13,80.7972682058685,293.006435679496,319.579964126492,37,10.4291205492687
6,14,71.9509876986285,301.704123392682,357.285226353304,40,10.3611140488945
6,15,-80.2599650828426,318.161970838929,248.599003546951,44,11.6588503104854
6,16,76.3966311634693,316.570132067051,291.087998153421,40,10.1928121728346
6,17,-64.7672228594538,321,339.5,37,10.6177455922206
6,18,-62.8339574845735,337.06688359123,305.153742158257,37,10.5681714708214
7,8,89.2153956774889,303.000046880189,246.506846750384,68,11.9244436054073
7,9,70.1793548593876,302.5,310,66,10.28586794561
7,10,-56.78324803937,271.466109942053,298.437299742432,45,10.6455901826955
7,11,73.4434550035206,283.857519269025,348.020730512863,73,11.6110982312708
7,12,-79.6935812031558,287.686979937437,260.426678780405,37,10.270110699842
7,13,73.0036261767977,289.897521151705,317.814149551889,41,11.3631857258295
7,14,78.6020007916491,303.539443847404,361.89524621759,42,11.5577900681892
7,15,88.1130473726586,318.000271129944,247.516463791558,48,11.7885554281697
7,16,-89.2121660927836,320.513749862348,294.500094533826,44,11.2924570744447
7,17,-61.9009987025817,326.058700866441,341.765427219694,41,10.3433873327529
7,18,88.9334981916812,334.000173234901,301.018612893158,41,12.2812516159767
7,19,-53.5725814634412,331.394597133608,359.30079313808,48,10.625687708393
7,20,-81.0625877487124,348.667496824039,319.856785907183,40,11.124726008812
8,9,68.1374833893382,300.258110285062,305.836420737948,79,10.6789322057011
8,10,-65.0158997464241,266.757970856233,292.335604113824,51,11.0829543040403
8,12,-75.8789046784772,284.137094915394,248.393122829917,41,11.1927582395582
8,13,69.758999566377,287.5,313.5,48,11.1998949697091
8,14,81.9844580699812,304.01465457923,362.709162570737,50,11.2861211343715
8,15,88.5896059958403,317.00015147945,248.012306766596,56,10.946433402558
8,16,-87.3771294966684,324.022880869588,301.000523808569,51,10.9769758948625
8,17,-56.4431647497426,328.750006866855,342.329145845322,46,10.8185077215544
8,18,-87.4173301554145,339.045060829157,295.001015755041,48,11.6666824560325
8,19,-52.3166617350835,333.805648462419,358.60429933356,54,10.7215552484209
8,20,-87.671282513081,352.541045520907,314.480509545841,44,11.7639744317023
8,21,69.4715848176057,277.792913261391,327.356414868645,41,10.7922111930422
8,22,79.4711835237689,290.5,368,43,11.8398382727264
8,23,-79.033525377445,301.59511729249,233.509130668437,43,11.3532797492993
8,24,71.4445872686991,303.311737496925,275.347537825803,40,10.9890490132805
9,9,68.2501645145252,299.071189383143,304.370554770599,86,10.5773572678167
9,10,-63.1266362265253,264.226010036407,290.553996117233,54,11.0662584900328
9,12,-68.1828895395059,283.685822548152,245.535812558767,43,11.1224394549542
9,13,69.9744390087625,286.298550307937,311.859010363866,52,10.9601121921424
9,14,80.213142298593,304.014553085401,364.669983465392,53,10.9692573991966
9,15,-89.7100522475552,318.50506052134,246.00001280452,59,10.8729735620131
9,16,-86.6355405728965,325.029343577013,303.000861788191,54,10.8000493606347
9,17,-53.8116234699898,329.807080110423,342.590441949187,50,10.9137346280989
9,18,-89.8969104339071,340.001799251382,293.000001618654,49,11.826512937042
9,19,-51.1845271712917,335.389584360513,358.813407125069,58,10.701701260058
9,20,-89.7971399265785,354.503540568805,312.000006267833,47,11.6914169146719
9,21,70.3882678473945,276.245160885192,325.02553893357,45,10.5669137234484
9,22,78.6606565973755,290.421210394076,369.206379520212,47,11.846524121009
9,23,-80.4099486395959,302.180572559934,233.347377481364,46,11.1486500330418
9,24,70.9012501333514,304.610087897037,279.154394562229,42,11.0507569987533
10,10,-55.5809072563119,266,287,56,11.08354981035
10,12,-74.8974279543462,284.777817381246,239.40426513977,45,10.6943836168841
10,13,73.4370141350643,284.541493065543,313.785069213696,55,10.230686616883
10,14,80.8353673418375,304.926746705449,369.086018526639,57,11.5259164523545
10,15,82.8523126774362,319,240.5,64,11.3666428599782
10,16,-87.2799181692064,324.048019901246,301.977398420532,59,10.2408598999932
10,17,-56.0622598821208,331.465321232391,341.752259924415,55,10.9429309818243
10,18,85.9235289417408,338.966986024325,288.07235280188,54,11.0503637815526
10,19,-52.589663052968,336.700912090907,357.906607062259,61,10.8441439354083
10,20,85.9726612618251,354.502469347669,309.070232454464,50,11.6200413930146
10,21,77.0559948811358,272.599294071512,324.375295371474,47,10.6579430525094
10,22,79.3064087544745,289.915904868445,369.601461573629,50,11.6880043751058
10,23,-88.4178081785113,302.027610947212,233.500381254881,48,10.8525213945256
10,24,86.564422651273,308.002695785495,281.589889316519,44,10.3040184386851
10,25,82.4181671746025,292.504371287058,279.565971045976,42,10.7942704228562
10,26,63.1519800638535,305.607792378158,324.451625463772,49,8.93144894673838
11,10,-51.3686749647199,265.5,282.5,62,11.0039231490004
11,12,-86.788313499133,286.028797898049,232.972772744334,48,10.4776769897417
11,13,81.0799842508545,282.006047120576,313.577527755734,62,10.5955080346598
11,14,74.1229447048277,304.82506391372,372.245500471652,64,11.4747815090111
11,15,79.5450706047112,319.400967972204,236.417570016855,72,11.3701324585214
11,16,-84.1934532524129,324.548019564645,305.553150409236,65,9.83438942748436
11,17,-57.2369753483707,332.531956845371,340.891290459787,61,10.9975339494509
11,18,86.9431221579856,339.001422911491,282.053327275439,62,10.983830305085
11,19,-55.2410937854602,339.391682800925,355.748566148642,68,10.6721500425727
11,20,84.0774924702653,355.505337639675,301.603183278451,52,11.7788004611271
11,21,81.666820665969,269.505278985938,323.572464599945,52,10.8456243438587
11,22,72.2128908840494,289.847259460406,372.023900926734,55,11.3280068336989
11,23,80.1954628008743,303,232.5,54,10.3337235617828
11,24,89.3408087325759,308.50006618245,283.511504804205,48,9.9986761691523
11,25,-87.8566277209664,295.037050363095,276.519399720835,44,10.9962217849962
11,26,67.58311212041,304.037783163349,327.190671434453,50,9.59304019438013
12,10,-56.5521198059503,266.551178202629,276.165612446793,68,10.7562255260994
12,12,72.2422909009663,287.5,228.5,49,11.6265945100026
12,13,87.147477715952,281.501239062246,310.049765341532,71,10.9582824307717
12,16,-82.8779078412818,324.069707840146,307.379873805332,72,10.2475680440785
12,17,-65.0561185729724,333.024307760926,344.890100101327,69,10.9586440479183
12,20,88.9593162543094,356.500164949249,301.518162359146,56,11.4810221767186
12,21,86.7032460865923,268.501654923704,322.557507465913,56,11.595764732918
