TimeStep,NumberOfCells
1,34
2,35
3,35
4,35
5,35
6,37
7,36
8,34
9,37
10,36
11,34
12,36
13,33
14,33
15,34
16,36
17,33
18,33
19,37
20,35
21,37
22,35
23,36
24,37
25,36
26,35
27,37
28,37
29,39
30,39
31,39
32,39
33,40
34,44
35,41
36,43
37,41
38,44
39,45
40,42
41,46
42,45
43,48
44,45
45,46
46,43
47,43
48,46
49,46
50,46
51,46
52,45
53,44
54,44
55,43
56,45
57,46
58,43
59,46
60,44
61,44
62,48
63,44
64,44
65,47
66,48
67,48
68,47
69,46
70,48
71,46
72,51
73,49
74,51
75,51
76,50
77,49
78,54
79,55
80,54
81,51
82,50
83,52
84,58
85,53
86,52
87,52
88,53
89,53
90,54
91,54
92,53
93,55
94,59
95,57
96,63
97,57
98,59
99,59
100,63
101,60
102,62
103,66
104,65
105,71
106,70
107,64
108,69
109,72
110,71
111,76
112,74
113,72
114,70
115,72
116,76
117,70
118,75
119,75
120,77
121,73
122,74
123,72
124,73
125,74
126,72
127,76
128,79
129,77
130,79
131,83
132,89
133,93
134,87
135,89
136,88
137,96
138,97
139,101
140,92
141,97
142,98
143,98
144,93
145,91
146,97
147,101
148,96
149,98
150,108
151,100
152,94
153,108
154,113
155,117
156,121
157,122
158,130
159,136
160,129
161,138
162,135
163,145
164,148
165,140
166,139
167,152
168,131
169,149
170,145
171,136
172,130
173,138
174,146
175,138
176,123
177,119
178,126
179,122
180,115
181,139
182,128
183,133
184,146
185,128
186,161
187,124
188,157
189,151
190,160
191,159
192,126
193,121
194,133
195,129
196,128
197,150
198,130
199,121
200,135
201,162
202,133
203,136
204,144
205,167
206,154
207,164
208,168
209,147
210,136
211,150
212,155
213,156
214,157
215,159
216,159
217,150
218,159
219,153
220,133
221,149
222,150
223,155
224,149
225,120
226,128
227,115
228,125
229,126
230,150
231,139
232,138
233,180
234,136
235,145
236,149
237,163
238,148
239,181
240,178
241,146
242,168
243,152
244,145
245,145
246,145
247,127
248,174
249,127
250,177
251,112
252,111
253,137
254,120
255,120
256,165
257,126
258,163
259,120
260,135
261,121
262,124
263,160
264,129
265,156
266,151
267,111
268,115
269,115
270,118
271,117
272,122
273,120
274,113
275,109
276,72
277,82
278,84
279,65
