CellId,birthLength,AverageLength,AverageVelocity,AverageOrientation,LifeHistory,GrowthRate
1.0,40.460506439209,49.663855234781906,-1.112,,9.0,0.023
2.0,27.6978149414062,37.02906036376952,-0.561,,5.0,0.063
3.0,34.9016914367676,37.333295822143555,-0.095,,4.0,0.017
4.0,19.7989082336426,25.487942622258117,-0.717,,13.0,0.023
5.0,24.0468692779541,30.93049216270446,-0.395,,8.0,0.045
6.0,23.6179580688477,27.985054397583003,-1.117,,5.0,0.043
7.0,25.5983028411865,25.751076017107287,-0.699,,7.0,0.009
8.0,15.9993476867676,15.9993476867676,0.0,,1.0,
9.0,22.062671661377,23.666207790374774,-0.169,,4.0,0.018
10.0,18.1150074005127,18.1150074005127,0.0,,1.0,
11.0,26.9275321960449,22.2841110229492,-1.509,,2.0,-0.141
12.0,24.2451992034912,24.616678714752222,-0.548,,4.0,0.016
13.0,3.24227166175842,3.24227166175842,0.0,,1.0,
14.0,,,,,8.0,
15.0,27.4315757751465,34.64870103200277,-0.789,,6.0,0.054
16.0,26.4076080322266,24.390872955322266,-0.162,,3.0,-0.052
17.0,34.2337074279785,33.25656700134275,-0.822,,2.0,-0.02
18.0,20.5191078186035,20.5191078186035,0.0,,1.0,
19.0,8.08106803894043,8.08106803894043,0.0,,1.0,
20.0,8.26889324188232,8.26889324188232,0.0,,4.0,0.0
21.0,14.7458305358887,23.837000370025628,0.274,,4.0,0.114
22.0,25.220817565918,25.220817565918,0.0,,1.0,
23.0,6.97579193115234,6.97579193115234,0.0,,1.0,
24.0,9.60812568664551,9.60812568664551,0.0,,3.0,0.0
25.0,15.7232713699341,15.7232713699341,0.0,,1.0,
26.0,13.7806634902954,13.7806634902954,0.0,,1.0,
27.0,10.5459957122803,10.5459957122803,0.0,,1.0,
28.0,24.4398250579834,24.4398250579834,0.0,,1.0,
29.0,26.4774646759033,26.45344734191895,-0.441,,2.0,-0.001
30.0,15.2094440460205,15.2094440460205,0.0,,1.0,
31.0,14.571457862854,14.571457862854,0.0,,1.0,
