TimeStep,CellId,Center_X,Center_Y,Major_axis,label,parent,daughter1,daughter2,checked,InstantaneousGrowthRate,InstantaneousVelocity
1,1,147.271499633789,86.255615234375,40.460506439209,1,0,2,3,True,0.034,-1.911
2,1,146.729965209961,81.4172286987305,43.4889221191406,1,0,2,3,True,0.015,0.282
3,1,146.596450805664,82.5243759155273,44.8654708862305,1,0,2,3,True,0.048,-2.031
4,1,146.865615844727,75.60107421875,49.2285118103027,1,0,2,3,True,0.022,-0.626
5,1,146.361114501953,74.5262832641602,51.1963500976562,1,0,2,3,True,0.035,-1.385
6,1,145.496765136719,71.6123428344727,54.3534545898438,1,0,2,3,True,-0.021,-1.253
7,1,143.451797485352,71.5048751831055,52.4189643859863,1,0,2,3,True,0.039,-1.921
8,1,141.980834960938,67.9518661499023,55.9310073852539,1,0,2,3,True,-0.01,-1.16
9,1,140.047409057617,67.9563217163086,55.0315093994141,1,0,2,3,True,,
10,3,128.705184936523,62.8774681091309,34.9016914367676,1,1,4,5,True,0.018,0.508
10,2,152.699417114258,74.9837417602539,27.6978149414062,1,1,6,7,True,0.086,0.802
11,3,129.279495239258,63.4382629394531,36.5160331726074,1,1,4,5,True,0.03,-0.764
11,2,153.462158203125,76.1562423706055,35.4482460021973,1,1,6,7,True,-0.006,-0.925
12,3,128.879318237305,61.6373176574707,39.1740798950195,1,1,4,5,True,-0.005,-0.125
12,2,152.591522216797,74.7843246459961,34.9323921203613,1,1,6,7,True,0.087,-1.164
13,3,128.470474243164,62.054859161377,38.7413787841797,1,1,4,5,True,,
13,2,150.438552856445,75.1970825195312,42.7458267211914,1,1,6,7,True,0.018,-1.517
14,5,120.498527526855,60.561393737793,24.0468692779541,1,3,10,11,True,0.026,-0.225
14,4,144.072540283203,64.0936508178711,19.7989082336426,1,3,18,19,True,-0.007,-0.743
14,2,148.309677124023,74.3659896850586,44.3210220336914,1,1,6,7,True,,
15,5,120.420829772949,59.9611282348633,26.3693618774414,1,3,10,11,True,-0.0,-0.857
15,4,143.22900390625,63.245792388916,19.1454620361328,1,3,18,19,True,0.022,1.719
15,7,158.91178894043,76.8752288818359,25.5983028411865,1,2,12,13,True,0.006,-1.158
15,6,135.054092407227,71.1784744262695,23.6179580688477,1,2,8,9,True,0.018,-3.076
16,5,119.196708679199,59.5364990234375,26.3621063232422,1,3,10,11,True,0.008,-0.811
16,4,145.611267089844,64.2334823608398,21.1328506469727,1,3,18,19,True,-0.006,-0.349
16,7,156.867813110352,77.1046981811523,26.1233177185059,1,2,12,13,True,-0.028,-1.852
16,6,129.995101928711,70.8509368896484,25.2406845092773,1,2,8,9,True,0.026,-1.645
17,5,117.391502380371,60.4064102172852,27.1230640411377,1,3,10,11,True,0.032,0.052
