TimeStep,NumberOfCells
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,3
14,3
15,3
16,3
17,4
18,3
19,4
20,5
21,6
22,7
23,7
24,7
25,8
26,6
27,8
28,9
29,11
30,10
31,8
32,12
33,12
34,14
35,15
36,21
37,25
38,24
39,26
