CellId,GrowthRate,birthLength,LifeHistory,AverageVelocity,AverageLength
1,-0.0216650255024433,15.3235731124878,2,0.106948852539063,11.6617870330811
2,-0.00879512913525105,26.2268581390381,9,0.0260067414492369,24.4268360137939
3,0.00342071708291769,20.2368316650391,12,0.0506038255989552,25.7299785614014
4,-0.0021224922966212,19.1907062530518,12,0.0278981104493141,31.7317485809326
5,-0.0108058927580714,12.6491098403931,3,-1.68560016155243,12.1756582260132
6,-0.0125208953395486,30.8823547363281,5,-0.0368094891309738,25.9165096282959
7,0.00903081893920898,9.70725345611572,2,0.0343078598380089,11.217586517334
8,-0.000850419222842902,30.0744171142578,12,0.18974694609642,28.7379989624023
9,0.00377181684598327,15.4535045623779,5,0.0685078948736191,23.2117500305176
10,NaN,12.9691944122314,1,NaN,NaN
11,0.00190752663183957,23.4008541107178,5,0.0333679206669331,26.3143978118896
12,NaN,12,1,NaN,NaN
13,-0.00697868643328547,14.7946729660034,2,-0.017844645306468,13.3973369598389
14,-0.000353844952769578,18.5824565887451,6,-0.1740542948246,22.1849727630615
15,0.00357096455991268,14.3951835632324,12,-0.0718473643064499,27.0793018341064
16,-0.00414150021970272,34.5160484313965,12,0.141952350735664,39.9525604248047
17,-0.0319523587822914,20.2407932281494,2,0.046783447265625,14.0009660720825
18,NaN,11.8842449188232,1,NaN,NaN
19,NaN,21.5792465209961,1,NaN,NaN
20,NaN,9.84185218811035,1,NaN,NaN
21,-0.00956697855144739,25.646240234375,4,0.161156207323074,22.8303260803223
22,0.00509633217006922,11.6275539398193,2,0.202345788478851,12.5879707336426
23,-0.0153189655393362,27.3579063415527,2,0.058197021484375,22.3179740905762
24,NaN,13.8918886184692,1,NaN,NaN
25,-0.0105414669960737,21,4,0.0178009029477835,17.8966178894043
26,-0.0154490312561393,29.1529197692871,3,-0.0518086738884449,25.2007274627686
27,0.0265843626111746,17.9476356506348,2,0.212764486670494,28.8961639404297
28,-0.0133509049192071,20.1831073760986,3,0.0131659610196948,13.1576662063599
29,0.00252769654616714,21,12,-0.0835578069090843,30.5134563446045
30,-0.00333398184739053,16.4009857177734,12,-0.131458699703217,24.9149703979492
31,0.00199120305478573,21.9134674072266,12,-0.190131291747093,27.7957744598389
32,-0.014806273393333,21.466251373291,5,0.173353672027588,21.7789459228516
33,NaN,12.0049018859863,1,NaN,NaN
34,NaN,15.2270174026489,1,NaN,NaN
35,0.00300486874766648,16.5268859863281,8,0.0932754501700401,20.3514862060547
36,NaN,15.8000020980835,1,NaN,NaN
37,-0.00884812697768211,22.8078937530518,6,0.195832997560501,22.9117488861084
