StepNumber,NumberOfCells
1,77
2,78
3,78
4,82
5,82
6,83
7,84
8,83
9,83
10,84
11,84
12,84
13,85
14,84
15,85
16,86
17,87
18,88
19,89
20,89
21,89
22,92
23,92
24,93
25,94
26,94
27,97
28,99
29,101
30,100
31,100
32,99
33,101
34,107
35,105
36,105
37,108
38,108
39,108
40,107
41,107
42,108
43,107
44,109
45,108
46,111
47,108
48,111
49,111
50,110
51,112
52,112
53,111
54,112
55,114
56,115
57,117
58,119
59,122
60,124
61,120
62,118
63,120
64,125
65,124
66,125
67,117
68,118
69,114
70,114
71,115
72,117
73,115
74,117
75,117
76,119
77,121
78,117
79,117
80,119
81,115
82,113
83,110
84,112
85,107
86,108
87,107
88,110
89,103
90,101
91,99
92,99
93,99
94,94
95,95
96,91
97,89
98,83
99,93
100,78
101,75
102,75
103,75
104,75
105,75
106,75
107,72
108,69
109,71
110,75
111,64
112,53
